ID,RA,DEC,X,Y
1,49.5238337,-66.5067706,1151.6353896644619,798.3549080154493
3,49.5185147,-66.5071851,1180.7705126834664,792.6621081903431
7,49.5586558,-66.5096822,960.9247449008578,758.2697678182271
9,49.5843346,-66.4786031,819.8153365372361,1185.184711932178
11,49.6018696,-66.4794242,723.6742795833686,1173.783100347541
13,49.6583371,-66.4926456,414.44911397582393,991.5477699716987
17,49.6730708,-66.5019769,334.0228145398362,863.1377147869465
19,49.6252067,-66.4847164,595.8325452154377,1100.8652715038113
21_1,49.5720754,-66.4789142,887.0449647771079,1180.9774555495414
23_1,49.5779838,-66.4837372,854.7116992925514,1114.6764091200168
4,49.494755,-66.5519097,1310.7076396918424,178.1068745952108
8,49.5117758,-66.5448411,1217.6509571874842,275.2510581841375
10,49.5042371,-66.544535,1258.8818725211245,279.452031120888
12,49.5359116,-66.5419246,1085.635999703552,315.30760837947946
14,49.4092479,-66.5237394,1778.8828693535188,564.7036547880299
16,49.4138432,-66.5296027,1753.5980996215644,484.1811793698819
21_2,49.4279515,-66.522978,1676.5183381492502,575.3245390866
23_2,49.4512,-66.5052406,1549.5085191287124,819.1992409956008
25,49.4705125,-66.5347859,1443.4250323039962,413.32594064399956
27,49.4345504,-66.5294496,1640.2810736215351,486.45058375197584
