ID_MASKS,RA,DEC,RA_deg,DEC_deg
1,03:18:05.640,-66:30:24.69,49.52349999999999,-66.50685833333333
3,03:18:04.375,-66:30:26.06,49.51822916666666,-66.50723888888889
5,03:18:03.312,-66:30:13.60,49.51379999999999,-66.50377777777778
11,03:18:14.078,-66:30:34.99,49.55865833333333,-66.50971944444444
13,03:18:20.213,-66:28:42.79,49.58422083333332,-66.47855277777778
15,03:18:24.470,-66:28:45.81,49.60195833333332,-66.47939166666667
17,03:18:38.021,-66:29:32.76,49.658420833333324,-66.49243333333334
19,03:18:15.696,-66:30:08.82,49.5654,-66.50245
21,03:18:41.431,-66:30:07.14,49.67262916666666,-66.50198333333333
23_1,03:18:30.046,-66:29:05.04,49.62519166666666,-66.48473333333334
25_1,03:18:17.155,-66:28:44.19,49.571479166666656,-66.47894166666667
27,03:18:18.684,-66:29:01.14,49.57784999999999,-66.48365
4,03:17:58.563,-66:33:06.30,49.4940125,-66.55175
6,03:18:04.533,-66:32:34.83,49.51888749999999,-66.54300833333333
8,03:18:02.691,-66:32:41.67,49.51121249999999,-66.54490833333332
10,03:18:01.248,-66:32:41.09,49.505199999999995,-66.54474722222223
12,03:18:07.790,-66:32:30.76,49.53245833333333,-66.54187777777777
33,03:18:12.163,-66:32:30.73,49.55067916666666,-66.54186944444444
27,03:17:52.915,-66:32:05.00,49.47047916666666,-66.53472222222221
15,03:17:38.419,-66:31:25.36,49.410079166666655,-66.52371111111111
16,03:17:40.397,-66:31:41.62,49.418320833333325,-66.52822777777777
17,03:17:39.384,-66:31:45.77,49.4141,-66.52938055555555
23_2,03:17:42.749,-66:31:21.99,49.428120833333324,-66.522775
25_2,03:17:48.048,-66:30:18.90,49.45019999999999,-66.50525
29,03:17:44.344,-66:31:45.36,49.434766666666654,-66.52926666666667
31,03:17:35.765,-66:30:50.21,49.399020833333324,-66.51394722222223
