brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,X,Y
27529,0495m665,7860,PSF,49.41430877113618,-66.52635328406002,0.10371508,0.12250852,1.681823,4.155287,6.325798,1.4389127,1.3185244,1.1850618,1.2737088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.779585,21.935549,20.953497,20.497211,17.937357,17.791023,14.443452,13.099893,2.844036,0.98205185,1.4383373,0.45628548,1751.1226255201832,528.8337446387286
27529,0495m665,12550,PSF,49.48887568657813,-66.55544857696898,0.099495165,2.8201203,3.2355807,4.1577325,5.393614,1.416901,1.2481937,1.1080381,1.1784213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.37433,21.225119,20.952858,20.6703,20.636354,21.505764,19.269123,14.125241,0.14921188,0.27226067,0.5548191,0.28255844,1342.8324808844352,129.46882624946988
27529,0495m665,9271,PSF,49.43887060939149,-66.49877502239055,0.10887531,1.3701457,2.662467,4.1593695,6.096577,1.4241523,1.2987745,1.2047577,1.2465271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.158083,21.436789,20.95243,20.537285,19.816444,20.434042,19.019796,,0.7212944,0.48435783,0.8995037,0.41514587,1617.155992506352,907.9629486819921
27529,0495m665,22863,PSF,49.67146544791493,-66.48849939973915,0.10955817,0.68294775,2.0016727,4.175298,6.474738,1.4072626,1.3404831,1.1748722,1.2439173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.914032,21.746517,20.94828,20.471945,19.048592,19.196152,16.51716,13.626348,1.1675148,0.79823685,1.2745724,0.47633553,342.35568945878106,1048.3463369426222
27529,0495m665,15615,PSF,49.54123664067037,-66.4978559614532,0.10906795,2.0957115,3.154551,4.176428,5.334455,1.4177113,1.313997,1.1964581,1.2401316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.69667,21.252657,20.947987,20.682276,,,19.654799,15.291446,0.4440136,0.30467033,0.57038116,0.26571083,1056.2603346619403,920.8202093568874
27529,0495m665,13018,PSF,49.496186816717,-66.55447632845119,0.10019483,1.3454609,2.89572,4.177071,5.4020557,1.3885994,1.1871195,1.0603311,1.1597103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.177822,21.345608,20.94782,20.668602,,20.333485,,,0.83221436,0.3977871,0.67700577,0.27921867,1302.8681363642634,142.84271335150072
27529,0495m665,13778,PSF,49.50843471532155,-66.5020526799893,0.10902441,3.705092,5.908892,4.178271,4.3379164,1.387216,1.243095,1.1622853,1.2818524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.078003,20.571236,20.947508,20.906797,19.847221,19.584688,16.429533,14.23584,0.5067673,-0.3762722,-0.33556175,0.04071045,1235.9908063926457,863.1820706389121
27529,0495m665,19308,PSF,49.6095781238,-66.47155900390797,0.1105888,0.250457,1.7247596,4.18035,6.6750374,1.4468659,1.3410187,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.003166,21.908178,20.946968,20.438866,19.703878,19.389837,19.864912,12.601088,2.0949879,0.96121025,1.4693127,0.5081024,681.241825868759,1281.7934241677222
27529,0495m665,15174,PSF,49.53341483460368,-66.51816386984345,0.10714991,2.7941384,3.8293593,4.182102,4.855495,1.4262811,1.300425,1.1788741,1.2718848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.38438,21.042185,20.946514,20.784416,19.435726,19.857822,,13.230685,0.3421955,0.0956707,0.25776863,0.16209793,1099.199418899663,641.7951820354147
27529,0495m665,7247,PSF,49.40243270437327,-66.51596962305666,0.10539187,0.8461222,2.6155124,4.18519,5.6032314,1.4457598,1.3216454,1.1850618,1.3052434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.681417,21.456108,20.945711,20.628904,20.691076,20.4226,18.870838,13.066373,1.2253094,0.51039696,0.82720375,0.3168068,1816.380976407493,671.3982970723366
27529,0495m665,8661,PSF,49.42855666414256,-66.5024881136361,0.10805432,3.7203667,3.9222643,4.1901584,4.7405725,1.4241523,1.2987745,1.2047577,1.2732652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.073536,21.016157,20.944424,20.810423,21.516512,21.215818,,,0.05737877,0.071733475,0.20573425,0.13400078,1673.5977494834324,856.8693864573687
27529,0495m665,13662,PSF,49.50646350000503,-66.50598229539307,0.10868367,0.36307335,2.0119815,4.1907525,6.4655685,1.387216,1.243095,1.1622853,1.2818524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.600014,21.74094,20.94427,20.473484,19.641216,20.15619,16.876703,,1.8590736,0.7966709,1.267456,0.47078514,1246.782337108898,809.1859541130674
27529,0495m665,22129,PSF,49.65851585329582,-66.49019758072525,0.10935049,-0.34603214,1.2790838,4.200006,6.7264323,1.445672,1.3491709,1.1748722,1.2401316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.232752,20.941875,20.430538,20.829899,,16.235086,13.315146,,1.2908764,1.8022137,0.5113373,413.3924705754349,1025.1823653413485
27529,0495m665,13521,PSF,49.50398527411156,-66.54468076306799,0.1033159,9.59478,7.822911,4.2046127,3.9816995,1.3817796,1.1800163,1.0603311,1.1597103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.044912,20.266579,20.940685,20.999828,19.566675,19.500286,17.202427,,-0.22166634,-0.6741066,-0.73324966,-0.059143066,1260.2587878350948,277.448926269083
