ID,mag_i,mag_g,Mag_i
1,17.056,16.761,-12.0119
3,17.266,17.368,-11.8019
7,17.044,17.263,-12.0239
9,17.256,17.101,-11.8119
11,17.214,17.006,-11.8539
13,17.498,17.106,-11.5699
17,18.996,18.923,-10.0719
19,18.047,18.058,-11.0209
21_1,17.255,17.591,-11.8129
23_1,17.218,17.546,-11.8499
4,18.906,18.981,-10.1619
8,19.321,19.309,-9.7469
10,19.071,18.809,-9.9969
12,20.021,20.720,-9.0469
14,18.950,18.654,-10.1179
16,19.429,19.335,-9.6389
21_2,18.560,18.877,-10.5079
23_2,18.261,18.587,-10.8069
25,20.067,20.089,-9.0009
27,20.243,20.098,-8.8249
