ID	ID_MASK	H_BETA_FLUX	H_BETA_FLUX_ERR	OIII_5007_FLUX	OIII_5007_FLUX_ERR	H_ALPHA_FLUX	H_ALPHA_FLUX_ERR	NII_6584_FLUX	NII_6584_FLUX_ERR	SII_6716_FLUX	SII_6716_FLUX_ERR	SII_6731_FLUX	SII_6731_FLUX_ERR	OI_6300_FLUX	OI_6300_FLUX_ERR	H_BETA_EQW	H_BETA_EQW_ERR	OIII_5007_EQW	OIII_5007_EQW_ERR	H_ALPHA_EQW	H_ALPHA_EQW_ERR	NII_6584_EQW	NII_6584_EQW_ERR	SII_6716_EQW	SII_6716_EQW_ERR	SII_6731_EQW	SII_6731_EQW_ERR	OI_6300_EQW	OI_6300_EQW_ERR	OIII_4363_FLUX	OIII_4363_FLUX_ERR	OIII_4363_EQW	OIII_4363_EQW_ERR
1	1	76.522434	2.164415	427.052860	16.03230	257.488422	1.858637	7.161327	1.894502	6.448506	0.09722175	4.958356	0.08726761	0.810427	0.07322140	280.966313	17.166946	1541.986382	98.875383	1962.207820	47.693468	54.573376	14.492633	52.315485	1.365546	40.226186	1.111714	6.036383	0.589049				
2	3	14.925251	0.5936111	74.586733	3.721589	46.165941	0.4709060	1.633592	0.4475706	1.927631	0.02596444	1.433576	0.02281337	0.180837	0.01250539	234.908593	37.633430	1143.304259	153.632509	1353.829895	99.932960	47.905570	13.584362	58.170163	3.459508	43.261063	2.598818	5.072211	0.441624				
3	11	11.544092	0.493640	34.509992	1.399258	38.739124	0.349026	2.523963	0.328235	2.489188	0.096574	1.584080	0.074885	0.143089	0.011278	92.488060	7.616071	283.724674	25.898375	731.576593	25.119602	47.664283	6.396644	50.497489	2.449364	32.135794	1.784109	2.437772	0.198055				
4	13	27.353364	0.7214798	119.359163	4.474862	83.540961	1.724033	3.299655	1.744403	3.084089	0.03927988	2.358347	0.03416168	0.458212	3.69951	272.995555	21.164277	1180.022896	215.012253	1647.968425	76.327848	65.090552	34.516608	65.159226	2.182255	49.826087	1.703782	8.720888	0.766936				
5	15	41.371324	1.183268	110.078999	2.769234	142.615665	3.538102	7.629616	3.140144	6.803789	0.07878039	5.175884	0.07116908	0.790524	0.07890256	152.097312	9.169808	429.687198	38.907748	1195.835364	48.555429	63.974489	26.410351	61.230811	1.343834	46.580450	1.079086	6.156684	0.681564				
6		26.796062	0.9702858	124.782756	3.332028	80.038134	1.262717	3.351947	1.233561	4.614511	0.06329228	3.507277	0.05341880	1.060427	0.03879003	422.490825	82.844811	1873.154064	177.017100	1513.125699	125.841649	63.368766	23.887725	95.392526	2.557546	72.503463	2.002289	21.282982	1.559862				
7	21	9.753157	0.311534	26.238418	0.894000	30.152086	0.318209	1.886297	0.307869	1.719807	0.035247	1.212066	0.029284	0.130637	0.023331	115.816805	13.331728	333.136984	26.869754	860.544860	41.677349	53.835198	9.147683	57.032348	2.339825	40.194597	1.727363	3.580029	0.732309				
8	23	6.794377	0.350104	29.676713 	0.994838	21.257480  	0.134270 	0.721242	0.123223	0.718191	0.010991	0.506701	0.008655	0.057325	0.027191	65.067019	6.883344	303.707019	34.130605	524.531359 	51.286857	17.796739 	3.501470	18.604084 	0.677621	13.125639	0.488331 	1.193607	0.581935				
9	25	8.345415	0.284692	14.359774	0.654960	31.093437	0.718187 	0.792573	0.213761	2.075546 	0.056518	1.627168 	0.049763			38.806479	4.519900	70.533500	8.074401	386.934669	21.545259	29.293643	7.776227	29.061281	1.302469	22.783197	1.069220						
10		3.428001	0.130602	10.078872	0.383830	10.281917	0.104488	0.543652	0.095484	0.461016	0.020687	0.273446	0.016040	0.024765	0.023566	40.156638	7.141938	122.352455	11.552699	241.180551	13.255241	12.752311	2.343272	11.457121	0.641009	6.795648	0.458774	0.517444	0.493803				
11	4_mask2	10.556182	0.435765	26.640228	1.313686	32.019293	0.389990	2.029946	0.384505	2.276548	0.037420	1.616670	0.031458	0.233433	0.044717	166.384674	39.829602	458.396395	77.044745	1341.011977	137.482501	85.016934	18.281768	98.496408	11.421045	69.946357	8.143200	10.487381	3.575076				
12	8_mask2	5.613739 	0.221484	17.461436	1.013904	17.434597	0.203958	0.735870	0.197719	0.751070 	0.016045	0.530701	0.013152 	0.040239	0.017171	162.044982	52.942329	486.036107	113.760551	1231.428660	165.217167	51.975496 	15.597549	57.698758	9.779185	40.769543	6.928859	2.447682 	1.185726				
13		1.570187	0.102341	2.894590 	0.132024	4.562292	0.049217	0.286318	0.046334	0.395967 	0.010890	0.253220	0.008346	0.050815	0.031941	64.148948	28.404677	154.312351	51.920200 	534.887488	148.324346	33.568244	10.771536	42.996222	7.729685	27.495984	4.968280 	5.266379 	4.526961 				
14		0.962722	0.054839	3.684832	0.194359	2.809194	0.042733	0.165161	0.042002	0.189562	0.006544	0.127801	0.004979	0.054704	0.039490	112.985582	93.518874	579.496245	609.150183	1116.469045	691.811067	65.640518	43.954545	80.908642	30.579520	54.548083	20.640028	12.535752	17.311281				
