brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,X,Y
27529,0495m665,25617,PSF,49.72384540066255,-66.54954850680002,0.097553775,4.9101067,20.969181,77.47604,135.16971,1.3618428,1.2460771,1.1073127,1.2056352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.772272,19.196047,17.77708,17.172802,17.414732,17.914873,19.966595,,1.5762253,1.4189663,2.0232449,0.60427856,58.03104217454461,208.67047691412608
27529,0495m665,22007,PSF,49.65636412014305,-66.48763140870706,0.10955758,51.08593,64.153206,78.02446,89.74506,1.445672,1.3491709,1.1748722,1.2401316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.229246,17.981955,17.769423,17.617474,18.521738,18.903635,,,0.24729156,0.21253204,0.36448097,0.15194893,425.106957326052,1060.4694546740275
27529,0495m665,9931,PSF,49.44901178454955,-66.50518210980604,0.10800507,63.165565,73.35798,80.54871,87.5403,1.4138197,1.2860643,1.2047577,1.2767808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.998798,17.836382,17.734854,17.64448,17.627796,18.113031,,14.77235,0.16241646,0.10152817,0.19190216,0.09037399,1561.4960701702646,819.9903652301391
27529,0495m665,22127,PSF,49.65849907712374,-66.49159627635785,0.10923061,57.293095,71.5481,83.99668,98.67247,1.445672,1.3491709,1.1748722,1.2401316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.104744,17.863504,17.689344,17.51451,,,,,0.24123955,0.17416,0.3489952,0.1748352,413.52839398870015,1005.9638973436684
27529,0495m665,18813,PSF,49.60101799902665,-66.47676987613208,0.1102834,54.23094,65.92792,85.14021,105.74443,1.4253722,1.3198797,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.164383,17.952326,17.674664,17.439356,13.754825,15.693888,14.16109,11.501829,0.21205711,0.27766228,0.51297,0.2353077,728.2941587225059,1210.2611224630832
27529,0495m665,17155,PSF,49.56919790603975,-66.49459066935509,0.1091403,45.057846,70.63628,85.69211,96.919785,1.4314209,1.3313818,1.1748722,1.2401316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.365574,17.87743,17.667648,17.533968,16.051823,16.482307,16.29928,,0.48814392,0.20978165,0.343462,0.13368034,903.0090196705823,965.5895459104227
27529,0495m665,20657,PSF,49.63392389461042,-66.44733198277225,0.11204907,64.60224,85.94338,93.00858,92.65261,1.5509859,1.5028523,1.2238069,1.2643085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.97438,17.664469,17.578691,17.582855,18.938791,19.739407,,,0.30991173,0.08577728,0.08161354,-0.004163742,547.068627172159,1614.4565454477324
27529,0495m665,18584,PSF,49.59712586458375,-66.47754289201912,0.11024561,146.03093,134.82744,120.15176,111.77925,1.4253722,1.3198797,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.088888,17.175554,17.300674,17.379097,,,,12.602496,-0.08666611,-0.12512016,-0.20354271,-0.07842255,749.6528834863177,1199.6680630821156
27529,0495m665,15153,PSF,49.53293315586296,-66.44919575334431,0.1124305,76.89514,123.46834,145.44853,153.7709,1.5509859,1.5028523,1.2238069,1.2643085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.785254,17.27111,17.093227,17.032814,18.327475,19.109823,,,0.514143,0.17788315,0.23829651,0.06041336,1101.573032694343,1589.4496014284837
27529,0495m665,16839,PSF,49.56373259592543,-66.48598071699227,0.10981006,16.699524,65.24891,149.97464,218.11389,1.445672,1.3491709,1.1748722,1.2401316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44324,17.963568,17.059956,16.653292,18.102003,19.221277,,,1.4796715,0.90361214,1.310276,0.4066639,932.8686958089454,1083.9186145607575
27529,0495m665,23860,PSF,49.68911278093676,-66.52009615510032,0.10530318,102.43526,160.90096,185.86879,194.51094,1.3883889,1.2973887,1.1464099,1.2758262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.473877,16.983603,16.826984,16.77764,18.08156,18.77521,,,0.49027443,0.15661812,0.20596313,0.049345016,246.82765875452196,613.9387576876334
27529,0495m665,20413,PSF,49.62991418958246,-66.44614952836487,0.11211342,85.16734,153.70302,187.89745,204.261,1.5509859,1.5028523,1.2238069,1.2643085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.674316,17.033295,16.815197,16.724537,17.877855,18.60547,,,0.6410217,0.21809769,0.30875778,0.090660095,569.0544621944555,1630.7449899766516
27529,0495m665,25497,PSF,49.72090505082631,-66.5335416825158,0.10148691,96.148865,160.11768,189.06192,200.76534,1.381591,1.2977853,1.1464099,1.2823569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.542639,16.988901,16.80849,16.743279,18.051113,18.692907,,,0.55373764,0.18041039,0.24562263,0.06521225,73.38621088417176,428.6639673281814
27529,0495m665,23699,PSF,49.6861677165882,-66.45430927122301,0.11226565,117.74807,185.26295,216.7963,227.10942,1.4780025,1.4620733,1.1744324,1.2651006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.322615,16.830528,16.65987,16.609411,17.90021,18.555162,,,0.4920864,0.17065811,0.22111702,0.050458908,260.48213427037365,1517.9225039126936
27529,0495m665,17831,PSF,49.58216992185177,-66.46115095016243,0.11136723,103.65515,204.26657,260.49738,287.54816,1.4698629,1.3725216,1.1783406,1.2437015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.461023,16.724506,16.460491,16.353224,17.381044,18.042929,,15.324075,0.73651695,0.2640152,0.37128258,0.10726738,831.4301013555378,1424.9980638670486
27529,0495m665,15909,PSF,49.54649904076204,-66.51832633700924,0.10720358,42.446434,166.03595,319.99948,432.65002,1.4262811,1.300425,1.1788741,1.2718848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.430397,16.949495,16.237127,15.909658,16.434578,17.14101,,16.293238,1.4809017,0.712368,1.0398369,0.32746887,1027.5644977260724,639.5348270121895
27529,0495m665,8642,PSF,49.42815935841492,-66.55049934097752,0.09876501,111.90002,255.80293,323.51447,362.1672,1.42829,1.2597641,1.1457454,1.1784213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.377924,16.480236,16.225266,16.102728,17.109299,17.816265,,,0.8976879,0.25497055,0.37750816,0.12253761,1674.8515507278219,197.17044442311033
27529,0495m665,23940,PSF,49.69067453292539,-66.5444871958789,0.10033441,290.45343,393.84723,425.6725,428.4259,1.3710109,1.2463676,1.1073127,1.2077943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.342308,16.01168,15.927311,15.920311,17.462185,18.15251,19.052797,14.541093,0.33062744,0.08436966,0.09136963,0.0069999695,239.21712988977845,278.7717846211524
27529,0495m665,10062,PSF,49.45120719683557,-66.48903115750568,0.11040016,148.9459,363.37677,481.86734,555.56213,1.4469839,1.3507805,1.1810112,1.2440759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.067429,16.099108,15.792682,15.638168,16.533733,17.24435,18.422771,,0.96832085,0.30642605,0.4609394,0.15451336,1549.698492009532,1041.9243521114165
27529,0495m665,17657,PSF,49.5787068459052,-66.43498576980316,0.11314073,200.79272,408.7404,523.2103,587.56537,1.4668732,1.3874526,1.1776149,1.2395211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.74313,15.971381,15.703309,15.577359,16.548927,17.25921,,,0.77174854,0.26807213,0.394022,0.12594986,850.0704609380462,1784.5395141184413
27529,0495m665,7542,PSF,49.40822778108949,-66.46719793980628,0.111725,258.13193,449.73447,535.64264,578.35126,1.4610734,1.3975065,1.1799446,1.2452521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.470396,15.86761,15.677813,15.594521,16.834337,17.534307,19.281992,,0.60278606,0.1897974,0.2730894,0.08329201,1785.8013874113294,1341.5988057092045
27529,0495m665,17890,PSF,49.58340892322433,-66.54429540900954,0.10247726,330.53522,595.11365,716.5861,773.3918,1.4088466,1.2393738,1.1373346,1.1720815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.201956,15.5635,15.361829,15.279001,16.428709,17.097355,,16.891895,0.6384554,0.2016716,0.28449917,0.08282757,825.8717755047792,282.54814762388537
27529,0495m665,9038,PSF,49.43502069443792,-66.49241533742277,0.10981576,899.4982,1463.6528,1656.4474,1776.2175,1.4587826,1.3674259,1.1810112,1.2460068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.114999,14.586405,14.452056,14.37626,15.717497,16.376007,17.607594,,0.528594,0.13434887,0.210145,0.07579613,1638.363325214662,995.3213334505824
27529,0495m665,13769,PSF,49.50824418585101,-66.53982572705416,0.10399269,1163.6462,1919.4221,2054.89,2356.188,1.3817796,1.1800163,1.1265866,1.2065048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.835447,14.292074,14.218029,14.069475,15.34788,15.989661,18.192982,14.368512,0.5433731,0.07404518,0.22259903,0.14855385,1236.9738898294652,344.1629008698875
27529,0495m665,17654,PSF,49.57860829878549,-66.54172786478354,0.10303167,1617.5355,3031.7651,3667.0923,4339.5957,1.4088466,1.2393738,1.1373346,1.2088754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.477865,13.795761,13.589195,13.406377,14.36496,15.024502,16.963186,,0.6821041,0.20656586,0.38938427,0.18281841,852.0919926608371,317.8549014220398
27529,0495m665,14847,PSF,49.52752033864555,-66.43071580172993,0.11359718,4021.1084,6442.3657,6088.6396,6978.4155,1.4668732,1.3874526,1.1776149,1.2395211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.489136,12.977386,13.038699,12.890608,14.04477,14.698384,16.572838,17.272184,0.51174927,-0.061312675,0.08677864,0.14809132,1131.2416819567973,1843.3798582190464
27529,0495m665,17516,PSF,49.57589514341586,-66.46786836956292,0.11097493,2647.9648,5169.8022,6262.334,8038.7554,1.4698629,1.3725216,1.1586391,1.2437015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.942719,13.216315,13.00816,12.737028,13.443631,14.142375,15.645644,13.935408,0.7264042,0.20815563,0.47928715,0.27113152,865.9523219978793,1332.7326162978438
27529,0495m665,17805,PSF,49.58172835858709,-66.5353276156891,0.10433818,6504.806,12327.945,6797.685,10913.413,1.4317654,1.3008932,1.1788741,1.2718848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.966914,12.272773,12.919097,12.405099,12.868094,13.536606,15.532642,,0.6941414,-0.64632416,-0.13232613,0.51399803,834.9326963336698,405.77959929980966
27529,0495m665,7268,PSF,49.40282882301327,-66.43515443580499,0.11343733,1376.6128,4777.171,6989.6445,9153.896,1.4394482,1.3668476,1.1792144,1.2416514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.65297,13.302073,12.888863,12.595985,13.000845,13.67536,15.295947,15.903881,1.3508968,0.41321087,0.70608807,0.2928772,1816.21558408414,1781.8388347690395
27529,0495m665,17090,EXP,49.56792914144794,-66.49910283318941,0.10880154,296303.7,464353.03,600751.5,701266.44,1.41232,1.2842402,1.1964581,1.2420211,1.0,0.0,280.51776,90829.06,0.26150846,3195027000.0,0.26647255,2760009200.0,8.820658,8.332879,8.053263,7.8852925,,,9.478009,8.320484,0.48777866,0.27961636,0.44758654,0.16797018,910.0140545236812,903.5962644785067
