ID,ID_MASK,RA,DEC,RA_rad,DEC_rad,r_arcsec,r_kpc,theta_deg
4,4_2,49.494755,-66.5519097,0.863846437217926,-1.1615499477549516,219.17140802975473,6.91734332710582,231.3659158942675
8,8_2,49.5117758,-66.5448411,0.8641435062192495,-1.1614265774114452,185.44412024271594,5.852864929981241,234.87457688799424
10,10_2,49.5042371,-66.544535,0.8640119310829293,-1.1614212349586048,189.3418493729565,5.975882484288666,231.16512018280392
12,12_2,49.5359116,-66.5419246,0.8645647553968523,-1.1613756748838109,163.39127768769484,5.15684766813575,247.13138421306803
14,15_2,49.4092479,-66.5237394,0.8623540567890939,-1.161058283268677,244.18635837543528,7.70684868004896,195.1957941506928
16,17_2,49.4138432,-66.5296027,0.862434259904211,-1.1611606171587092,246.99023864050218,7.795342898414027,198.9938699189827
21_2,23_2,49.4279515,-66.522978,0.86268049619107,-1.1610449943317522,218.40400458829873,6.893123046172857,196.6450023416712
23_2,25_2,49.4512,-66.5052406,0.8630862590622199,-1.160735418301009,167.95883085073598,5.301005766482567,185.79185037548427
25,27_2,49.4705125,-66.5347859,0.8634233257740113,-1.1612510810644987,190.88550890280112,6.024602447554333,212.5025433466954
27,29_2,49.4345504,-66.5294496,0.8627956687230798,-1.1611579450596246,220.68554099670848,6.965131392481055,201.60980800600657
