ID,ID_MASK,RA,DEC,r_arcsec,r_kpc_4.19Mpc,r_kpc_6.51Mpc
1,,49.5238337,-66.5067706,97.27510089640847,1.9760147032019566,3.070132629557216
3,,49.5185147,-66.5071851,108.59172721503369,2.2058969627953906,3.427300531694031
7,,49.5586558,-66.5096822,44.771496329934564,0.9094735879690004,1.413048462453029
9,,49.5843346,-66.4786031,80.04980063263419,1.6261055663866255,2.526479054218838
11,,49.6018696,-66.4794242,101.18632716604033,2.0554660791976778,3.1935761755553416
13,,49.6583371,-66.4926456,197.30748125434388,4.008039882945245,6.2272886964137335
17,,49.6730708,-66.5019769,228.20045035590846,4.635589591017655,7.202312228526236
19,,49.6252067,-66.4847164,134.36140783708825,2.729373858082563,4.240626209097251
21_1,,49.5720754,-66.4789142,70.49882133034721,1.4320900849594205,2.225037339638622
23_1,,49.5779838,-66.4837372,57.431347094145224,1.1666416712698156,1.812610329347613
4,4_2,49.494755,-66.5519097,247.29603675278187,5.023491110921175,7.8049945422665505
8,8_2,49.5117758,-66.5448411,205.07304806576346,4.165787076797077,6.472380398555839
10,10_2,49.5042371,-66.544535,213.90948727160864,4.3452876235330296,6.751270269498811
12,12_2,49.5359116,-66.5419246,170.64139189185093,3.4663536325932927,5.385671157084089
14,15_2,49.4092479,-66.5237394,350.078236384405,7.11137522338088,11.0489385928901
16,17_2,49.4138432,-66.5296027,346.79346594694215,7.0446494670336115,10.945266833028354
21_2,23_2,49.4279515,-66.522978,310.7826353558597,6.313137188282319,9.808716729288278
23_2,25_2,49.4512,-66.5052406,249.38053681855448,5.065834966037589,7.870784159643128
25,27_2,49.4705125,-66.5347859,244.78000276633708,4.972381216352519,7.725585135669427
27,29_2,49.4345504,-66.5294496,304.9786427640904,6.195236773963295,9.625534939976383
