ID,ID_MASK,RA,DEC,r_arcsec,r_kpc_4.19Mpc,r_kpc_6.51Mpc
1,,49.5238337,-66.5067706,99.45726792996733,2.020342533277886,3.139004747407885
3,,49.5185147,-66.5071851,111.02559552345208,2.255337770553726,3.5041166793090106
7,,49.5586558,-66.5096822,45.16674061241646,0.917502451535767,1.4255229020281248
9,,49.5843346,-66.4786031,80.92116628997576,1.6438062044214892,2.553980522860118
11,,49.6018696,-66.4794242,103.07317344090788,2.093794859609745,3.2531275742385297
13,,49.6583371,-66.4926456,201.48504884408237,4.092901629732166,6.359138331636372
17,,49.6730708,-66.5019769,232.5086454803054,4.7231048629795644,7.338284643913355
19,,49.6252067,-66.4847164,137.37055574290892,2.790500708131716,4.335598952252379
21_1,,49.5720754,-66.4789142,70.71811433847053,1.4365447316713527,2.2319585210454664
23_1,,49.5779838,-66.4837372,57.97196382367972,1.1776235833574191,1.8296729182951785
4,4_2,49.494755,-66.5519097,251.0919965136681,5.1006010006170195,7.924800122677039
8,8_2,49.5117758,-66.5448411,207.93193238747185,4.223861521360905,6.562610621493912
10,10_2,49.5042371,-66.544535,217.20973566656838,4.412327794065506,6.855430534454998
12,12_2,49.5359116,-66.5419246,172.12453321642047,3.4964816821894256,5.432481086170205
14,15_2,49.4092479,-66.5237394,357.89526361839347,7.270167767488759,11.295654454976567
16,17_2,49.4138432,-66.5296027,354.57393949108064,7.202699471396641,11.1908290116449
21_2,23_2,49.4279515,-66.522978,317.7426996389734,6.4545216662414795,10.028385691463491
23_2,25_2,49.4512,-66.5052406,254.65697851264184,5.173018883319853,8.037315735181918
25,27_2,49.4705125,-66.5347859,249.9416089153332,5.0772324017901544,7.888492347411433
27,29_2,49.4345504,-66.5294496,311.80498131507164,6.333904790973507,9.840983338720173
