          wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err         eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err    snr_line  snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err         v_r    v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p          FWZI       v_med     v_50         v_1         v_5        v_10        v_90        v_95         v_99       chisqr     redchi         aic         bic observations comments
H1_6563A   6563.0000   4.892370       0.023720      4.562292          0.049217  534.887488  148.324346       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6564.625429  6870.480894  6572.088465   0.748700  0.008529  0.002363 -0.000001  0.018336    0.000003    0.022280  900.533502  3.608934  0.001364  0.759446  6571.950548  2.395885    NaN   NaN    NaN NaN NaN NaN  0.005326    0.019401   0.019401        NaN       NaN        NaN    NaN    NaN    NaN  -61.125040   0.884837  109.270743       0.884839       9.082224          NaN      45.0  68.151107  272.604426  5.641879  13951.906183  545.208853 -28.0937 -265.586251 -207.743654 -177.298268  169.783856  948.367983  9180.507003  1068.086430   9.622400  270.739651  287.312695           no       no
N2_6584A   6584.0000   4.892370       0.023720      0.286318          0.046334   33.568244   10.771536       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6564.625429  6870.480894  6572.088465   0.748700  0.008529  0.002363 -0.000001  0.018336    0.000003    0.022280   55.166623  3.608934  0.001344  0.046524  6592.845730  2.440555    NaN   NaN    NaN NaN NaN NaN  0.004997    0.302699   0.302700        NaN       NaN        NaN    NaN    NaN    NaN  -67.192315  13.761366  110.952988      13.761408       2.436390          NaN      45.0  68.151107  272.604426  5.747067  13951.906183  545.208853 -28.0937 -265.586251 -207.743654 -177.298268  169.783856  948.367983  9180.507003  1068.086430   9.622400  270.739651  287.312695           no       no
N2_6548A   6548.0000   4.892370       0.023720      0.095649          0.015604   11.213950    3.605804       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6564.625429  6870.480894  6572.088465   0.748700  0.008529  0.002363 -0.000001  0.018336    0.000003    0.022280   18.764158  3.608934  0.001336  0.015824  6556.748713  2.427192    NaN   NaN    NaN NaN NaN NaN  0.001700    0.301042   0.301043        NaN       NaN        NaN    NaN    NaN    NaN  -69.416229  13.761264  110.952164      13.761306       2.436390          NaN      45.0  68.151107  272.604426  5.715601  13951.906183  545.208853 -28.0937 -265.586251 -207.743654 -177.298268  169.783856  948.367983  9180.507003  1068.086430   9.622400  270.739651  287.312695           no       no
H1_4861A   4861.2582   1.351724       0.069507      1.570187          0.102341   64.148948   28.404677       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4867.414790   0.293208  0.024477  0.010720 -0.000100  0.510735    0.000049    0.237813   51.949753  2.283265  0.001383  0.305825  4867.979762  2.047994    NaN   NaN    NaN NaN NaN NaN  0.012898    0.099731   0.099732        NaN       NaN        NaN    NaN    NaN    NaN   34.797554   6.142629  126.139491       6.142654       9.082224          NaN      19.0  92.019095         NaN  4.822658           NaN         NaN      NaN         NaN         NaN         NaN         NaN         NaN          NaN   124.261477   2.344556   50.634035   56.710090           no       no
O3_5007A   5006.7664   2.888197       0.042346      2.894590          0.132024  154.312351   51.920200       O3  $[OIII]5007\mathring{A}$                        none         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5013.828480   0.479466  0.018758  0.006253 -0.000038  0.210755    0.000050    0.249687  157.041685  2.999797  0.001441  0.512934  5013.982004  2.244561    NaN   NaN    NaN NaN NaN NaN  0.015407    0.077848   0.077848        NaN       NaN        NaN    NaN    NaN    NaN    9.179660   4.654757  134.209298       4.654756       2.279635          NaN      21.0  89.331955         NaN  5.285537           NaN         NaN      NaN         NaN         NaN         NaN         NaN         NaN          NaN   420.288382  10.776625  102.737402  107.950411           no       no
O3_4959A   4958.8348   0.837680       0.052806      0.967656          0.087263   46.764316   19.296011       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4967.513946   0.178591  0.020692  0.008332 -0.000063  0.334960    0.000091    0.452309   35.527148  2.483562  0.001407  0.177130  4965.810186  2.181141    NaN   NaN    NaN NaN NaN NaN  0.009993    0.142082   0.142082        NaN       NaN        NaN    NaN    NaN    NaN -102.822901   8.574719  131.633170       8.574716       2.279635          NaN      16.0  90.164840         NaN  5.136194           NaN         NaN      NaN         NaN         NaN         NaN         NaN         NaN          NaN    86.850741   2.481450   37.410985   42.323744           no       no
S2_6716A   6716.0000   0.632089       0.013586      0.395967          0.010890   42.996222    7.729685       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000          NaN          NaN  6725.972241   0.073059  0.009209  0.001636  0.000004 -0.019961    0.000010    0.067955   93.055070  5.628731  0.001481  0.066536  6725.943494  2.374334    NaN   NaN    NaN NaN NaN NaN  0.001272    0.046573   0.046247        NaN       NaN        NaN    NaN    NaN    NaN  -26.170428   2.075708  105.820896       2.061153       1.610217          NaN      30.0  66.591875         NaN  5.591130           NaN         NaN      NaN         NaN         NaN         NaN         NaN         NaN          NaN    64.241141   1.259630   16.542086   24.571419           no       no
S2_6731A   6731.0000   0.632089       0.013586      0.253220          0.008346   27.495984    4.968280       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000          NaN          NaN  6725.972241   0.073059  0.009209  0.001636  0.000004 -0.019961    0.000010    0.067955   59.363527  5.628731  0.001387  0.042446  6740.338964  2.379416    NaN   NaN    NaN NaN NaN NaN  0.001169    0.046673   0.046346        NaN       NaN        NaN    NaN    NaN    NaN  -54.041094   2.075515  105.811057       2.060961       1.610217          NaN      30.0  66.591875         NaN  5.603097           NaN         NaN      NaN         NaN         NaN         NaN         NaN         NaN          NaN    64.241141   1.259630   16.542086   24.571419           no       no
O1_6300A   6300.0000   0.039640       0.026000      0.050815          0.031941    5.266379    4.526961       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6292.500000  6293.000000  6305.000000  6319.711710  6327.945925          NaN          NaN  6307.647413   0.018316  0.009649  0.005657 -0.000009  0.065441    0.000090    0.567587    2.183249  1.705503  0.001365  0.009855  6308.599044  2.108121    NaN   NaN    NaN NaN NaN NaN  0.003819    0.943348   0.943385        NaN       NaN        NaN    NaN    NaN    NaN   45.229521  44.835810  100.195618      44.837601       2.279635          NaN       9.0  71.008265         NaN  4.964244           NaN         NaN      NaN         NaN         NaN         NaN         NaN         NaN          NaN    14.436937   0.759839   -3.267555    0.005573           no       no
#LiMe:1.0.6
