           wavelength   intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw    eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err      snr_line   snr_cont    z_line        amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95         v_99        chisqr        redchi          aic          bic observations comments
H1_6563A    6563.0000  149.523350       0.037162    142.615665      3.538102e+00  1195.835364  48.555429       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.393774  6611.571697  6574.587506  19.097973  0.119260  0.003833 -0.000068  0.568536    0.000005    0.035965  14236.969002  31.110597  0.001700  19.474221  6574.154316  2.926982    NaN   NaN    NaN NaN NaN NaN  0.311428    0.054048   0.054052        NaN       NaN        NaN    NaN    NaN    NaN  39.383659    2.465025  133.492818       2.465179       9.082224          NaN      45.0  67.827723  406.966339  6.892516  3063.224063  169.569308 -48.445421 -819.884619 -281.966565 -238.995814  123.148514  611.285173  1008.009334  1.718666e+06  15345.233594  1143.192184  1159.816291           no       no
N2_6584A    6584.0000  149.523350       0.037162      7.629616      3.140144e+00    63.974489  26.410351       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.393774  6611.571697  6574.587506  19.097973  0.119260  0.003833 -0.000068  0.568536    0.000005    0.035965    941.688937  31.110597  0.001716   1.288101  6595.296282  2.387087    NaN   NaN    NaN NaN NaN NaN  0.326575    0.698828   0.698866        NaN       NaN        NaN    NaN    NaN    NaN  44.215184   31.770260  108.522231      31.771988       2.436390          NaN      45.0  67.827723  406.966339  5.621161  3063.224063  169.569308 -48.445421 -819.884619 -281.966565 -238.995814  123.148514  611.285173  1008.009334  1.718666e+06  15345.233594  1143.192184  1159.816291           no       no
N2_6548A    6548.0000  149.523350       0.037162      2.588456      9.988233e-01    21.704254   8.404161       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.393774  6611.571697  6574.587506  19.097973  0.119260  0.003833 -0.000068  0.568536    0.000005    0.035965    320.302360  31.110597  0.001708   0.438130  6559.185848  2.374017    NaN   NaN    NaN NaN NaN NaN  0.111080    0.695002   0.695040        NaN       NaN        NaN    NaN    NaN    NaN  41.990444   31.770024  108.521426      31.771752       2.436390          NaN      45.0  67.827723  406.966339  5.590384  3063.224063  169.569308 -48.445421 -819.884619 -281.966565 -238.995814  123.148514  611.285173  1008.009334  1.718666e+06  15345.233594  1143.192184  1159.816291           no       no
H1_4861A    4861.0000   40.196894       0.094125     41.371324      1.183268e+00   152.097312   9.169808       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4900.400000          NaN          NaN  4868.432581   7.239306  0.272006  0.014436  0.000012  0.214510    0.000078    0.378169    965.277341  18.841958  0.001766   7.458479  4869.582597  2.212562    NaN   NaN    NaN NaN NaN NaN  0.139452    0.047768   0.047768        NaN       NaN        NaN    NaN    NaN    NaN  70.816640    2.941522  136.247016       2.941522       9.082224          NaN      20.0  91.598126         NaN  5.210185          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  7.872516e+03    164.010754   263.004676   268.800153           no       no
O3_5007A    5006.7664  107.809446       0.155432    110.078999      2.769234e+00   429.687198  38.907748       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5003.838982  5033.618903  5014.206934  18.396629  0.256184  0.022284 -0.000169  1.105295    0.000170    0.854148   1687.204981  11.496335  0.001666  19.638674  5015.109644  2.235610    NaN   NaN    NaN NaN NaN NaN  0.350311    0.046046   0.046053        NaN       NaN        NaN    NaN    NaN    NaN  29.451480    2.752819  133.653076       2.753241       2.279635          NaN      21.0  88.935161  355.740644  5.264459  1780.500028  222.337903  10.747754 -253.313366 -178.382448 -151.849010  173.425343  225.104384   365.376490  1.711478e+04    438.840490   265.419394   272.464194           no       no
He1_5016A   5016.0000  107.809446       0.155432      0.751988      1.110223e-16     2.935345   0.255329      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5003.838982  5033.618903  5014.206934  18.396629  0.256184  0.022284 -0.000169  1.105295    0.000170    0.854148     21.478092  11.496335  0.001779   0.250000  5024.925191  1.200000    NaN   NaN    NaN NaN NaN NaN  0.000000    2.664686   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  63.260234  159.011582   71.608402       0.000000       4.557702          NaN      21.0  88.935161  355.740644  2.825784  1780.500028  222.337903  10.747754 -253.313366 -178.382448 -151.849010  173.425343  225.104384   365.376490  1.711478e+04    438.840490   265.419394   272.464194           no       no
O3_4959A    4958.8348   34.946137       0.111255     36.229534      1.214291e+00   137.035547  10.760973       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.607145   6.311692  0.264381  0.018775  0.000176 -0.609628    0.000207    1.029708    583.234782  14.081563  0.001614   6.552747  4966.839883  2.204676    NaN   NaN    NaN NaN NaN NaN  0.147346    0.057244   0.057244        NaN       NaN        NaN    NaN    NaN    NaN  14.048450    3.455333  133.077818       3.455332       2.279635          NaN      16.0  89.787513         NaN  5.191615          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  3.667511e+03    107.867972   176.064973   180.897726           no       no
S2_6716A    6716.0000   11.814755       0.016809      6.803789      7.878039e-02    61.230811   1.343834       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.244864  6748.943294  6727.799326   1.123320  0.111117  0.002072 -0.000092  0.732852    0.000013    0.088701   1140.837066  53.636373  0.001684   1.032870  6727.310716  2.628701    NaN   NaN    NaN NaN NaN NaN  0.008775    0.022081   0.021519        NaN       NaN        NaN    NaN    NaN    NaN  34.764793    0.984112  117.157676       0.959071       1.610217          NaN      30.0  66.283086  331.415430  6.190118  1323.369622  298.273887  83.662833 -273.667930 -207.861707 -164.763048  671.519727  724.995854   806.250268  2.149510e+03     42.990191   206.936590   214.892526           no       no
S2_6731A    6731.0000   11.814755       0.016809      5.175884      7.116908e-02    46.580450   1.079086       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.244864  6748.943294  6727.799326   1.123320  0.111117  0.002072 -0.000092  0.732852    0.000013    0.088701    865.682010  53.636373  0.001591   0.783755  6741.709112  2.634327    NaN   NaN    NaN NaN NaN NaN  0.008325    0.022128   0.021565        NaN       NaN        NaN    NaN    NaN    NaN   6.888462    0.984021  117.146783       0.958982       1.610217          NaN      30.0  66.283086  331.415430  6.203366  1323.369622  298.273887  83.662833 -273.667930 -207.861707 -164.763048  671.519727  724.995854   806.250268  2.149510e+03     42.990191   206.936590   214.892526           no       no
O1_6300A    6300.0000    0.729704       0.030094      0.790524      7.890256e-02     6.156684   0.681564       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6291.000000  6291.500000  6305.800000  6319.711710  6327.945925          NaN          NaN  6308.326188   0.263495  0.128401  0.006149  0.000116 -0.601611    0.000104    0.654368     31.932220  20.883019  0.001409   0.148616  6308.876366  2.124909    NaN   NaN    NaN NaN NaN NaN  0.009640    0.159157   0.159159        NaN       NaN        NaN    NaN    NaN    NaN  26.146252    7.563654  100.982659       7.563775       2.279635          NaN      10.0  70.690590         NaN  5.003777          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  7.883761e+01      4.149348    34.079649    37.352777           no       no
#LiMe:1.0.6
#u_wave:Angstrom
#u_flux:1e-15 erg / (Angstrom s cm2)
#redshift:0.001568
#id:None
