          wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err        m_cont    n_cont  m_cont_err  n_cont_err    snr_line  snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95        v_99       chisqr     redchi         aic         bic observations comments
H1_6563A   6563.0000   2.954089       0.015382      2.809194          0.042733  1116.469045  691.811067       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000          NaN          NaN  6572.386412   0.447367  0.002516  0.001559 -2.119717e-08  0.002655    0.000002    0.014686  863.352069  1.614322  0.001343  0.474914  6571.812088  2.359627    NaN   NaN    NaN NaN NaN NaN  0.004766    0.027342   0.027342        NaN       NaN        NaN    NaN    NaN    NaN -67.439868    1.246984  107.617091       1.246988       9.082224          NaN      46.0  68.123358         NaN  5.556497          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  1972.276978  17.453779  346.130638  362.805379           no       no
N2_6584A   6584.0000   2.954089       0.015382      0.165161          0.042002    65.640518   43.954545       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000          NaN          NaN  6572.386412   0.447367  0.002516  0.001559 -2.119717e-08  0.002655    0.000002    0.014686   47.653946  1.614322  0.001302  0.026214  6592.569411  2.515044    NaN   NaN    NaN NaN NaN NaN  0.004371    0.484300   0.484301        NaN       NaN        NaN    NaN    NaN    NaN -79.754380   22.017331  114.339429      22.017397       2.436390          NaN      46.0  68.123358         NaN  5.922476          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  1972.276978  17.453779  346.130638  362.805379           no       no
N2_6548A   6548.0000   2.954089       0.015382      0.056235          0.014689    22.349784   15.025218       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000          NaN          NaN  6572.386412   0.447367  0.002516  0.001559 -2.119717e-08  0.002655    0.000002    0.014686   16.208825  1.614322  0.001294  0.008916  6556.473907  2.501274    NaN   NaN    NaN NaN NaN NaN  0.001487    0.481648   0.481650        NaN       NaN        NaN    NaN    NaN    NaN -81.978201   22.017167  114.338581      22.017233       2.436390          NaN      46.0  68.123358         NaN  5.890049          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  1972.276978  17.453779  346.130638  362.805379           no       no
H1_4861A   4861.2582   0.924676       0.047739      0.962722          0.054839   112.985582   93.518874       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4868.329578   0.179087  0.008521  0.007036 -7.311623e-05  0.364475    0.000032    0.157179   48.106225  1.211029  0.001425  0.181164  4868.184320  2.116213    NaN   NaN    NaN NaN NaN NaN  0.006691    0.090257   0.090257        NaN       NaN        NaN    NaN    NaN    NaN  -8.945023    5.558034  130.316680       5.558025       9.082224          NaN      20.0  91.968512         NaN  4.983300          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN    80.263689   1.514409   26.158075   32.234130           no       no
O3_5007A   5006.7664   3.577316       0.046355      3.684832          0.194359   579.496245  609.150183       O3  $[OIII]5007\mathring{A}$                        none         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5014.690288   0.599382  0.006359  0.006676 -5.745606e-05  0.294483    0.000053    0.264319  185.143122  0.952519  0.001421  0.661527  5013.879237  2.221110    NaN   NaN    NaN NaN NaN NaN  0.023178    0.089859   0.089859        NaN       NaN        NaN    NaN    NaN    NaN -48.486927    5.371999  132.784259       5.372001       2.279635          NaN      20.0  89.284284         NaN  5.230314          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN   804.982803  21.183758  128.067203  133.207919           no       no
O3_4959A   4958.8348   1.190514       0.051629      1.246318          0.062370   143.103394  139.160421       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4965.405559   0.216745  0.008709  0.008458 -6.375864e-05  0.325297    0.000095    0.468898   44.160233  1.029698  0.001415  0.223512  4965.852262  2.227325    NaN   NaN    NaN NaN NaN NaN  0.007054    0.081169   0.081169        NaN       NaN        NaN    NaN    NaN    NaN  26.970225    4.900695  134.477495       4.900695       2.279635          NaN      16.0  90.170485         NaN  5.244950          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN    41.676428   1.225777   10.403658   15.236412           no       no
S2_6716A   6716.0000   0.314385       0.007068      0.189562          0.006544    80.908642   30.579520       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6715.886895  6744.030346  6726.214505   0.029194  0.002343  0.000882  6.467433e-06 -0.041158    0.000006    0.037604   74.875982  2.656951  0.001436  0.029348  6725.645567  2.575650    NaN   NaN    NaN NaN NaN NaN  0.000700    0.062527   0.061292        NaN       NaN        NaN    NaN    NaN    NaN -39.448635    2.786739  114.793268       2.731712       1.610217          NaN      29.0  66.565381  266.261523  6.065192  1254.374891  199.696142  40.478194 -387.736772 -245.574043 -185.297334  652.260744  698.684755  759.823232    70.589257   1.440597   23.189061   31.070228           no       no
S2_6731A   6731.0000   0.314385       0.007068      0.127801          0.004979    54.548083   20.640028       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6715.886895  6744.030346  6726.214505   0.029194  0.002343  0.000882  6.467433e-06 -0.041158    0.000006    0.037604   50.286727  2.656951  0.001343  0.019710  6740.040399  2.581163    NaN   NaN    NaN NaN NaN NaN  0.000649    0.062661   0.061423        NaN       NaN        NaN    NaN    NaN    NaN -67.318066    2.786480  114.782596       2.731458       1.610217          NaN      29.0  66.565381  266.261523  6.078174  1254.374891  199.696142  40.478194 -387.736772 -245.574043 -185.297334  652.260744  698.684755  759.823232    70.589257   1.440597   23.189061   31.070228           no       no
O1_6300A   6300.2076   0.029522       0.023097      0.054704          0.039490    12.535752   17.311281       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6293.637954  6294.754436  6307.155360  6319.711710  6327.945925          NaN          NaN  6309.534526   0.014768  0.004364  0.005137 -9.604409e-05  0.610357    0.000082    0.520097    1.331966  0.849440  0.001234  0.005180  6307.984757  4.008217    NaN   NaN    NaN NaN NaN NaN  0.002433    2.172959   2.177276        NaN       NaN        NaN    NaN    NaN    NaN -73.636032  103.246420  190.447212     103.451539       2.279635          NaN      10.0  70.961341         NaN  9.438630          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN    14.913861   0.710184   -5.418307   -1.884145           no       no
#LiMe:1.0.6
