           wavelength   intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err        m_cont    n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line        amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med        v_50         v_1         v_5        v_10        v_90        v_95         v_99         chisqr       redchi         aic         bic observations comments
H1_6563A    6563.0000   82.541360       0.042964     80.038134      1.262717e+00  1513.125699  125.841649       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6552.402131  6602.554174  6571.642755  13.452072  0.052896  0.004319 -2.371643e-06  0.068481    0.000006    0.040775  9021.144618  12.246406  0.001245  13.903687  6571.168105  2.294768    NaN   NaN    NaN NaN NaN NaN  0.144478    0.027535   0.027535        NaN       NaN        NaN    NaN    NaN    NaN -96.810433    1.255789  104.659004       1.255817       9.082224          NaN      45.0  68.055176  272.220705  5.403765  2287.891297  374.303469  -51.459585 -342.025027 -234.916302 -193.661373   89.060490  159.386670  1023.733314  225736.485692  2033.662033  897.099111  913.672155           no       no
N2_6584A    6584.0000   82.541360       0.042964      3.351947      1.233561e+00    63.368766   23.887725       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6552.402131  6602.554174  6571.642755  13.452072  0.052896  0.004319 -2.371643e-06  0.068481    0.000006    0.040775   341.975423  12.246406  0.001381   0.527064  6593.090250  2.555363    NaN   NaN    NaN NaN NaN NaN  0.129657    0.725861   0.725878        NaN       NaN        NaN    NaN    NaN    NaN -56.075893   32.999216  116.172426      33.000003       2.436390          NaN      45.0  68.055176  272.220705  6.017420  2287.891297  374.303469  -51.459585 -342.025027 -234.916302 -193.661373   89.060490  159.386670  1023.733314  225736.485692  2033.662033  897.099111  913.672155           no       no
N2_6548A    6548.0000   82.541360       0.042964      1.142708      4.519501e-01    21.602969    8.724343       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6552.402131  6602.554174  6571.642755  13.452072  0.052896  0.004319 -2.371643e-06  0.068481    0.000006    0.040775   116.318171  12.246406  0.001373   0.179273  6556.991894  2.541372    NaN   NaN    NaN NaN NaN NaN  0.044101    0.721886   0.721904        NaN       NaN        NaN    NaN    NaN    NaN -58.299889   32.998971  116.171564      32.999758       2.436390          NaN      45.0  68.055176  272.220705  5.984474  2287.891297  374.303469  -51.459585 -342.025027 -234.916302 -193.661373   89.060490  159.386670  1023.733314  225736.485692  2033.662033  897.099111  913.672155           no       no
H1_4861A    4861.2582   26.266430       0.078425     26.796062      9.702858e-01   422.490825   82.844811       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4869.484049   4.167376  0.063424  0.012223  1.137249e-04 -0.490357    0.000056    0.273140   629.632507   5.189028  0.001563   4.226096  4868.857758  2.525067    NaN   NaN    NaN NaN NaN NaN  0.101515    0.070038   0.070038        NaN       NaN        NaN    NaN    NaN    NaN -38.557952    4.311930  155.457157       4.311930       9.082224          NaN      19.0  91.844290         NaN  5.946079          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN    7174.179134   137.964983  273.900074  279.922074           no       no
O3_5007A    5006.7664  122.393499       0.040867    124.782756      3.332028e+00  1873.154064  177.017100       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5002.211542  5027.435723  5014.189917  19.931290  0.066616  0.006039 -4.910011e-07  0.069078    0.000046    0.230800  6697.669332  11.031302  0.001507  21.126603  5014.311921  2.357349    NaN   NaN    NaN NaN NaN NaN  0.370941    0.047792   0.047801        NaN       NaN        NaN    NaN    NaN    NaN -18.239315    2.857173  140.931094       2.857721       2.279635          NaN      21.0  89.193731  445.968654  5.551133  1508.123784  133.790596  -38.180427 -338.865667 -259.819574 -223.941577  131.547894  165.883891   256.088218  274731.985466  7044.409884  384.781101  391.825902           no       no
He1_5016A   5016.0000  122.393499       0.040867      0.438660      5.551115e-17     6.584865    0.596925      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5002.211542  5027.435723  5014.189917  19.931290  0.066616  0.006039 -4.910011e-07  0.069078    0.000046    0.230800    44.383553  11.031302  0.001701   0.140000  5024.530706  1.250000    NaN   NaN    NaN NaN NaN NaN  0.000000    5.313979   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  39.719862  317.104625   74.592085       0.000000       4.557702          NaN      21.0  89.193731  445.968654  2.943525  1508.123784  133.790596  -38.180427 -338.865667 -259.819574 -223.941577  131.547894  165.883891   256.088218  274731.985466  7044.409884  384.781101  391.825902           no       no
O3_4959A    4958.8348   39.663372       0.032229     40.711013      1.379654e+00   630.789779   57.147734       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.451899   6.690636  0.064540  0.005423  1.180724e-04 -0.521861    0.000060    0.296532  2175.847478  11.901915  0.001501   7.060577  4966.279461  2.297480    NaN   NaN    NaN NaN NaN NaN  0.165101    0.062034   0.062034        NaN       NaN        NaN    NaN    NaN    NaN -10.408908    3.744600  138.683947       3.744601       2.279635          NaN      16.0  90.051070         NaN  5.410152          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN   57356.052574  1686.942723  277.806282  282.639036           no       no
S2_6716A    6716.0000    8.036068       0.009408      4.614511      6.329228e-02    95.392526    2.557546       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6711.202519  6746.825914  6725.299501   0.739208  0.048374  0.001114 -5.161553e-05  0.395504    0.000007    0.047579  1422.470921  43.408974  0.001463   0.692749  6725.826839  2.658754    NaN   NaN    NaN NaN NaN NaN  0.006659    0.025303   0.024579        NaN       NaN        NaN    NaN    NaN    NaN -31.369615    1.127736  118.497091       1.095468       1.610217          NaN      30.0  66.500281  266.001123  6.260887  1587.977610  199.500842  124.842900 -255.800437 -175.803810 -122.651673  716.838051  769.480594   848.193508    4316.896535    86.337931  244.590631  252.546567           no       no
S2_6731A    6731.0000    8.036068       0.009408      3.507277      5.341880e-02    72.503463    2.002289       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6711.202519  6746.825914  6725.299501   0.739208  0.048374  0.001114 -5.161553e-05  0.395504    0.000007    0.047579  1077.981435  43.408974  0.001370   0.524981  6740.222059  2.664444    NaN   NaN    NaN NaN NaN NaN  0.006317    0.025357   0.024632        NaN       NaN        NaN    NaN    NaN    NaN -59.239796    1.127631  118.486074       1.095367       1.610217          NaN      30.0  66.500281  266.001123  6.274287  1587.977610  199.500842  124.842900 -255.800437 -175.803810 -122.651673  716.838051  769.480594   848.193508    4316.896535    86.337931  244.590631  252.546567           no       no
O1_6300A    6300.0000    1.056323       0.015189      1.060427      3.879003e-02    21.282982    1.559862       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6291.000000  6292.000000  6305.800000  6319.711710  6327.945925          NaN          NaN  6309.083656   0.197690  0.049825  0.003164  1.211969e-04 -0.714816    0.000052    0.327003    63.108683  15.745446  0.001380   0.151162  6308.696926  2.796364    NaN   NaN    NaN NaN NaN NaN  0.003511    0.074994   0.075029        NaN       NaN        NaN    NaN    NaN    NaN -18.376456    3.563552  132.876485       3.565195       2.279635          NaN      10.0  70.887363         NaN  6.584934          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN      54.523255     2.726163   25.852061   29.258544           no       no
