           wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i         w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err     snr_line  snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err         v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med        v_50         v_1         v_5        v_10        v_90        v_95         v_99        chisqr      redchi         aic         bic observations comments
H1_6563A    6563.0000  19.889171       0.027529     19.285369          0.358447  1037.064498  161.951453       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6594.000000  6627.700000  6661.820000  6551.302034  6597.33824  6570.616426   3.137393  0.018596  0.002883 -0.000009  0.076823    0.000004    0.027071  3119.886450  6.449395  0.001170  3.404657  6570.677767  2.260003    NaN   NaN    NaN NaN NaN NaN  0.042283    0.032410   0.032411        NaN       NaN        NaN    NaN    NaN    NaN -119.173611    1.478130  103.073487       1.478191       9.082224          NaN      40.0  67.826368  271.305470  5.321902  2100.458542  203.479103  -27.013447 -631.644394 -193.554776 -162.336732  116.683659  192.883520  1051.204799  41334.902572  386.307501  678.934441  695.298768           no       no
N2_6584A    6584.0000  19.889171       0.027529      0.909404          0.394896    48.902919   22.548581       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6594.000000  6627.700000  6661.820000  6551.302034  6597.33824  6570.616426   3.137393  0.018596  0.002883 -0.000009  0.076823    0.000004    0.027071   117.578921  6.449395  0.001256  0.128311  6592.268331  2.829751    NaN   NaN    NaN NaN NaN NaN  0.035785    0.911284   0.911329        NaN       NaN        NaN    NaN    NaN    NaN  -93.442121   41.428975  128.646722      41.431014       2.436390          NaN      40.0  67.826368  271.305470  6.663555  2100.458542  203.479103  -27.013447 -631.644394 -193.554776 -162.336732  116.683659  192.883520  1051.204799  41334.902572  386.307501  678.934441  695.298768           no       no
N2_6548A    6548.0000  19.889171       0.027529      0.313102          0.134353    16.836943    7.681978       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6594.000000  6627.700000  6661.820000  6551.302034  6597.33824  6570.616426   3.137393  0.018596  0.002883 -0.000009  0.076823    0.000004    0.027071    39.992830  6.449395  0.001248  0.043643  6556.174476  2.814258    NaN   NaN    NaN NaN NaN NaN  0.012172    0.906295   0.906339        NaN       NaN        NaN    NaN    NaN    NaN  -95.665841   41.428667  128.645768      41.430706       2.436390          NaN      40.0  67.826368  271.305470  6.627071  2100.458542  203.479103  -27.013447 -631.644394 -193.554776 -162.336732  116.683659  192.883520  1051.204799  41334.902572  386.307501  678.934441  695.298768           no       no
H1_4861A    4861.2582   5.740163       0.085818      5.913506          0.164149   142.122097   44.371331       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN         NaN  4868.499235   1.016787  0.041609  0.012939 -0.000018  0.131413    0.000058    0.281288   147.159425  3.215752  0.001526  1.019143  4868.676728  2.313204    NaN   NaN    NaN NaN NaN NaN  0.018914    0.049572   0.049572        NaN       NaN        NaN    NaN    NaN    NaN   10.929645    3.052555  142.442474       3.052555       9.082224          NaN      20.0  91.539718         NaN  5.447179          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN    216.099823    3.929088   82.287251   88.468580           no       no
O3_5007A    5006.7664  17.103078       0.058605     17.750186          0.766367   431.243553   90.887014       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN         NaN  5012.696063   2.880011  0.041160  0.008491 -0.000098  0.532065    0.000065    0.325656   710.920640  4.847642  0.001399  3.152989  5013.770170  2.245991    NaN   NaN    NaN NaN NaN NaN  0.088862    0.073089   0.073109        NaN       NaN        NaN    NaN    NaN    NaN  -50.627230    4.369528  134.273693       4.370722       2.279635          NaN      21.0  88.906457         NaN  5.288904          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN   7624.886616  195.509913  230.652822  237.697623           no       no
He1_5016A   5016.0000  17.103078       0.058605      0.075199          0.000000     1.826968    0.376878      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN         NaN  5012.696063   2.880011  0.041160  0.008491 -0.000098  0.532065    0.000065    0.325656     4.509502  4.847642  0.001602  0.020000  5024.033882  1.500000    NaN   NaN    NaN NaN NaN NaN  0.000000    9.413940   0.000000        NaN       NaN        NaN    NaN    NaN    NaN   10.072572  561.764341   89.510502       0.000000       4.557702          NaN      21.0  88.906457         NaN  3.532230          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN   7624.886616  195.509913  230.652822  237.697623           no       no
O3_4959A    4958.8348   5.833692       0.092976      6.055590          0.259684   152.334370   58.929608       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN         NaN  4965.125975   1.013932  0.039752  0.015283  0.000162 -0.766121    0.000169    0.838719   119.196884  2.601054  0.001404  1.057574  4965.798670  2.287377    NaN   NaN    NaN NaN NaN NaN  0.028847    0.072044   0.072044        NaN       NaN        NaN    NaN    NaN    NaN   40.617039    4.349968  138.110994       4.349968       2.279635          NaN      17.0  89.758255         NaN  5.386362          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN    226.717949    6.477656   73.872582   78.785340           no       no
S2_6716A    6716.0000   1.847753       0.014879      1.115380          0.018725    61.511534    6.300162       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.380847  6744.78102  6725.219210   0.180742  0.018133  0.001832 -0.000041  0.295813    0.000012    0.078496   209.168863  9.897349  0.001502  0.167473  6726.084512  2.656121    NaN   NaN    NaN NaN NaN NaN  0.002000    0.032234   0.031349        NaN       NaN        NaN    NaN    NaN    NaN  -19.885456    1.436641  118.379773       1.397195       1.610217          NaN      30.0  66.267140  331.335702  6.254688  1132.272402  331.335702  125.624896 -222.370105 -153.192458 -106.062941  719.897778  773.185105   841.556190    142.022958    2.840459   60.218252   68.174189           no       no
S2_6731A    6731.0000   1.847753       0.014879      0.765130          0.014764    42.195812    4.340398       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.380847  6744.78102  6725.219210   0.180742  0.018133  0.001832 -0.000041  0.295813    0.000012    0.078496   143.233860  9.897349  0.001408  0.114682  6740.480284  2.661806    NaN   NaN    NaN NaN NaN NaN  0.001864    0.032303   0.031416        NaN       NaN        NaN    NaN    NaN    NaN  -47.756706    1.436508  118.368766       1.397065       1.610217          NaN      30.0  66.267140  331.335702  6.268075  1132.272402  331.335702  125.624896 -222.370105 -153.192458 -106.062941  719.897778  773.185105   841.556190    142.022958    2.840459   60.218252   68.174189           no       no
O1_6300A    6300.0000   0.050244       0.034440      0.068218          0.037356     2.721798    1.707114       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6293.000000  6293.800000  6306.000000  6319.711710  6327.945925          NaN         NaN  6308.980945   0.042840  0.025064  0.007665 -0.000141  0.914414    0.000122    0.772813     2.974627  3.269910  0.001448  0.018192  6309.120276  1.492879    NaN   NaN    NaN NaN NaN NaN  0.006077    0.577814   0.573778        NaN       NaN        NaN    NaN    NaN    NaN    6.620769   27.456760   70.939160      27.264988       2.279635          NaN       9.0  70.639149         NaN  3.515461          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN     14.997999    0.749900   -3.834281   -0.427798           no       no
