           wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err         eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6  w_i  w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err     snr_line  snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err         v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel  FWHM_i    FWHM_p  FWZI  v_med  v_50  v_1  v_5  v_10  v_90  v_95  v_99        chisqr      redchi         aic         bic observations comments
H1_6563A    6563.0000  12.812144       0.023129     12.506139          0.193345  903.047062  158.408552       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  NaN  NaN  6571.934462   2.018314  0.013849  0.002420 -0.000009  0.071393    0.000003    0.022685  2542.759285  5.723017  0.001489  2.195574  6572.774399  2.272052    NaN   NaN    NaN NaN NaN NaN  0.022706    0.027132   0.027132        NaN       NaN        NaN    NaN    NaN    NaN  -23.551111    1.237441  103.623008       1.237441       9.082224          NaN      45.0  67.912943     NaN  5.350274   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN  17783.334972  158.779777  603.809227  620.433335           no       no
N2_6584A    6584.0000  12.812144       0.023129      0.476331          0.191222   34.395023   15.059076       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  NaN  NaN  6571.934462   2.018314  0.013849  0.002420 -0.000009  0.071393    0.000003    0.022685    95.359089  5.723017  0.001425  0.082339  6593.383350  2.295968    NaN   NaN    NaN NaN NaN NaN  0.021391    0.688739   0.688739        NaN       NaN        NaN    NaN    NaN    NaN  -42.750944   31.311578  104.379764      31.311586       2.436390          NaN      45.0  67.912943     NaN  5.406592   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN  17783.334972  158.779777  603.809227  620.433335           no       no
N2_6548A    6548.0000  12.812144       0.023129      0.163891          0.067932   11.834270    5.323280       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  NaN  NaN  6571.934462   2.018314  0.013849  0.002420 -0.000009  0.071393    0.000003    0.022685    32.435064  5.723017  0.001418  0.028006  6557.283389  2.283397    NaN   NaN    NaN NaN NaN NaN  0.007276    0.684968   0.684968        NaN       NaN        NaN    NaN    NaN    NaN  -44.975039   31.311346  104.378989      31.311354       2.436390          NaN      45.0  67.912943     NaN  5.376990   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN  17783.334972  158.779777  603.809227  620.433335           no       no
H1_4861A    4861.2582   3.897520       0.219686      3.832398          0.228653  230.500660  469.684026       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000  NaN  NaN  4867.302767   0.654140  0.016626  0.033865  0.000113 -0.531341    0.000155    0.753870    38.412679  0.490967  0.001530  0.696252  4868.695452  2.189921    NaN   NaN    NaN NaN NaN NaN  0.026797    0.097324   0.097324        NaN       NaN        NaN    NaN    NaN    NaN   85.779853    5.994508  134.884108       5.994505       9.082224          NaN      20.0  91.697483     NaN  5.156870   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN     58.771854    1.088368    7.744872   13.874026           no       no
O3_5007A    5007.0000  12.503585       0.075881     12.797299          0.627931  559.224426  285.569982       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4972.262233  4985.876846  5000.000000  5027.000000  5036.600000  5043.980000  NaN  NaN  5013.201375   2.237808  0.022884  0.011632 -0.000091  0.476738    0.000110    0.550281   358.013685  1.967378  0.001416  2.286802  5014.092362  2.233568    NaN   NaN    NaN NaN NaN NaN  0.074088    0.083527   0.083715        NaN       NaN        NaN    NaN    NaN    NaN  -45.350650    4.993338  133.524799       5.004559       2.279635          NaN      19.0  89.028822     NaN  5.259652   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN   2154.795386   71.826513  149.069078  155.174520           no       no
He1_5016A   5016.0000  12.503585       0.075881      0.140371          0.000000    6.134028    3.117870      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4972.262233  4985.876846  5000.000000  5027.000000  5036.600000  5043.980000  NaN  NaN  5013.201375   2.237808  0.022884  0.011632 -0.000091  0.476738    0.000110    0.550281     5.479477  1.967378  0.002167  0.035000  5026.869792  1.600000    NaN   NaN    NaN NaN NaN NaN  0.000000    4.618105   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  179.301709  275.579251   95.477869       0.000000       4.557702          NaN      19.0  89.028822     NaN  3.767712   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN   2154.795386   71.826513  149.069078  155.174520           no       no
O3_4959A    4958.8348   4.169510       0.218694      4.380904          0.282891  130.061509  135.536363       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360  NaN  NaN  4965.561013   0.820069  0.033683  0.035034 -0.000253  1.290731    0.000393    1.948427    39.904512  0.961454  0.001459  0.836585  4966.068803  2.087934    NaN   NaN    NaN NaN NaN NaN  0.035366    0.101920   0.101920        NaN       NaN        NaN    NaN    NaN    NaN   30.657493    6.153369  126.057621       6.153378       2.279635          NaN      16.0  89.882978     NaN  4.916708   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN     57.418259    1.688772   22.259444   27.092198           no       no
S2_6716A    6716.0000   0.947414       0.011881      0.577772          0.019292   46.808483    5.543025       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  NaN  NaN  6726.765638   0.104909  0.012343  0.001402  0.000004 -0.013099    0.000009    0.059997   166.128368  8.801717  0.001578  0.101814  6726.595702  2.262466    NaN   NaN    NaN NaN NaN NaN  0.002347    0.051635   0.051450        NaN       NaN        NaN    NaN    NaN    NaN    2.897576    2.301293  100.835057       2.293041       1.610217          NaN      30.0  66.349779     NaN  5.327699   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN    285.174663    5.703493   97.862361  105.818297           no       no
S2_6731A    6731.0000   0.947414       0.011881      0.426048          0.016381   34.516470    4.140032       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  NaN  NaN  6726.765638   0.104909  0.012343  0.001402  0.000004 -0.013099    0.000009    0.059997   122.362916  8.801717  0.001485  0.074992  6740.992567  2.267308    NaN   NaN    NaN NaN NaN NaN  0.002210    0.051745   0.051560        NaN       NaN        NaN    NaN    NaN    NaN  -24.975792    2.301079  100.825682       2.292827       1.610217          NaN      30.0  66.349779     NaN  5.339102   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN    285.174663    5.703493   97.862361  105.818297           no       no
O1_6300A    6300.0000   0.076777       0.019948      0.076405          0.031959    5.090342    2.579590       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6293.600000  6293.554436  6306.200000  6319.711710  6327.945925  NaN  NaN  6309.912472   0.026880  0.015010  0.004294 -0.000016  0.113123    0.000069    0.436136     2.880835  3.495422  0.001708  0.009364  6310.760315  3.200018    NaN   NaN    NaN NaN NaN NaN  0.002484    0.979166   0.994154        NaN       NaN        NaN    NaN    NaN    NaN   40.282136   46.521506  152.037158      47.233613       2.279635          NaN      10.0  70.733059     NaN  7.535466   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN     16.850567    0.842528   -1.155529    2.250954           no       no
