           wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err         eqw    eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95        v_99        chisqr      redchi         aic         bic observations comments
H1_6563A    6563.0000  32.085628       0.016677     30.152086          0.318209  860.544860  41.677349       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6545.725436  6612.283156  6573.504448   4.648066  0.035038  0.001656 -0.000021  0.175775    0.000002    0.015601  8327.856090  21.156169  0.001456  4.921473  6572.557745  2.444128    NaN   NaN    NaN NaN NaN NaN  0.034351    0.019698   0.019699        NaN       NaN        NaN    NaN    NaN    NaN -33.432212    0.898402  111.470960       0.898406       9.082224          NaN      45.0  68.185112  272.740447  5.755481  3035.443671  238.647891 -71.034506 -756.988452 -266.488741 -227.090455  100.544235  747.462359  977.003978  92240.135197  830.992209  792.387272  808.960316           no       no
N2_6584A    6584.0000  32.085628       0.016677      1.886297          0.307869   53.835198   9.147683       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6545.725436  6612.283156  6573.504448   4.648066  0.035038  0.001656 -0.000021  0.175775    0.000002    0.015601   505.406721  21.156169  0.001404  0.298678  6593.246254  2.528229    NaN   NaN    NaN NaN NaN NaN  0.031985    0.312624   0.312626        NaN       NaN        NaN    NaN    NaN    NaN -48.983597   14.212577  114.938849      14.212644       2.436390          NaN      45.0  68.185112  272.740447  5.953524  3035.443671  238.647891 -71.034506 -756.988452 -266.488741 -227.090455  100.544235  747.462359  977.003978  92240.135197  830.992209  792.387272  808.960316           no       no
N2_6548A    6548.0000  32.085628       0.016677      0.636770          0.104255   18.173511   3.096985       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6545.725436  6612.283156  6573.504448   4.648066  0.035038  0.001656 -0.000021  0.175775    0.000002    0.015601   171.907048  21.156169  0.001397  0.101591  6557.147044  2.514386    NaN   NaN    NaN NaN NaN NaN  0.010879    0.310912   0.310914        NaN       NaN        NaN    NaN    NaN    NaN -51.207646   14.212471  114.937996      14.212539       2.436390          NaN      45.0  68.185112  272.740447  5.920928  3035.443671  238.647891 -71.034506 -756.988452 -266.488741 -227.090455  100.544235  747.462359  977.003978  92240.135197  830.992209  792.387272  808.960316           no       no
H1_4861A    4861.2582   9.458842       0.061817      9.753157          0.311534  115.816805  13.331728       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4869.107819   1.590152  0.084212  0.009313 -0.000108  0.608732    0.000043    0.207645   324.889154   9.042412  0.001544  1.661533  4868.762885  2.339177    NaN   NaN    NaN NaN NaN NaN  0.034338    0.055822   0.055822        NaN       NaN        NaN    NaN    NaN    NaN -21.237664    3.436964  144.023844       3.436964       9.082224          NaN      19.0  92.052826         NaN  5.508341          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN   1306.971824   25.134074  180.247423  186.269423           no       no
O3_5007A    5006.7664  25.572019       0.040834     26.238418          0.894000  333.136984  26.869754       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5003.283157  5025.775108  5014.131041   4.142928  0.078762  0.005758 -0.000031  0.236040    0.000044    0.219583  1491.878660  13.678621  0.001535  4.487016  5014.453341  2.333146    NaN   NaN    NaN NaN NaN NaN  0.097302    0.058418   0.058439        NaN       NaN        NaN    NaN    NaN    NaN  -9.784751    3.492457  139.484142       3.493700       2.279635          NaN      21.0  89.390391  357.561565  5.494139  1344.782776   89.390391 -24.410087 -298.897248 -234.587093 -187.706253  148.560649  176.843377  264.699554  20531.838698  526.457403  273.246874  280.291674           no       no
He1_5016A   5016.0000  25.572019       0.040834      0.140998          0.000000    1.790184   0.130875      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5003.283157  5025.775108  5014.131041   4.142928  0.078762  0.005758 -0.000031  0.236040    0.000044    0.219583    14.961955  13.678621  0.001655  0.045000  5024.300324  1.250000    NaN   NaN    NaN NaN NaN NaN  0.000000    4.283067   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  25.972149  255.586290   74.592085       0.000000       4.557702          NaN      21.0  89.390391  357.561565  2.943525  1344.782776   89.390391 -24.410087 -298.897248 -234.587093 -187.706253  148.560649  176.843377  264.699554  20531.838698  526.457403  273.246874  280.291674           no       no
O3_4959A    4958.8348   8.391375       0.040335      8.777663          0.425278  110.919711  11.053181       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.288328   1.452563  0.079135  0.006891  0.000021 -0.024568    0.000075    0.373853   370.623202  11.483806  0.001536  1.528334  4966.451876  2.286255    NaN   NaN    NaN NaN NaN NaN  0.048532    0.083830   0.083830        NaN       NaN        NaN    NaN    NaN    NaN   9.872635    5.060454  138.010936       5.060454       2.279635          NaN      16.0  90.251533         NaN  5.383720          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN   3136.835322   89.623866  173.708575  178.621333           no       no
S2_6716A    6716.0000   2.844457       0.009134      1.719807          0.035247   57.032348   2.339825       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000          NaN          NaN  6726.003094   0.291702  0.030155  0.001072 -0.000039  0.292349    0.000007    0.045652   595.002312  28.137048  0.001543  0.278676  6726.365797  2.458715    NaN   NaN    NaN NaN NaN NaN  0.003995    0.035393   0.034983        NaN       NaN        NaN    NaN    NaN    NaN  -7.348972    1.577408  109.581654       1.559154       1.610217          NaN      30.0  66.639151         NaN  5.789833          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN   1523.911028   30.478221  188.362771  196.318707           no       no
S2_6731A    6731.0000   2.844457       0.009134      1.212066          0.029284   40.194597   1.727363       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000          NaN          NaN  6726.003094   0.291702  0.030155  0.001072 -0.000039  0.292349    0.000007    0.045652   419.022816  28.137048  0.001450  0.196254  6740.762170  2.463978    NaN   NaN    NaN NaN NaN NaN  0.003735    0.035469   0.035058        NaN       NaN        NaN    NaN    NaN    NaN -35.221388    1.577261  109.571466       1.559009       1.610217          NaN      30.0  66.639151         NaN  5.802224          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN   1523.911028   30.478221  188.362771  196.318707           no       no
O1_6300A    6300.0000   0.126029       0.017003      0.130637          0.023331    3.580029   0.732309       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6292.000000  6293.000000  6306.000000  6319.711710  6327.945925          NaN          NaN  6308.874445   0.055528  0.036490  0.003639  0.000020 -0.091813    0.000058    0.364852     7.646503  10.026359  0.001498  0.021065  6309.440347  2.463840    NaN   NaN    NaN NaN NaN NaN  0.002424    0.327396   0.327510        NaN       NaN        NaN    NaN    NaN    NaN  26.891197   15.557599  117.079646      15.563014       2.279635          NaN      10.0  71.045182         NaN  5.801901          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN     17.276722    0.863836   -0.581086    2.825397           no       no
