           wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err         eqw    eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err        m_cont    n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95        v_99       chisqr      redchi         aic         bic observations comments
H1_6563A    6563.0000  21.967035       0.038489     21.257480          0.134270  524.531359  51.286857       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6658.820000  6549.945868  6614.207528  6573.580115   3.100759  0.040527  0.003954 -1.973007e-05  0.170224    0.000006    0.038442  2266.796180  10.248810  0.001506  3.198412  6572.881016  2.651320    NaN   NaN    NaN NaN NaN NaN  0.012897    0.012345   0.012345        NaN       NaN        NaN    NaN    NaN    NaN -18.688578    0.563004  120.920523       0.563024       9.082224          NaN      45.0  67.929812  271.719247  6.243382  2930.695367  305.684153 -61.726288 -638.003341 -263.696796 -222.951458  111.546796  179.774392  951.543268  2460.994793   22.372680  366.348766  382.870307           no       no
N2_6584A    6584.0000  21.967035       0.038489      0.721242          0.123223   17.796739   3.501470       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6658.820000  6549.945868  6614.207528  6573.580115   3.100759  0.040527  0.003954 -1.973007e-05  0.170224    0.000006    0.038442    74.053970  10.248810  0.001427  0.104489  6593.394441  2.768020    NaN   NaN    NaN NaN NaN NaN  0.011953    0.365630   0.365644        NaN       NaN        NaN    NaN    NaN    NaN -42.246692   16.622358  125.840261      16.622963       2.436390          NaN      45.0  67.929812  271.719247  6.518188  2930.695367  305.684153 -61.726288 -638.003341 -263.696796 -222.951458  111.546796  179.774392  951.543268  2460.994793   22.372680  366.348766  382.870307           no       no
N2_6548A    6548.0000  21.967035       0.038489      0.244542          0.042465    6.034106   1.201913       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6658.820000  6549.945868  6614.207528  6573.580115   3.100759  0.040527  0.003954 -1.973007e-05  0.170224    0.000006    0.038442    25.188425  10.248810  0.001419  0.035540  6557.294420  2.752864    NaN   NaN    NaN NaN NaN NaN  0.004066    0.363628   0.363642        NaN       NaN        NaN    NaN    NaN    NaN -44.470791   16.622235  125.839328      16.622839       2.436390          NaN      45.0  67.929812  271.719247  6.482500  2930.695367  305.684153 -61.726288 -638.003341 -263.696796 -222.951458  111.546796  179.774392  951.543268  2460.994793   22.372680  366.348766  382.870307           no       no
H1_4861A    4861.0000   6.456984       0.063963      6.794377          0.350104   65.067019   6.883344       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4889.130000  4908.400000          NaN          NaN  4868.098059   1.148115  0.104421  0.009648  3.126564e-06  0.089201    0.000045    0.218253   223.842051  10.823609  0.001685  1.185886  4869.191586  2.289217    NaN   NaN    NaN NaN NaN NaN  0.039771    0.088650   0.088650        NaN       NaN        NaN    NaN    NaN    NaN  67.342795    5.459337  140.977027       5.459337       9.082224          NaN      19.0  91.728238         NaN  5.390694          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  1512.243616   30.862115  181.245509  187.099240           no       no
O3_5007A    5006.7664  28.978913       0.071729     29.676713          0.994838  303.707019  34.130605       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5014.069449   4.234414  0.097715  0.010481 -1.968501e-04  1.084735    0.000080    0.401196   816.566776   9.322813  0.001461  4.470513  5014.080015  2.645815    NaN   NaN    NaN NaN NaN NaN  0.099613    0.068068   0.068113        NaN       NaN        NaN    NaN    NaN    NaN -32.103542    4.069345  158.176692       4.072021       2.279635          NaN      21.0  89.057813         NaN  6.230419          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  7390.922566  189.510835  229.312732  236.357533           no       no
He1_5016A   5016.0000  28.978913       0.071729      0.150398          0.000000    1.539147   0.165095      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5014.069449   4.234414  0.097715  0.010481 -1.968501e-04  1.084735    0.000080    0.401196     9.132809   9.322813  0.001682  0.050000  5024.438406  1.200000    NaN   NaN    NaN NaN NaN NaN  0.000000    4.181693   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  34.211999  249.536938   71.608402       0.000000       4.557702          NaN      21.0  89.057813         NaN  2.825784          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  7390.922566  189.510835  229.312732  236.357533           no       no
O3_4959A    4958.8348   8.451292       0.052363      8.801051          0.334892   85.365586   7.842617       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.405321   1.449568  0.103098  0.008621 -6.694891e-05  0.435594    0.000095    0.472166   291.752013  11.958811  0.001506  1.505147  4966.304953  2.334778    NaN   NaN    NaN NaN NaN NaN  0.038412    0.068803   0.068803        NaN       NaN        NaN    NaN    NaN    NaN  -6.058642    4.153238  140.936693       4.153239       2.279635          NaN      16.0  89.912528         NaN  5.497981          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  1250.211402   36.770924  136.245551  141.078305           no       no
S2_6716A    6716.0000   1.213214       0.011091      0.718191          0.010991   18.604084   0.677621       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6716.665506  6752.312640  6726.999025   0.141926  0.038604  0.001276 -3.341874e-05  0.263412    0.000008    0.051875   193.796309  30.255409  0.001572  0.108062  6726.554446  2.650358    NaN   NaN    NaN NaN NaN NaN  0.001138    0.028157   0.027394        NaN       NaN        NaN    NaN    NaN    NaN   1.058843    1.254911  118.122924       1.220898       1.610217          NaN      30.0  66.380574  398.283446  6.241117  1588.634366  365.093159  72.561790 -281.052387 -208.883022 -164.867147  677.159650  733.837057  836.957312    98.580985    1.895788   39.669495   47.770902           no       no
S2_6731A    6731.0000   1.213214       0.011091      0.506701          0.008655   13.125639   0.488331       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6716.665506  6752.312640  6726.999025   0.141926  0.038604  0.001276 -3.341874e-05  0.263412    0.000008    0.051875   136.522200  30.255409  0.001478  0.076126  6740.951223  2.656031    NaN   NaN    NaN NaN NaN NaN  0.001066    0.028217   0.027452        NaN       NaN        NaN    NaN    NaN    NaN -26.814354    1.254794  118.111941       1.220785       1.610217          NaN      30.0  66.380574  398.283446  6.254475  1588.634366  365.093159  72.561790 -281.052387 -208.883022 -164.867147  677.159650  733.837057  836.957312    98.580985    1.895788   39.669495   47.770902           no       no
O1_6300A    6300.0000   0.045458       0.025536      0.057325          0.027191    1.193607   0.581935       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6291.000000  6293.000000  6307.000000  6319.711710  6327.945925          NaN          NaN  6309.937911   0.060268  0.048026  0.005413 -7.370643e-08  0.048492    0.000091    0.575339     3.033203   8.872087  0.001503  0.012428  6309.471877  1.805100    NaN   NaN    NaN NaN NaN NaN  0.003867    0.648546   0.648615        NaN       NaN        NaN    NaN    NaN    NaN -22.141797   30.813193   85.762375      30.816433       2.279635          NaN      10.0  70.768059         NaN  4.250685          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN    13.885651    0.730824   -4.124102   -0.850974           no       no
