           wavelength   intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw    eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err      snr_line   snr_cont    z_line        amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med        v_50         v_1         v_5        v_10        v_90        v_95        v_99        chisqr        redchi          aic          bic observations comments
H1_6563A    6563.0000  263.532670       0.030713    257.488422      1.858637e+00  1962.207820  47.693468       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.763087  6612.009553  6573.013220  41.172764  0.131224  0.003046 -0.000029  0.319009    0.000004    0.028672  38308.873932  43.085904  0.001470  41.632447  6572.646966  2.467324    NaN   NaN    NaN NaN NaN NaN  0.202240    0.013840   0.013840        NaN       NaN        NaN    NaN    NaN    NaN -29.363028    0.631201  112.528875       0.631203       9.082224          NaN      45.0  68.227256  272.909024  5.810103  3067.083919  238.795396  -48.039750 -435.341701 -243.488191 -197.929211  105.814598  156.278351  917.345443  9.539121e+05   8593.803064  1065.719891  1082.292935           no       no
N2_6584A    6584.0000  263.532670       0.030713      7.161327      1.894502e+00    54.573376  14.492633       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.763087  6612.009553  6573.013220  41.172764  0.131224  0.003046 -0.000029  0.319009    0.000004    0.028672   1034.046324  43.085904  0.001370   1.123757  6593.020257  2.532235    NaN   NaN    NaN NaN NaN NaN  0.189051    0.491903   0.491904        NaN       NaN        NaN    NaN    NaN    NaN -59.257915   22.362982  115.120981      22.363051       2.436390          NaN      45.0  68.227256  272.909024  5.962958  3067.083919  238.795396  -48.039750 -435.341701 -243.488191 -197.929211  105.814598  156.278351  917.345443  9.539121e+05   8593.803064  1065.719891  1082.292935           no       no
N2_6548A    6548.0000  263.532670       0.030713      2.410555      6.193573e-01    18.369793   4.739071       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.763087  6612.009553  6573.013220  41.172764  0.131224  0.003046 -0.000029  0.319009    0.000004    0.028672    351.716437  43.085904  0.001363   0.382230  6556.922285  2.518371    NaN   NaN    NaN NaN NaN NaN  0.064303    0.489210   0.489211        NaN       NaN        NaN    NaN    NaN    NaN -61.481888   22.362817  115.120127      22.362885       2.436390          NaN      45.0  68.227256  272.909024  5.930310  3067.083919  238.795396  -48.039750 -435.341701 -243.488191 -197.929211  105.814598  156.278351  917.345443  9.539121e+05   8593.803064  1065.719891  1082.292935           no       no
H1_4861A    4861.2582   74.108474       0.095343     76.522434      2.164415e+00   280.966313  17.166946       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000  4857.553094  4882.718231  4867.690578  12.695998  0.272354  0.014750  0.000037  0.093154    0.000068    0.328703   1651.538759  18.464322  0.001506  13.377484  4868.577032  2.280008    NaN   NaN    NaN NaN NaN NaN  0.247364    0.048682   0.048682        NaN       NaN        NaN    NaN    NaN    NaN  54.595145    2.998240  140.421664       2.998240       9.082224          NaN      19.0  92.129655  368.518621  5.369009  1549.876290  138.194483    8.877465 -261.095828 -182.006447 -156.480983  179.599017  228.092631  271.635859  2.633868e+04    506.513065   345.430336   351.452335           no       no
O3_5007A    5006.7664  414.553144       0.092887    427.052860      1.603230e+01  1541.986382  98.875383       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5002.739003  5031.227096  5014.288489  69.247101  0.276950  0.014397 -0.000079  0.674990    0.000109    0.548742   9807.116363  19.236955  0.001518  75.570521  5014.369098  2.254521    NaN   NaN    NaN NaN NaN NaN  1.859674    0.064061   0.064073        NaN       NaN        NaN    NaN    NaN    NaN -14.821091    3.829816  134.783632       3.830511       2.279635          NaN      20.0  89.436150  357.744598  5.308990  1703.235744  178.872299  -39.874928 -308.052978 -240.824062 -199.352614  129.367017  160.185253  242.967272  1.129060e+06  29712.110821   436.367515   443.318194           no       no
He1_5016A   5016.0000  414.553144       0.092887      1.691974      4.440892e-16     6.109316   0.317582      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5002.739003  5031.227096  5014.288489  69.247101  0.276950  0.014397 -0.000079  0.674990    0.000109    0.548742     58.398464  19.236955  0.001764   0.450000  5024.849609  1.500000    NaN   NaN    NaN NaN NaN NaN  0.000000    8.784488   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  58.749996  524.202592   89.510502       0.000000       4.557702          NaN      20.0  89.436150  357.744598  3.532230  1703.235744  178.872299  -39.874928 -308.052978 -240.824062 -199.352614  129.367017  160.185253  242.967272  1.129060e+06  29712.110821   436.367515   443.318194           no       no
O3_4959A    4958.8348  135.900396       0.082662    141.190049      5.912513e+00   504.304012  32.736203       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.419783  23.000267  0.279970  0.013887 -0.000109  0.819684    0.000152    0.752984   3013.264401  20.161305  0.001508  25.039843  4966.310510  2.249824    NaN   NaN    NaN NaN NaN NaN  0.677751    0.070316   0.070316        NaN       NaN        NaN    NaN    NaN    NaN  -6.596175    4.244574  135.808141       4.244573       2.279635          NaN      16.0  90.298177         NaN  5.297930          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  1.481677e+05   4233.362119   320.203520   325.116279           no       no
S2_6716A    6716.0000   11.174494       0.022180      6.448506      9.722175e-02    52.315485   1.365546       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.634199  6750.463357  6725.594719   1.100853  0.123262  0.002626 -0.000065  0.560113    0.000016    0.111269    899.677333  46.931462  0.001513   1.032648  6726.163704  2.489806    NaN   NaN    NaN NaN NaN NaN  0.011400    0.026995   0.026620        NaN       NaN        NaN    NaN    NaN    NaN -16.355974    1.203127  110.967300       1.186431       1.610217          NaN      30.0  66.679405  266.717620  5.863044  1374.205434  400.076431  122.403350 -205.272189 -153.585950 -111.615598  718.353505  767.853211  842.073995  2.166000e+03     42.470585   210.031730   218.061063           no       no
S2_6731A    6731.0000   11.174494       0.022180      4.958356      8.726761e-02    40.226186   1.111714       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.634199  6750.463357  6725.594719   1.100853  0.123262  0.002626 -0.000065  0.560113    0.000016    0.111269    690.421639  46.931462  0.001420   0.792465  6740.559645  2.495135    NaN   NaN    NaN NaN NaN NaN  0.010827    0.027053   0.026677        NaN       NaN        NaN    NaN    NaN    NaN -44.227552    1.203015  110.956983       1.186321       1.610217          NaN      30.0  66.679405  266.717620  5.875593  1374.205434  400.076431  122.403350 -205.272189 -153.585950 -111.615598  718.353505  767.853211  842.073995  2.166000e+03     42.470585   210.031730   218.061063           no       no
O1_6300A    6300.0000    0.863592       0.023185      0.810427      7.322140e-02     6.036383   0.589049       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6293.000000  6293.754436  6307.000000  6319.711710  6327.945925          NaN          NaN  6309.735338   0.262553  0.134257  0.004950  0.000012  0.060229    0.000079    0.500364     35.290240  27.121220  0.001494   0.132234  6309.413887  2.436834    NaN   NaN    NaN NaN NaN NaN  0.008148    0.173385   0.173390        NaN       NaN        NaN    NaN    NaN    NaN -15.273031    8.237990  115.780539       8.238242       2.279635          NaN      10.0  71.074083         NaN  5.738306          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  1.043038e+02      5.215192    40.771723    44.178205           no       no
