          wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err         eqw    eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err          v_r    v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med        v_50         v_1         v_5        v_10        v_90         v_95         v_99        chisqr      redchi         aic         bic  observations comments
H1_6563A   6563.0000  33.457850       0.040468     31.093437          0.718187  386.934669  21.545259       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6551.531673  6597.778305  6570.568065   4.255017  0.080358  0.004071 -0.000049  0.402676    0.000006    0.038218  3003.420366  19.737384  0.001391  4.363276  6572.131392  2.845966    NaN   NaN    NaN NaN NaN NaN  0.067118    0.050550   0.050566        NaN       NaN        NaN    NaN    NaN    NaN   -52.877153   2.305453  129.797853       2.306181       9.082224          NaN      45.0  67.838594  339.192968  6.701737  2110.075009  237.435077   49.729426 -643.791851 -143.423107 -110.693875  280.672144  1002.592818  1174.638082  68832.830038  614.578840  763.512673  780.136781            no       no
N2_6584A   6584.0000  33.457850       0.040468      2.353989          0.613398   29.293643   7.776227       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6551.531673  6597.778305  6570.568065   4.255017  0.080358  0.004071 -0.000049  0.402676    0.000006    0.038218   276.350974  19.737384  0.001645  0.401474  6594.832220  2.322726    NaN   NaN    NaN NaN NaN NaN  0.070356    0.470022   0.470147        NaN       NaN        NaN    NaN    NaN    NaN    23.117906  21.368230  105.596210      21.373935       2.436390          NaN      45.0  67.838594  339.192968  5.469601  2110.075009  237.435077   49.729426 -643.791851 -143.423107 -110.693875  280.672144  1002.592818  1174.638082  68832.830038  614.578840  763.512673  780.136781            no       no
N2_6548A   6548.0000  33.457850       0.040468      0.792573          0.213761    9.862985   2.706632       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6551.531673  6597.778305  6570.568065   4.255017  0.080358  0.004071 -0.000049  0.402676    0.000006    0.038218    93.996930  19.737384  0.001638  0.136556  6558.724327  2.310008    NaN   NaN    NaN NaN NaN NaN  0.023930    0.467448   0.467573        NaN       NaN        NaN    NaN    NaN    NaN    20.893322  21.368071  105.595426      21.373776       2.436390          NaN      45.0  67.838594  339.192968  5.439654  2110.075009  237.435077   49.729426 -643.791851 -143.423107 -110.693875  280.672144  1002.592818  1174.638082  68832.830038  614.578840  763.512673  780.136781            no       no
H1_4861A   4861.2582   8.025646       0.156345      8.345415          0.284692   38.806479   4.519900       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4868.156591   1.623219  0.215052  0.023949 -0.000211  1.243608    0.000108    0.523548   114.673794   8.979474  0.001649  1.508139  4869.273792  2.210397    NaN   NaN    NaN NaN NaN NaN  0.034929    0.059113   0.059113        NaN       NaN        NaN    NaN    NaN    NaN    68.799813   3.640319  136.121425       3.640319       9.082224          NaN      19.0  91.561988         NaN  5.205088          NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN          NaN    198.041170    3.736626   76.734902   82.810957            no       no
O3_5007A   5006.7664  13.947404       0.146546     14.359774          0.654960   70.533500   8.074401       O3  $[OIII]5007\mathring{A}$                        none         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5013.865172   2.525223  0.203588  0.021376 -0.000433  2.376430    0.000163    0.819667   228.967318   9.524050  0.001588  2.556558  5014.715486  2.240836    NaN   NaN    NaN NaN NaN NaN  0.074572    0.075475   0.075475        NaN       NaN        NaN    NaN    NaN    NaN    50.842569   4.512837  133.985616       4.512837       2.279635          NaN      21.0  88.901093         NaN  5.276766          NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN          NaN    866.940292   21.673507  135.162110  140.445710            no       no
O3_4959A   4958.8348   6.575586       0.236599      6.743351          0.305823   31.809208   6.068329       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4967.773682   1.171390  0.211994  0.039283 -0.000050  0.459601    0.000432    2.143048    42.403123   5.396548  0.001644  0.996795  4966.985230  2.696380    NaN   NaN    NaN NaN NaN NaN  0.030708    0.095916   0.095916        NaN       NaN        NaN    NaN    NaN    NaN   -47.581084   5.788268  162.719629       5.788268       2.279635          NaN      16.0  89.725926         NaN  6.349489          NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN          NaN     45.830093    1.309431   13.119481   18.032240            no       no
S2_6716A   6716.0000   3.672720       0.019793      2.075546          0.056518   29.061281   1.302469       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6713.588048  6750.803851  6726.684401   0.376368  0.071420  0.002542  0.000002  0.059222    0.000016    0.108907   270.833224  28.092185  0.001608  0.300909  6726.800670  2.754285    NaN   NaN    NaN NaN NaN NaN  0.005822    0.052484   0.050377        NaN       NaN        NaN    NaN    NaN    NaN    12.032725   2.339126  122.754807       2.245242       1.610217          NaN      30.0  66.264161  331.320804  6.485846  1658.620543  165.660402  127.579105 -276.901854 -183.531546 -130.044549  705.498019   764.730741   852.839036    664.021899   13.280438  143.503878  151.459815            no       no
S2_6731A   6731.0000   3.672720       0.019793      1.627168          0.049763   22.783197   1.069220       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6713.588048  6750.803851  6726.684401   0.376368  0.071420  0.002542  0.000002  0.059222    0.000016    0.108907   211.646562  28.092185  0.001515  0.235149  6741.197974  2.760180    NaN   NaN    NaN NaN NaN NaN  0.005558    0.052596   0.050485        NaN       NaN        NaN    NaN    NaN    NaN   -15.841492   2.338908  122.743394       2.245033       1.610217          NaN      30.0  66.264161  331.320804  6.499728  1658.620543  165.660402  127.579105 -276.901854 -183.531546 -130.044549  705.498019   764.730741   852.839036    664.021899   13.280438  143.503878  151.459815            no       no
O1_6300A   6300.2076  -0.655714       0.087428           NaN               NaN         NaN        NaN       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6293.637954  6294.754436  6307.155360  6319.711710  6327.945925          NaN          NaN  6311.860994   0.115839  0.100274  0.019819 -0.000328  2.170397         NaN         NaN     0.195297   5.059441 -0.002562  0.003088  6284.067380  0.626633    NaN   NaN    NaN NaN NaN NaN       NaN         NaN        NaN        NaN       NaN        NaN    NaN    NaN    NaN -1320.104433        NaN   29.763003            NaN       2.279635          NaN       9.0  70.619124         NaN  1.475609          NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN          NaN    216.960238   10.331440   58.839847   62.374008  No_errorbars       no
#LiMe:1.0.6
