          wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err         eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err    snr_line  snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r    v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med        v_50         v_1         v_5        v_10        v_90        v_95        v_99       chisqr     redchi         aic         bic observations comments
H1_6563A   6563.0000   2.968855       0.024213      2.780142          0.057465  576.740965  295.791962       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6634.000000  6661.820000  6550.278081  6578.927272  6572.546855   0.453252  0.004820  0.002470 -0.000002  0.014882    0.000004    0.024263  561.360791  1.951405  0.001268  0.489399  6571.323067  2.267528    NaN   NaN    NaN NaN NaN NaN  0.006626    0.035447   0.035447        NaN       NaN        NaN    NaN    NaN    NaN -89.743000   1.616665  103.416660       1.616665       9.082224          NaN      46.0  67.808137  271.232549  5.339620  1306.770689 -440.752892  -83.643086 -787.602347 -262.101011 -228.641591   64.793231  172.580150  267.339145  1400.344148  12.966150  297.943334  314.360524           no       no
N2_6584A   6584.0000   2.968855       0.024213      0.189464          0.052546   39.304279   22.902046       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6634.000000  6661.820000  6550.278081  6578.927272  6572.546855   0.453252  0.004820  0.002470 -0.000002  0.014882    0.000004    0.024263   42.997054  1.951405  0.001251  0.037485  6592.237788  2.031055    NaN   NaN    NaN NaN NaN NaN  0.006630    0.414783   0.414783        NaN       NaN        NaN    NaN    NaN    NaN -94.830696  18.856962   92.336231      18.856945       2.436390          NaN      46.0  67.808137  271.232549  4.782769  1306.770689 -440.752892  -83.643086 -787.602347 -262.101011 -228.641591   64.793231  172.580150  267.339145  1400.344148  12.966150  297.943334  314.360524           no       no
N2_6548A   6548.0000   2.968855       0.024213      0.063426          0.017485   13.157821    7.656479       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6634.000000  6661.820000  6550.278081  6578.927272  6572.546855   0.453252  0.004820  0.002470 -0.000002  0.014882    0.000004    0.024263   14.624848  1.951405  0.001244  0.012750  6556.144099  2.019935    NaN   NaN    NaN NaN NaN NaN  0.002255    0.412512   0.412512        NaN       NaN        NaN    NaN    NaN    NaN -97.054404  18.856822   92.335546      18.856805       2.436390          NaN      46.0  67.808137  271.232549  4.756583  1306.770689 -440.752892  -83.643086 -787.602347 -262.101011 -228.641591   64.793231  172.580150  267.339145  1400.344148  12.966150  297.943334  314.360524           no       no
H1_4861A   4861.2582   0.903440       0.060162      0.948776          0.067345   69.570115   46.852717       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4868.900612   0.182691  0.013638  0.009133 -0.000029  0.153988    0.000042    0.203619   34.465410  1.493185  0.001566  0.168483  4868.868960  2.243592    NaN   NaN    NaN NaN NaN NaN  0.007860    0.120855   0.120855        NaN       NaN        NaN    NaN    NaN    NaN  -1.948876   7.441403  138.144511       7.441402       9.082224          NaN      20.0  91.534454         NaN  5.283255          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN    71.316435   1.320675   18.772306   24.901460           no       no
O3_5007A   5006.7664   2.202519       0.045432      2.168691          0.110865  370.521816  434.420595       O3  $[OIII]5007\mathring{A}$                        none         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5016.074240   0.368174  0.005853  0.006856  0.000244 -1.217590    0.000054    0.272707  105.352145  0.853722  0.001545  0.386596  5014.502471  2.241597    NaN   NaN    NaN NaN NaN NaN  0.012567    0.084139   0.084139        NaN       NaN        NaN    NaN    NaN    NaN -93.938922   5.028684  133.972075       5.028683       2.279635          NaN      20.0  88.848797         NaN  5.278558          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   227.483984   5.986421   76.253819   81.394535           no       no
O3_4959A   4958.8348   0.790829       0.074629      0.778414          0.089771  115.058219  213.628795       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4968.502966   0.122958  0.006765  0.012537 -0.000301  1.501277    0.000141    0.698267   16.433822  0.539631  0.001653  0.123292  4967.032221  2.514924    NaN   NaN    NaN NaN NaN NaN  0.009233    0.217475   0.217475        NaN       NaN        NaN    NaN    NaN    NaN -88.742724  13.122126  151.746982      13.122126       2.279635          NaN      16.0  89.699485         NaN  5.922194          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN    36.863967   1.084234    5.863716   10.696470           no       no
S2_6716A   6716.0000   0.510613       0.012628      0.293544          0.009788   82.428465   34.561798       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6718.633249  6744.861717  6725.666893   0.050188  0.003561  0.001488  0.000005 -0.028056    0.000009    0.060635   72.493920  2.392537  0.001501  0.047156  6726.083177  2.481546    NaN   NaN    NaN NaN NaN NaN  0.001114    0.058322   0.057555        NaN       NaN        NaN    NaN    NaN    NaN -19.944969   2.599318  110.599199       2.565132       1.610217          NaN      30.0  66.264382  265.057528  5.843595  1169.117823  331.321909  115.617106 -241.179396 -166.389580 -118.085390  704.188565  752.758915  821.124699    65.303759   1.255842   16.607083   24.708490           no       no
S2_6731A   6731.0000   0.510613       0.012628      0.214806          0.008579   60.318500   25.325928       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6718.633249  6744.861717  6725.666893   0.050188  0.003561  0.001488  0.000005 -0.028056    0.000009    0.060635   53.040623  2.392537  0.001408  0.034502  6740.478945  2.486858    NaN   NaN    NaN NaN NaN NaN  0.001049    0.058446   0.057678        NaN       NaN        NaN    NaN    NaN    NaN -47.816213   2.599076  110.588916       2.564893       1.610217          NaN      30.0  66.264382  265.057528  5.856102  1169.117823  331.321909  115.617106 -241.179396 -166.389580 -118.085390  704.188565  752.758915  821.124699    65.303759   1.255842   16.607083   24.708490           no       no
O1_6300A   6300.0000   0.020267       0.010810      0.031999          0.013091    4.287993    2.268957       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6291.000000  6292.500000  6305.000000  6319.711710  6327.945925          NaN          NaN  6307.931644   0.014884  0.007462  0.002504 -0.000082  0.527848    0.000038    0.242642    3.967172  2.979774  0.001287  0.007927  6308.107863  1.625743    NaN   NaN    NaN NaN NaN NaN  0.002100    0.497629   0.496932        NaN       NaN        NaN    NaN    NaN    NaN   8.375034  23.650433   77.265519      23.617334       2.279635          NaN       9.0  70.652662         NaN  3.828333          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN    18.191686   0.909584    0.605821    4.012303           no       no
#LiMe:1.0.6
