          wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err         eqw    eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p          FWZI       v_med        v_50         v_1         v_5        v_10        v_90         v_95          v_99       chisqr     redchi         aic         bic observations comments
H1_6563A   6563.0000  10.800082       0.023037     10.281917          0.104488  241.180551  13.255241       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6552.521259  7670.691270  6573.107774   1.603484  0.042632  0.002303 -0.000017  0.156131    0.000003    0.021784  1976.197645  18.514358  0.001540  1.623710  6573.109343  2.524695    NaN   NaN    NaN NaN NaN NaN  0.010597    0.019027   0.019027        NaN       NaN        NaN    NaN    NaN    NaN  -8.275098    0.867763  115.145428       0.867765       9.082224          NaN      45.0  67.893823  339.469115  5.945201  50998.545514 -305.522204  -29.654436 -693.836386 -236.221399 -187.262767  132.058640  1330.792047  40313.851594  4711.678441  42.447554  444.388189  460.961232           no       no
N2_6584A   6584.0000  10.800082       0.023037      0.543652          0.095484   12.752311   2.343272       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6552.521259  7670.691270  6573.107774   1.603484  0.042632  0.002303 -0.000017  0.156131    0.000003    0.021784   108.335838  18.514358  0.001456  0.089012  6593.585394  2.432892    NaN   NaN    NaN NaN NaN NaN  0.010223    0.322648   0.322649        NaN       NaN        NaN    NaN    NaN    NaN -33.565541   14.668303  110.604601      14.668344       2.436390          NaN      45.0  67.893823  339.469115  5.729022  50998.545514 -305.522204  -29.654436 -693.836386 -236.221399 -187.262767  132.058640  1330.792047  40313.851594  4711.678441  42.447554  444.388189  460.961232           no       no
N2_6548A   6548.0000  10.800082       0.023037      0.183750          0.032683    4.310173   0.801208       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6552.521259  7670.691270  6573.107774   1.603484  0.042632  0.002303 -0.000017  0.156131    0.000003    0.021784    36.848924  18.514358  0.001448  0.030276  6557.484328  2.419571    NaN   NaN    NaN NaN NaN NaN  0.003477    0.320882   0.320883        NaN       NaN        NaN    NaN    NaN    NaN -35.789704   14.668194  110.603780      14.668235       2.436390          NaN      45.0  67.893823  339.469115  5.697654  50998.545514 -305.522204  -29.654436 -693.836386 -236.221399 -187.262767  132.058640  1330.792047  40313.851594  4711.678441  42.447554  444.388189  460.961232           no       no
H1_4861A   4861.2582   3.279624       0.094659      3.428001          0.130602   40.156638   7.141938       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4870.140355   0.639185  0.085366  0.014830 -0.000037  0.267200    0.000068    0.330160    76.911696   5.756277  0.001613  0.610493  4869.100234  2.238705    NaN   NaN    NaN NaN NaN NaN  0.015005    0.063538   0.063538        NaN       NaN        NaN    NaN    NaN    NaN -64.026975    3.911237  137.808543       3.911237       9.082224          NaN      20.0  91.634611         NaN  5.271748           NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN           NaN    98.244608   1.819345   37.031319   43.160472           no       no
O3_5007A   5006.7664   9.952027       0.048653     10.078872          0.383830  122.352455  11.552699       O3  $[OIII]5007\mathring{A}$                        none         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5014.535320   1.656145  0.082376  0.007117 -0.000077  0.469808    0.000056    0.282721   457.363949  11.573947  0.001559  1.742312  5014.570029  2.311451    NaN   NaN    NaN NaN NaN NaN  0.042738    0.065470   0.065470        NaN       NaN        NaN    NaN    NaN    NaN   2.075059    3.914124  138.189405       3.914124       2.279635          NaN      20.0  88.995966         NaN  5.443052           NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN           NaN  2514.022235  66.158480  174.758754  179.899470           no       no
O3_4959A   4958.8348   3.195065       0.048946      3.344471          0.118527   40.475934   4.174536       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.899868   0.626177  0.082629  0.008003  0.000153 -0.679199    0.000085    0.421348   121.286753  10.324590  0.001542  0.580861  4966.481310  2.298339    NaN   NaN    NaN NaN NaN NaN  0.013369    0.061083   0.061083        NaN       NaN        NaN    NaN    NaN    NaN -25.263338    3.686854  138.723299       3.686854       2.279635          NaN      16.0  89.849489         NaN  5.412175           NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN           NaN   178.192378   5.091211   64.720548   69.633307           no       no
S2_6716A   6716.0000   0.739685       0.011080      0.461016          0.020687   11.457121   0.641009       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6720.595281  6758.394388  6724.945778   0.101590  0.040238  0.001345 -0.000026  0.216079    0.000009    0.057532   113.468797  29.924154  0.001532  0.066680  6726.289579  2.756226    NaN   NaN    NaN NaN NaN NaN  0.002079    0.090429   0.087112        NaN       NaN        NaN    NaN    NaN    NaN -10.745884    4.030321  122.841296       3.882487       1.610217          NaN      30.0  66.360894  464.526261  6.490416   1685.052573  464.526261  142.781129 -174.255734 -120.930970  -89.740851  796.144143   899.898398   1337.275263   289.783770   5.795675   98.728153  106.684089           no       no
S2_6731A   6731.0000   0.739685       0.011080      0.273446          0.016040    6.795648   0.458774       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6720.595281  6758.394388  6724.945778   0.101590  0.040238  0.001345 -0.000026  0.216079    0.000009    0.057532    67.148307  29.924154  0.001439  0.039460  6740.685790  2.762125    NaN   NaN    NaN NaN NaN NaN  0.001896    0.090623   0.087299        NaN       NaN        NaN    NaN    NaN    NaN -38.617984    4.029946  122.829875       3.882126       1.610217          NaN      30.0  66.360894  464.526261  6.504307   1685.052573  464.526261  142.781129 -174.255734 -120.930970  -89.740851  796.144143   899.898398   1337.275263   289.783770   5.795675   98.728153  106.684089           no       no
O1_6300A   6300.0000   0.017108       0.017978      0.024765          0.023566    0.517444   0.493803       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6291.000000  6292.000000  6308.000000  6319.711710  6327.945925          NaN          NaN  6309.624178   0.051124  0.047860  0.003459  0.000050 -0.269276    0.000057    0.358050     1.232997  13.836180  0.001844  0.002947  6311.615218  3.383443    NaN   NaN    NaN NaN NaN NaN  0.001711    2.266308   2.304093        NaN       NaN        NaN    NaN    NaN    NaN  94.601319  107.680270  160.759309     109.475554       2.279635          NaN      12.0  70.729001         NaN  7.967400           NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN           NaN    13.674703   0.651176   -7.500149   -3.965987           no       no
#LiMe:1.0.6
