          wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw       eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err      snr_line  snr_cont    z_line           amp        center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err            v_r    v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95        v_99      chisqr     redchi         aic         bic  observations comments
H1_6563A   6563.0000   1.768291       0.020368      1.629613          0.027294  1052.479261   1381.138475       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000          NaN          NaN  6573.011529   0.255584  0.001548  0.002032 -0.000004  0.028572    0.000003    0.019187  3.776422e+02  0.762100  0.001455  2.737756e-01   6572.546553  2.375395    NaN   NaN    NaN NaN NaN NaN  0.002946    0.029516   0.029516        NaN       NaN        NaN    NaN    NaN    NaN     -33.942619   1.346168  108.336237       1.346169       9.082224          NaN      45.0  68.013177         NaN  5.593628          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  439.328448   3.957914  166.799584  183.372628            no       no
N2_6584A   6584.0000   1.768291       0.020368      0.118013          0.024474    76.218002    101.251940       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000          NaN          NaN  6573.011529   0.255584  0.001548  0.002032 -0.000004  0.028572    0.000003    0.019187  2.898017e+01  0.762100  0.001435  2.100947e-02   6593.447340  2.224378    NaN   NaN    NaN NaN NaN NaN  0.002883    0.352475   0.352475        NaN       NaN        NaN    NaN    NaN    NaN     -39.841781  16.024296  101.125118      16.024307       2.436390          NaN      45.0  68.013177         NaN  5.238010          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  439.328448   3.957914  166.799584  183.372628            no       no
N2_6548A   6548.0000   1.768291       0.020368      0.039366          0.008020    25.424606     33.760939       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000          NaN          NaN  6573.011529   0.255584  0.001548  0.002032 -0.000004  0.028572    0.000003    0.019187  9.857200e+00  0.762100  0.001427  7.146079e-03   6557.347029  2.212199    NaN   NaN    NaN NaN NaN NaN  0.000981    0.350545   0.350546        NaN       NaN        NaN    NaN    NaN    NaN     -42.065898  16.024177  101.124368      16.024188       2.436390          NaN      45.0  68.013177         NaN  5.209331          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  439.328448   3.957914  166.799584  183.372628            no       no
H1_4861A   4861.2582   0.736017       0.095058      0.558618          0.083392   247.754519   1535.781277       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000  4859.490818  4884.907392  4868.566556   0.108463  0.002255  0.013973 -0.000116  0.565449    0.000064    0.310523  1.479671e+01  0.161368  0.001555  1.106589e-01   4868.816114  2.021466    NaN   NaN    NaN NaN NaN NaN  0.011100    0.234149   0.234148        NaN       NaN        NaN    NaN    NaN    NaN      15.367039  14.418202  124.476147      14.418143       9.082224          NaN      20.0  91.824029  275.472088  4.760190  1565.080181  137.736044  13.774067 -525.897137 -248.844589 -181.256254  779.910040  873.397340  979.657139   54.593546   1.010992    3.541271    9.670425            no       no
O3_5007A   5006.7664   3.691831       0.033152      3.781749          0.137782  4333.949445  24386.076865       O3  $[OIII]5007\mathring{A}$                        none         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5013.213242   0.593948  0.000873  0.004910  0.000051 -0.256076    0.000040    0.198497  2.378160e+02  0.177726  0.001495  6.249499e-01   5014.253225  2.413462    NaN   NaN    NaN NaN NaN NaN  0.014873    0.066322   0.066322        NaN       NaN        NaN    NaN    NaN    NaN      62.191443   3.966085  144.326147       3.966085       2.279635          NaN      20.0  89.174622         NaN  5.683269          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  649.320489  17.549202  117.481878  122.548517            no       no
O3_4959A   4958.8348   1.263282       0.055095      1.253335          0.079016  -691.991015   3490.657051       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.985951   0.201067 -0.001811  0.009136  0.000024 -0.122380    0.000102    0.507246  4.097653e+01 -0.198256  0.001502  2.240144e-01   4966.283770  2.228017    NaN   NaN    NaN NaN NaN NaN  0.009485    0.108929   0.108929        NaN       NaN        NaN    NaN    NaN    NaN     -42.381535   6.574605  134.476456       6.574607       2.279635          NaN      16.0  90.004563         NaN  5.246579          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN   64.703166   1.903034   26.679012   31.511766            no       no
S2_6716A   6716.0000   0.364425       0.018488      0.212962          0.013652   234.100136    582.742529       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6721.046910  6746.139927  6726.605433   0.033312  0.000910  0.002264  0.000011 -0.072602    0.000014    0.096689  3.636848e+01  0.401855  0.001565  3.597975e-02   6726.512564  2.353547    NaN   NaN    NaN NaN NaN NaN  0.001611    0.105970   0.105293        NaN       NaN        NaN    NaN    NaN    NaN      -0.807749   4.722957  104.894430       4.692761       1.610217          NaN      30.0  66.460179  265.840714  5.542179  1118.349697  265.840714  81.565934 -211.787107 -170.908877 -132.290663  710.679349  773.505757  851.194386   53.128189   1.062564    7.121075   15.077011            no       no
S2_6731A   6731.0000   0.364425       0.018488      0.147860          0.011478   162.535618    404.660425       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6721.046910  6746.139927  6726.605433   0.033312  0.000910  0.002264  0.000011 -0.072602    0.000014    0.096689  2.531485e+01  0.401855  0.001472  2.504426e-02   6740.909252  2.358584    NaN   NaN    NaN NaN NaN NaN  0.001503    0.106197   0.105518        NaN       NaN        NaN    NaN    NaN    NaN     -28.680773   4.722518  104.884678       4.692325       1.610217          NaN      30.0  66.460179  265.840714  5.554041  1118.349697  265.840714  81.565934 -211.787107 -170.908877 -132.290663  710.679349  773.505757  851.194386   53.128189   1.062564    7.121075   15.077011            no       no
O1_6300A   6300.2076  -0.161029       0.035975           NaN               NaN          NaN           NaN       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6293.637954  6294.754436  6307.155360  6319.711710  6327.945925          NaN          NaN  6318.015824  -0.000090  0.000247  0.008159  0.000063 -0.398094         NaN         NaN  2.631982e-13  0.030215  1.005653  1.713355e-15  12636.031648  0.000737    NaN   NaN    NaN NaN NaN NaN       NaN         NaN        NaN        NaN       NaN        NaN    NaN    NaN    NaN  299792.458006        NaN    0.034958            NaN       2.279635          NaN       9.0  70.758195         NaN  0.001735          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN   43.103544   2.052550   20.053234   23.587395  No_errorbars       no
#LiMe:1.0.6
#u_wave:Angstrom
#u_flux:1e-15 erg / (Angstrom s cm2)
#redshift:0.001568
#id:None
