          wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err         eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err    snr_line  snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med        v_50         v_1         v_5        v_10        v_90        v_95        v_99      chisqr    redchi        aic        bic observations comments
H1_6563A   6563.0000   1.479464       0.022755      1.400273          0.020205  202.500292   72.698706       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6594.000000  6627.700000  6661.820000  6554.996519  6588.345115  6572.348655   0.210638  0.006915  0.002480 -0.000007  0.049844    0.000004    0.023256  225.670998  2.787726  0.001413  0.209258  6572.273364  2.670505    NaN   NaN    NaN NaN NaN NaN  0.001946    0.028682   0.028682        NaN       NaN        NaN    NaN    NaN    NaN -46.402167    1.308135  121.795498       1.308137       9.082224          NaN      41.0  67.904737  339.523686  6.288558  1521.169672 -271.618949  -33.688791 -658.129093 -255.458104 -199.480755  142.741406  248.783367  633.489310  140.959789  1.305183  36.199489  52.616679           no       no
N2_6584A   6584.0000   1.479464       0.022755      0.082169          0.016283   11.882841    4.869726       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6594.000000  6627.700000  6661.820000  6554.996519  6588.345115  6572.348655   0.210638  0.006915  0.002480 -0.000007  0.049844    0.000004    0.023256   17.692347  2.787726  0.001361  0.016406  6592.959998  2.017947    NaN   NaN    NaN NaN NaN NaN  0.002120    0.301172   0.301171        NaN       NaN        NaN    NaN    NaN    NaN -61.997445   13.691939   91.740312      13.691903       2.436390          NaN      41.0  67.904737  339.523686  4.751902  1521.169672 -271.618949  -33.688791 -658.129093 -255.458104 -199.480755  142.741406  248.783367  633.489310  140.959789  1.305183  36.199489  52.616679           no       no
N2_6548A   6548.0000   1.479464       0.022755      0.028017          0.005735    4.051646    1.673387       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6594.000000  6627.700000  6661.820000  6554.996519  6588.345115  6572.348655   0.210638  0.006915  0.002480 -0.000007  0.049844    0.000004    0.023256    6.017805  2.787726  0.001353  0.005580  6556.862355  2.006898    NaN   NaN    NaN NaN NaN NaN  0.000721    0.299523   0.299522        NaN       NaN        NaN    NaN    NaN    NaN -64.221398   13.691837   91.739631      13.691802       2.436390          NaN      41.0  67.904737  339.523686  4.725885  1521.169672 -271.618949  -33.688791 -658.129093 -255.458104 -199.480755  142.741406  248.783367  633.489310  140.959789  1.305183  36.199489  52.616679           no       no
H1_4861A   4861.0000   0.459615       0.120980      0.452162          0.117805   50.225233  119.665301       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4870.800000  4883.130000  4908.400000          NaN          NaN  4867.815509   0.093900  0.009003  0.021321  0.000044 -0.207405    0.000098    0.477443    6.828113  0.422246  0.001510  0.087118  4868.341187  2.093557    NaN   NaN    NaN NaN NaN NaN  0.015052    0.417675   0.417676        NaN       NaN        NaN    NaN    NaN    NaN  32.374756   25.723216  128.935195      25.723253       9.082224          NaN      16.0  91.682523         NaN  4.929951          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   40.582389  0.828212  -6.891294  -1.037563           no       no
O3_5007A   5006.7664   0.390702       0.053259      0.445584          0.064250   40.695461   30.545659       O3  $[OIII]5007\mathring{A}$                        none         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5013.705682   0.092951  0.010949  0.008065 -0.000052  0.271092    0.000064    0.323196   17.888271  1.357568  0.001112  0.075360  5012.336037  2.353808    NaN   NaN    NaN NaN NaN NaN  0.006786    0.244746   0.244746        NaN       NaN        NaN    NaN    NaN    NaN -81.897384   14.634463  140.744957      14.634467       2.279635          NaN      21.0  89.014720         NaN  5.542794          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   51.583230  1.322647  14.632134  19.845143           no       no
O3_4959A   4959.0000   0.151273       0.065802      0.182453          0.081207   14.551432   16.094194       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4945.000000  4947.000000  4964.000000  4972.820372  4984.416360          NaN          NaN  4963.090724   0.039009  0.012538  0.012695  0.000016 -0.067414    0.000140    0.695645    3.153149  0.987642  0.000983  0.027660  4963.874799  2.683021    NaN   NaN    NaN NaN NaN NaN  0.007686    0.860834   0.860931        NaN       NaN        NaN    NaN    NaN    NaN  47.361535   51.998165  162.066261      52.004039       2.279635          NaN      12.0  89.922517         NaN  6.318032          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   23.415456  0.780515  -5.322670  -0.833148           no       no
S2_6716A   6716.0000   0.330772       0.013710      0.181009          0.012556   37.499917   13.126588       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6716.844464  6749.708631  6725.682204   0.030598  0.004827  0.001656  0.000004 -0.021028    0.000010    0.067371   32.175960  2.914588  0.001519  0.023288  6726.204032  3.098969    NaN   NaN    NaN NaN NaN NaN  0.001211    0.162846   0.147573        NaN       NaN        NaN    NaN    NaN    NaN -14.558604    7.257832  138.116880       6.577124       1.610217          NaN      30.0  66.356630  331.783152  7.297514  1464.896665  331.783152  211.554058 -336.150989 -171.922643 -116.163808  792.522022  907.273498  994.956947   79.466867  1.528209  27.599355  35.700761           no       no
S2_6731A   6731.0000   0.330772       0.013710      0.138349          0.011207   28.662068   10.104371       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6716.844464  6749.708631  6725.682204   0.030598  0.004827  0.001656  0.000004 -0.021028    0.000010    0.067371   24.609070  2.914588  0.001426  0.017811  6740.600060  3.105601    NaN   NaN    NaN NaN NaN NaN  0.001156    0.163195   0.147889        NaN       NaN        NaN    NaN    NaN    NaN -42.430349    7.257157  138.104039       6.576512       1.610217          NaN      30.0  66.356630  331.783152  7.313132  1464.896665  331.783152  211.554058 -336.150989 -171.922643 -116.163808  792.522022  907.273498  994.956947   79.466867  1.528209  27.599355  35.700761           no       no
O1_6300A   6300.0000   0.000204       0.012057      0.011915          0.181313    2.256673   34.367023       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6293.000000  6293.554436  6301.000000  6319.711710  6327.945925          NaN          NaN  6307.364463   0.008344  0.005280  0.003247  0.000048 -0.295188    0.000052    0.326914    1.190591  1.626115  0.001100  0.003778  6306.932832  0.674138    NaN   NaN    NaN NaN NaN NaN  0.019291    3.190070   3.359205        NaN       NaN        NaN    NaN    NaN    NaN -20.515639  151.625745   32.042124     159.664820       2.279635          NaN       6.0  70.757542         NaN  1.587473          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   16.216529  0.953913   1.805975   4.793172           no       no
#LiMe:1.0.6
