           wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err        m_cont    n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line        amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95        v_99         chisqr       redchi         aic         bic observations comments
H1_6563A    6563.0000  47.358854       0.024964     46.165941      4.709060e-01  1353.829895   99.932960       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6551.258711  6597.739991  6572.180801   7.264561  0.034100  0.002493 -3.828407e-07  0.036616    0.000004    0.023900  8349.758310  13.678612  0.001403   7.427532  6572.211084  2.478995    NaN   NaN    NaN NaN NaN NaN  0.048722    0.018777   0.018777        NaN       NaN        NaN    NaN    NaN    NaN -49.242576    0.856376  113.061189       0.856380       9.082224          NaN      45.0  68.230003  341.150014  5.837588  2120.260758  102.345004 -30.277837 -580.210951 -222.675847 -182.364686  122.513040  182.292591  966.467928   82282.713274   748.024666  773.461831  789.983372           no       no
N2_6584A    6584.0000  47.358854       0.024964      1.633592      4.475706e-01    47.905570   13.584362       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6551.258711  6597.739991  6572.180801   7.264561  0.034100  0.002493 -3.828407e-07  0.036616    0.000004    0.023900   292.356239  13.678612  0.001345   0.260066  6592.853102  2.480043    NaN   NaN    NaN NaN NaN NaN  0.046130    0.507962   0.507964        NaN       NaN        NaN    NaN    NaN    NaN -66.857145   23.093062  112.748212      23.093153       2.436390          NaN      45.0  68.230003  341.150014  5.840055  2120.260758  102.345004 -30.277837 -580.210951 -222.675847 -182.364686  122.513040  182.292591  966.467928   82282.713274   748.024666  773.461831  789.983372           no       no
N2_6548A    6548.0000  47.358854       0.024964      0.545065      1.466179e-01    15.984199    4.455581       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6551.258711  6597.739991  6572.180801   7.264561  0.034100  0.002493 -3.828407e-07  0.036616    0.000004    0.023900    99.440898  13.678612  0.001337   0.088458  6556.756045  2.466464    NaN   NaN    NaN NaN NaN NaN  0.015691    0.505181   0.505183        NaN       NaN        NaN    NaN    NaN    NaN -69.081061   23.092890  112.747376      23.092982       2.436390          NaN      45.0  68.230003  341.150014  5.808080  2120.260758  102.345004 -30.277837 -580.210951 -222.675847 -182.364686  122.513040  182.292591  966.467928   82282.713274   748.024666  773.461831  789.983372           no       no
H1_4861A    4861.2582  14.258564       0.063995     14.925251      5.936111e-01   234.908593   37.633430       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4867.005473   2.383656  0.063536  0.009860  8.272328e-05 -0.339078    0.000045    0.218459   489.601643   6.443750  0.001480   2.583886  4868.454687  2.302126    NaN   NaN    NaN NaN NaN NaN  0.069777    0.071786   0.071786        NaN       NaN        NaN    NaN    NaN    NaN  89.267088    4.421776  141.803806       4.421776       9.082224          NaN      20.0  92.134664         NaN  5.421092          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN    4918.125530    91.076399  260.084994  266.214148           no       no
O3_5007A    5006.7664  71.935648       0.053713     74.586733      3.721589e+00  1143.304259  153.632509       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5004.263344  5029.824884  5013.590720  11.742947  0.065238  0.008140 -1.287505e-04  0.710740    0.000065    0.324622  2990.813684   8.014825  0.001474  13.029910  5014.147021  2.283578    NaN   NaN    NaN NaN NaN NaN  0.420464    0.085087   0.085095        NaN       NaN        NaN    NaN    NaN    NaN -28.097647    5.086842  136.520787       5.087282       2.279635          NaN      20.0  89.440870  357.763479  5.377415  1528.476754  268.322609 -11.036112 -258.131260 -205.262388 -166.510449  152.806725  175.942443  261.762281  178098.478818  4813.472400  351.437314  358.291603           no       no
He1_5016A   5016.0000  71.935648       0.053713      0.228103      8.326673e-17     3.496484    0.436252      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5004.263344  5029.824884  5013.590720  11.742947  0.065238  0.008140 -1.287505e-04  0.710740    0.000065    0.324622    16.067414   8.014825  0.001711   0.070000  5024.580641  1.300000    NaN   NaN    NaN NaN NaN NaN  0.000000   11.896431   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  42.699700  709.903673   77.575769       0.000000       4.557702          NaN      20.0  89.440870  357.763479  3.061266  1528.476754  268.322609 -11.036112 -258.131260 -205.262388 -166.510449  152.806725  175.942443  261.762281  178098.478818  4813.472400  351.437314  358.291603           no       no
O3_4959A    4958.8348  23.530304       0.047005     24.270444      8.091070e-01   365.540798   44.786551       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4965.726150   3.876324  0.066396  0.007828  1.876839e-04 -0.865591    0.000086    0.424444   883.981394   8.481854  0.001478   4.140907  4966.161655  2.337832    NaN   NaN    NaN NaN NaN NaN  0.091081    0.059376   0.059376        NaN       NaN        NaN    NaN    NaN    NaN  26.292443    3.584687  141.140355       3.584687       2.279635          NaN      16.0  90.302989         NaN  5.505173          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN    8750.865105   250.024717  212.694224  217.606982           no       no
S2_6716A    6716.0000   3.315324       0.015643      1.927631      2.596444e-02    58.170163    3.459508       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.255193  6749.700716  6726.244888   0.325105  0.033138  0.001920 -2.620420e-05  0.209394    0.000012    0.081734   357.011283  17.263171  0.001481   0.304612  6725.945399  2.524978    NaN   NaN    NaN NaN NaN NaN  0.002992    0.024602   0.024201        NaN       NaN        NaN    NaN    NaN    NaN -26.085553    1.096457  112.534868       1.078619       1.610217          NaN      29.0  66.667200  333.336001  5.945868  1356.973781  400.003202  84.298818 -254.505861 -189.667321 -149.294423  682.415517  730.397923  830.908569     270.770504     5.525929   94.441924  102.323092           no       no
S2_6731A    6731.0000   3.315324       0.015643      1.433576      2.281337e-02    43.261063    2.598818       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.255193  6749.700716  6726.244888   0.325105  0.033138  0.001920 -2.620420e-05  0.209394    0.000012    0.081734   264.952478  17.263171  0.001388   0.226065  6740.340873  2.530382    NaN   NaN    NaN NaN NaN NaN  0.002825    0.024654   0.024253        NaN       NaN        NaN    NaN    NaN    NaN -53.956226    1.096356  112.524406       1.078518       1.610217          NaN      29.0  66.667200  333.336001  5.958594  1356.973781  400.003202  84.298818 -254.505861 -189.667321 -149.294423  682.415517  730.397923  830.908569     270.770504     5.525929   94.441924  102.323092           no       no
O1_6300A    6300.0000   0.182878       0.008654      0.180837      1.250539e-02     5.072211    0.441624       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6293.000000  6293.500000  6306.000000  6319.711710  6327.945925          NaN          NaN  6308.925663   0.066362  0.035652  0.001886  3.597082e-05 -0.191285    0.000030    0.188993    21.534239  18.902950  0.001452   0.032406  6309.144931  2.223924    NaN   NaN    NaN NaN NaN NaN  0.001459    0.115584   0.115586        NaN       NaN        NaN    NaN    NaN    NaN  10.419362    5.492406  105.678179       5.492487       2.279635          NaN       9.0  71.077064         NaN  5.236942          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN      21.014724     1.050736    3.923770    7.330253           no       no
#LiMe:1.0.6
#u_wave:Angstrom
