           wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err     snr_line  snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95         v_99        chisqr      redchi         aic         bic observations comments
H1_6563A    6563.0000  34.016092       0.024315     32.019293          0.389990  1341.011977  137.482501       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.868030  6603.789623  6571.847323   4.710498  0.023877  0.002431 -0.000013  0.111081    0.000003    0.022880  5681.606323  9.823628  0.001313  4.927576  6571.614073  2.592760    NaN   NaN    NaN NaN NaN NaN  0.039891    0.024237   0.024237        NaN       NaN        NaN    NaN    NaN    NaN -76.470864    1.105382  118.249730       1.105401       9.082224          NaN      45.0  68.246408  341.232038  6.105483  2687.866656  136.492815 -36.869915 -722.597197 -240.998431 -192.522755  145.523828  776.686040  1012.672692  61229.170053  551.614145  744.443991  761.017035           no       no
N2_6584A    6584.0000  34.016092       0.024315      2.029946          0.384505    85.016934   18.281768       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.868030  6603.789623  6571.847323   4.710498  0.023877  0.002431 -0.000013  0.111081    0.000003    0.022880   357.504387  9.823628  0.001266  0.310058  6592.332661  2.597387    NaN   NaN    NaN NaN NaN NaN  0.037743    0.365092   0.365098        NaN       NaN        NaN    NaN    NaN    NaN -90.517576   16.597897  118.082914      16.598173       2.436390          NaN      45.0  68.246408  341.232038  6.116378  2687.866656  136.492815 -36.869915 -722.597197 -240.998431 -192.522755  145.523828  776.686040  1012.672692  61229.170053  551.614145  744.443991  761.017035           no       no
N2_6548A    6548.0000  34.016092       0.024315      0.683338          0.126570    28.619121    6.048714       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.868030  6603.789623  6571.847323   4.710498  0.023877  0.002431 -0.000013  0.111081    0.000003    0.022880   121.600131  9.823628  0.001258  0.105462  6556.238453  2.583166    NaN   NaN    NaN NaN NaN NaN  0.012838    0.363093   0.363099        NaN       NaN        NaN    NaN    NaN    NaN -92.741316   16.597774  118.082038      16.598050       2.436390          NaN      45.0  68.246408  341.232038  6.082890  2687.866656  136.492815 -36.869915 -722.597197 -240.998431 -192.522755  145.523828  776.686040  1012.672692  61229.170053  551.614145  744.443991  761.017035           no       no
H1_4861A    4861.2582  10.159642       0.098902     10.556182          0.435765   166.384674   39.829602       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4867.844607   1.708437  0.063444  0.014960 -0.000164  0.861088    0.000068    0.333352   222.756100  4.240946  0.001404  1.829974  4868.084966  2.300839    NaN   NaN    NaN NaN NaN NaN  0.048013    0.069705   0.069705        NaN       NaN        NaN    NaN    NaN    NaN  14.802795    4.292889  141.700154       4.292889       9.082224          NaN      19.0  92.136255         NaN  5.418063          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN    973.363184   18.718523  164.038325  170.060324           no       no
O3_5007A    5006.7664  25.901923       0.062533     26.640228          1.313686   458.396395   77.044745       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5014.457659   4.249658  0.058116  0.009338  0.000021 -0.046268    0.000074    0.369080   938.449790  6.223635  0.001420  4.690401  5013.878486  2.270024    NaN   NaN    NaN NaN NaN NaN  0.144372    0.080680   0.080687        NaN       NaN        NaN    NaN    NaN    NaN -44.151723    4.823362  135.710490       4.823744       2.279635          NaN      20.0  89.442369         NaN  5.345498          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  15856.624845  428.557428  252.268594  259.122883           no       no
He1_5016A   5016.0000  25.901923       0.062533      0.150398          0.000000     2.587882    0.415815      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5014.457659   4.249658  0.058116  0.009338  0.000021 -0.046268    0.000074    0.369080    10.003940  6.223635  0.001608  0.050000  5024.065343  1.200000    NaN   NaN    NaN NaN NaN NaN  0.000000    5.406619   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  11.949937  322.632787   71.608402       0.000000       4.557702          NaN      20.0  89.442369         NaN  2.825784          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  15856.624845  428.557428  252.268594  259.122883           no       no
O3_4959A    4958.8348   8.569938       0.068166      8.770793          0.261685   148.443027   28.317717       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.584010   1.441764  0.059085  0.011133 -0.000075  0.429291    0.000122    0.607072   227.198400  5.307370  0.001426  1.513583  4965.905186  2.314371    NaN   NaN    NaN NaN NaN NaN  0.029558    0.052189   0.052189        NaN       NaN        NaN    NaN    NaN    NaN -40.975113    3.150221  139.699816       3.150221       2.279635          NaN      16.0  90.304517         NaN  5.449926          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN    438.140850   12.886496   97.450033  102.282787           no       no
S2_6716A    6716.0000   3.827331       0.021846      2.276548          0.037420    98.496408   11.421045       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6718.717851  6749.392244  6725.940632   0.378134  0.023113  0.002653 -0.000016  0.133143    0.000017    0.112936   310.496085  8.712093  0.001409  0.359990  6725.462129  2.523642    NaN   NaN    NaN NaN NaN NaN  0.004278    0.030108   0.029628        NaN       NaN        NaN    NaN    NaN    NaN -47.624244    1.341894  112.475349       1.320483       1.610217          NaN      30.0  66.682862  266.731448  5.942723  1367.236545  300.072879  63.789775 -257.496559 -199.389572 -160.872734  670.756939  723.527243   804.590008    293.164647    5.863293   99.354518  107.310455           no       no
S2_6731A    6731.0000   3.827331       0.021846      1.616670          0.031458    69.946357    8.143200       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6718.717851  6749.392244  6725.940632   0.378134  0.023113  0.002653 -0.000016  0.133143    0.000017    0.112936   219.969066  8.712093  0.001316  0.255033  6739.856568  2.529043    NaN   NaN    NaN NaN NaN NaN  0.004006    0.030173   0.029691        NaN       NaN        NaN    NaN    NaN    NaN -75.492915    1.341769  112.464892       1.320360       1.610217          NaN      30.0  66.682862  266.731448  5.955442  1367.236545  300.072879  63.789775 -257.496559 -199.389572 -160.872734  670.756939  723.527243   804.590008    293.164647    5.863293   99.354518  107.310455           no       no
O1_6300A    6300.0000   0.223914       0.029664      0.233433          0.044717    10.487381    3.575076       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6291.000000  6292.000000  6306.000000  6319.711710  6327.945925          NaN          NaN  6307.046198   0.052506  0.022258  0.006276  0.000179 -1.105928    0.000105    0.664177     6.496410  3.546371  0.001373  0.030864  6308.648015  2.984184    NaN   NaN    NaN NaN NaN NaN  0.003842    0.428822   0.429986        NaN       NaN        NaN    NaN    NaN    NaN  76.139054   20.383192  141.847049      20.438517       2.279635          NaN      10.0  71.111731         NaN  7.027217          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN     16.757739    0.881986    0.011990    3.285117           no       no
#LiMe:1.0.6
#u_wave:Angstrom
#u_flux:1e-15 erg / (Angstrom s cm2)
#redshift:0.001568
#id:None
