          wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err         eqw    eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err        m_cont    n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r    v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med        v_50         v_1         v_5        v_10        v_90        v_95         v_99        chisqr      redchi         aic         bic observations comments
H1_6563A   6563.0000  41.360000       0.017014     38.739124          0.349026  731.576593  25.119602       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6549.564317  6612.031097  6571.926446   5.930349  0.052953  0.001754 -2.682618e-05  0.229253    0.000003    0.016510  9691.705445  30.181267  0.001354  6.067472  6571.888927  2.547810    NaN   NaN    NaN NaN NaN NaN  0.035930    0.017421   0.017422        NaN       NaN        NaN    NaN    NaN    NaN -63.935426   0.794547  116.199669       0.794554       9.082224          NaN      45.0  68.270247  341.351236  5.999634  2849.555537  204.810742  -28.356631 -720.263388 -231.884033 -186.403207  157.821617  794.461728  1019.847756  93641.844976  843.620225  794.151867  810.724910           no       no
N2_6584A   6584.0000  41.360000       0.017014      2.523963          0.328235   47.664283   6.396644       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6549.564317  6612.031097  6571.926446   5.930349  0.052953  0.001754 -2.682618e-05  0.229253    0.000003    0.016510   626.250057  30.181267  0.001283  0.392063  6592.444198  2.585506    NaN   NaN    NaN NaN NaN NaN  0.033777    0.257202   0.257204        NaN       NaN        NaN    NaN    NaN    NaN -85.446858  11.692970  117.542802      11.693079       2.436390          NaN      45.0  68.270247  341.351236  6.088402  2849.555537  204.810742  -28.356631 -720.263388 -231.884033 -186.403207  157.821617  794.461728  1019.847756  93641.844976  843.620225  794.151867  810.724910           no       no
N2_6548A   6548.0000  41.360000       0.017014      0.853188          0.113637   16.112197   2.211403       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6549.564317  6612.031097  6571.926446   5.930349  0.052953  0.001754 -2.682618e-05  0.229253    0.000003    0.016510   213.010223  30.181267  0.001275  0.133355  6556.349379  2.571350    NaN   NaN    NaN NaN NaN NaN  0.011489    0.255794   0.255796        NaN       NaN        NaN    NaN    NaN    NaN -87.670636  11.692883  117.541930      11.692992       2.436390          NaN      45.0  68.270247  341.351236  6.055067  2849.555537  204.810742  -28.356631 -720.263388 -231.884033 -186.403207  157.821617  794.461728  1019.847756  93641.844976  843.620225  794.151867  810.724910           no       no
H1_4861A   4861.2582  11.021308       0.059455     11.544092          0.493640   92.488060   7.616071       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4867.307971   1.936990  0.124817  0.008784 -2.643445e-05  0.253482    0.000040    0.194516   418.464504  14.209905  0.001379  1.967378  4867.959500  2.344248    NaN   NaN    NaN NaN NaN NaN  0.054413    0.074866   0.074866        NaN       NaN        NaN    NaN    NaN    NaN  40.129645   4.611231  144.389443       4.611231       9.082224          NaN      20.0  92.179711         NaN  5.520282          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN   3835.408508   71.026083  245.911858  252.041012           no       no
O3_5007A   5006.7664  33.427141       0.068846     34.509992          1.399258  283.724674  25.898375       O3  $[OIII]5007\mathring{A}$                        none         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5001.289647  5025.751744  5013.974003   5.277458  0.121632  0.009947 -3.851367e-05  0.314739    0.000079    0.396518  1107.472031  12.227887  0.001395  5.754144  5013.752909  2.387981    NaN   NaN    NaN NaN NaN NaN  0.156060    0.074785   0.074785        NaN       NaN        NaN    NaN    NaN    NaN -13.219513   4.471473  142.780684       4.471473       2.279635          NaN      21.0  89.483321  447.416603  5.623265  1462.622710   44.741660  -54.957676 -318.778112 -252.330809 -224.837551  123.998842  163.033570   262.780640  18099.566650  464.091453  260.770894  265.983902           no       no
O3_4959A   4958.8348  10.739997       0.059821     11.158168          0.350211   90.022529   7.784392       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.083054   1.816387  0.123949  0.009987  5.050690e-07  0.121440    0.000109    0.541253   311.461901  12.410871  0.001403  1.861426  4965.792688  2.390758    NaN   NaN    NaN NaN NaN NaN  0.037606    0.055772   0.055772        NaN       NaN        NaN    NaN    NaN    NaN -17.528828   3.366834  144.325269       3.366834       2.279635          NaN      16.0  90.346263         NaN  5.629805          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN    936.734290   26.763837  127.782913  132.695672           no       no
S2_6716A   6716.0000   3.978501       0.011724      2.489188          0.096574   50.497489   2.449364       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6718.052628  6764.093314  6724.578847   0.385284  0.049293  0.001435 -2.642709e-05  0.227004    0.000009    0.061066   559.415706  34.351081  0.001381  0.356816  6725.273559  2.785035    NaN   NaN    NaN NaN NaN NaN  0.009454    0.076611   0.073431        NaN       NaN        NaN    NaN    NaN    NaN -56.028563   3.414447  124.125279       3.272740       1.610217          NaN      29.0  66.720467  400.322804  6.558256  2052.567241  366.962571  109.956386 -212.197370 -164.203525 -123.326047  733.181143  788.614543   882.116194   5240.300224  106.944903  251.473634  259.354802           no       no
S2_6731A   6731.0000   3.978501       0.011724      1.584080          0.074885   32.135794   1.784109       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6718.052628  6764.093314  6724.578847   0.385284  0.049293  0.001435 -2.642709e-05  0.227004    0.000009    0.061066   356.120477  34.351081  0.001288  0.227147  6739.667595  2.790996    NaN   NaN    NaN NaN NaN NaN  0.008722    0.076775   0.073589        NaN       NaN        NaN    NaN    NaN    NaN -83.896452   3.414130  124.113738       3.272436       1.610217          NaN      29.0  66.720467  400.322804  6.572293  2052.567241  366.962571  109.956386 -212.197370 -164.203525 -123.326047  733.181143  788.614543   882.116194   5240.300224  106.944903  251.473634  259.354802           no       no
O1_6300A   6300.0000   0.140655       0.005526      0.143089          0.011278    2.437772   0.198055       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6291.000000  6292.000000  6306.000000  6319.711710  6327.945925          NaN          NaN  6308.526225   0.079265  0.058697  0.001157  3.757248e-05 -0.178330    0.000019    0.122433    23.886569  50.714279  0.001473  0.020927  6309.281028  2.717291    NaN   NaN    NaN NaN NaN NaN  0.001097    0.164494   0.164869        NaN       NaN        NaN    NaN    NaN    NaN  35.869565   7.817055  129.130512       7.834878       2.279635          NaN      10.0  71.120738         NaN  6.398730          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN     36.603198    1.926484   17.200050   20.473177           no       no
#LiMe:1.0.6
#u_wave:Angstrom
#u_flux:1e-15 erg / (Angstrom s cm2)
#redshift:0.001568
#id:None
