           wavelength   intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err      snr_line   snr_cont    z_line        amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95         v_99        chisqr        redchi          aic          bic observations comments
H1_6563A    6563.0000   85.494035       0.021086     83.540961      1.724033e+00  1647.968425   76.327848       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6545.181630  6628.258162  6572.071928  13.558559  0.050693  0.002102 -0.000016  0.153966    0.000003    0.019728  19842.847493  24.116928  0.001411  14.882903  6572.261478  2.240697    NaN   NaN    NaN NaN NaN NaN  0.199147    0.034621   0.034622        NaN       NaN        NaN    NaN    NaN    NaN -46.944267    1.578973  102.192971       1.579029       9.082224          NaN      45.0  67.834800  271.339199  5.276439  3789.629487  135.669600 -22.822820 -619.578841 -192.541890 -159.443733  112.636446  152.835102  1070.593242  1.789907e+06  15981.314425  1147.984787  1164.608894           no       no
N2_6584A    6584.0000   85.494035       0.021086      3.299655      1.744403e+00    65.090552   34.516608       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6545.181630  6628.258162  6572.071928  13.558559  0.050693  0.002102 -0.000016  0.153966    0.000003    0.019728    668.436669  24.116928  0.001571   0.501353  6594.344350  2.649999    NaN   NaN    NaN NaN NaN NaN  0.173418    1.058430   1.058472        NaN       NaN        NaN    NaN    NaN    NaN   0.938263   48.118557  120.474775      48.120450       2.436390          NaN      45.0  67.834800  271.339199  6.240270  3789.629487  135.669600 -22.822820 -619.578841 -192.541890 -159.443733  112.636446  152.835102  1070.593242  1.789907e+06  15981.314425  1147.984787  1164.608894           no       no
N2_6548A    6548.0000   85.494035       0.021086      1.091542      6.130960e-01    21.532274   12.127131       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6545.181630  6628.258162  6572.071928  13.558559  0.050693  0.002102 -0.000016  0.153966    0.000003    0.019728    227.359411  24.116928  0.001564   0.170528  6558.239128  2.635490    NaN   NaN    NaN NaN NaN NaN  0.058986    1.052635   1.052676        NaN       NaN        NaN    NaN    NaN    NaN  -1.286156   48.118200  120.473881      48.120093       2.436390          NaN      45.0  67.834800  271.339199  6.206104  3789.629487  135.669600 -22.822820 -619.578841 -192.541890 -159.443733  112.636446  152.835102  1070.593242  1.789907e+06  15981.314425  1147.984787  1164.608894           no       no
H1_4861A    4861.2582   26.462933       0.046802     27.353364      7.214798e-01   272.995555   21.164277       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4869.366035   4.594239  0.100197  0.007304  0.000049 -0.136524    0.000034    0.163748   1215.918612  13.717194  0.001706   4.877294  4869.550828  2.238837    NaN   NaN    NaN NaN NaN NaN  0.086007    0.045588   0.045588        NaN       NaN        NaN    NaN    NaN    NaN  11.377157    2.806696  137.838592       2.806696       9.082224          NaN      19.0  91.555077         NaN  5.272059          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  1.282519e+04    246.638333   305.850846   311.872845           no       no
O3_5007A    5006.7664  115.849258       0.124170    119.359163      4.474862e+00  1180.022896  215.012253       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5002.608894  5026.815842  5015.099815  18.991009  0.101150  0.018036  0.000083 -0.313518    0.000144    0.723513   2229.152873   5.608161  0.001632  21.000826  5014.939467  2.268745    NaN   NaN    NaN NaN NaN NaN  0.505558    0.063064   0.063071        NaN       NaN        NaN    NaN    NaN    NaN  19.277669    3.770189  135.634019       3.770619       2.279635          NaN      21.0  88.894578  355.578313  5.342486  1447.042107   44.447289 -52.955802 -319.549096 -249.843945 -219.564726  110.612145  151.764349   236.722519  5.381965e+04   1416.306684   308.540424   315.491102           no       no
He1_5016A   5016.0000  115.849258       0.124170      0.391034      5.551115e-17     3.865887    0.689332      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5002.608894  5026.815842  5015.099815  18.991009  0.101150  0.018036  0.000083 -0.313518    0.000144    0.723513     13.798975   5.608161  0.001789   0.130000  5024.971777  1.200000    NaN   NaN    NaN NaN NaN NaN  0.000000    7.320218   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  66.040189  436.824258   71.608402       0.000000       4.557702          NaN      21.0  88.894578  355.578313  2.825784  1447.042107   44.447289 -52.955802 -319.549096 -249.843945 -219.564726  110.612145  151.764349   236.722519  5.381965e+04   1416.306684   308.540424   315.491102           no       no
O3_4959A    4958.8348   37.483213       0.051783     38.954644      1.805801e+00   399.678339   39.550910       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.026195   6.463865  0.097465  0.008521 -0.000015  0.173170    0.000094    0.464754   1385.215072  11.438074  0.001617   7.063407  4966.852042  2.200061    NaN   NaN    NaN NaN NaN NaN  0.216798    0.077973   0.077973        NaN       NaN        NaN    NaN    NaN    NaN  49.855306    4.707136  132.814783       4.707137       2.279635          NaN      16.0  89.773023         NaN  5.180748          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  3.960693e+04   1131.626676   270.068586   274.981344           no       no
S2_6716A    6716.0000    5.392440       0.011471      3.084089      3.927988e-02    65.159226    2.182255       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.439195  6781.858102  6728.215263   0.515165  0.047332  0.001466 -0.000007  0.095245    0.000009    0.062793    759.072351  32.284249  0.001757   0.486345  6727.799507  2.529521    NaN   NaN    NaN NaN NaN NaN  0.004410    0.022573   0.022197        NaN       NaN        NaN    NaN    NaN    NaN  56.549572    1.006063  112.737349       0.989271       1.610217          NaN      30.0  66.260541  331.302705  5.956566  2781.230516  364.432975  77.982354 -284.782658 -205.039095 -160.746544  675.803646  722.248171   813.049799  1.042142e+03     20.842832   167.842649   175.798585           no       no
S2_6731A    6731.0000    5.392440       0.011471      2.358347      3.416168e-02    49.826087    1.703782       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.439195  6781.858102  6728.215263   0.515165  0.047332  0.001466 -0.000007  0.095245    0.000009    0.062793    579.889749  32.284249  0.001664   0.371541  6742.198949  2.534935    NaN   NaN    NaN NaN NaN NaN  0.004186    0.022622   0.022244        NaN       NaN        NaN    NaN    NaN    NaN  28.671216    1.005969  112.726867       0.989179       1.610217          NaN      30.0  66.260541  331.302705  5.969315  2781.230516  364.432975  77.982354 -284.782658 -205.039095 -160.746544  675.803646  722.248171   813.049799  1.042142e+03     20.842832   167.842649   175.798585           no       no
O1_6300A    6300.0000    0.476046       0.008948      0.458212      3.699510e-02     8.720888    0.766936       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6292.000000  6293.000000  6307.700000  6319.711710  6327.945925          NaN          NaN  6310.345956   0.122004  0.052542  0.001832  0.000025 -0.108272    0.000029    0.184606     52.516972  28.685952  0.001692   0.069423  6310.661169  2.634439    NaN   NaN    NaN NaN NaN NaN  0.003599    0.157693   0.157805        NaN       NaN        NaN    NaN    NaN    NaN  14.975148    7.491716  125.157151       7.497035       2.279635          NaN      11.0  70.648295         NaN  6.203630          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  1.696792e+02      8.079962    52.940539    56.474700           no       no
