           wavelength   intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw    eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err      snr_line   snr_cont    z_line        amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95         v_99        chisqr        redchi          aic          bic observations comments
H1_6563A    6563.0000  162.209492       0.043013    154.922381          3.912832  1197.267807  48.954887       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.393075  6611.570363  6574.587506  20.718515  0.129397  0.004161 -0.000077  0.637046    0.000006    0.039037  14229.689289  31.098598  0.001700  21.126742  6574.154108  2.927021    NaN   NaN    NaN NaN NaN NaN  0.337850    0.054048   0.054052        NaN       NaN        NaN    NaN    NaN    NaN  39.374204    2.465024  133.494593       2.465177       9.082224          NaN      45.0  67.827723  406.966339  6.892607  3063.195125  169.569308 -48.460107 -819.939540 -281.993619 -239.007805  123.128119  604.084631  1007.965494  1.716884e+06  15329.321741  1143.069763  1159.693871           no       no
N2_6584A    6584.0000  162.209492       0.043013      8.313916          3.293033    64.251425  25.532872       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.393075  6611.570363  6574.587506  20.718515  0.129397  0.004161 -0.000077  0.637046    0.000006    0.039037    940.809453  31.098598  0.001716   1.396815  6595.296028  2.387116    NaN   NaN    NaN NaN NaN NaN  0.354283    0.699123   0.699161        NaN       NaN        NaN    NaN    NaN    NaN  44.203632   31.783660  108.523539      31.785389       2.436390          NaN      45.0  67.827723  406.966339  5.621228  3063.195125  169.569308 -48.460107 -819.939540 -281.993619 -239.007805  123.128119  604.084631  1007.965494  1.716884e+06  15329.321741  1143.069763  1159.693871           no       no
N2_6548A    6548.0000  162.209492       0.043013      2.758684          1.074550    21.319601   8.332560       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.393075  6611.570363  6574.587506  20.718515  0.129397  0.004161 -0.000077  0.637046    0.000006    0.039037    320.003215  31.098598  0.001708   0.475107  6559.185595  2.374046    NaN   NaN    NaN NaN NaN NaN  0.120504    0.695295   0.695333        NaN       NaN        NaN    NaN    NaN    NaN  41.978891   31.783424  108.522733      31.785153       2.436390          NaN      45.0  67.827723  406.966339  5.590451  3063.195125  169.569308 -48.460107 -819.939540 -281.993619 -239.007805  123.128119  604.084631  1007.965494  1.716884e+06  15329.321741  1143.069763  1159.693871           no       no
H1_4861A    4861.0000   46.432680       0.114127     47.815526          1.320968   152.186228   9.113237       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4900.400000          NaN          NaN  4868.432581   8.362089  0.314191  0.016693 -0.000003  0.329088    0.000090    0.437277    964.217166  18.822228  0.001766   8.614771  4869.582336  2.212541    NaN   NaN    NaN NaN NaN NaN  0.161069    0.047767   0.047767        NaN       NaN        NaN    NaN    NaN    NaN  70.800561    2.941452  136.245750       2.941452       9.082224          NaN      20.0  91.598126         NaN  5.210137          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  7.854933e+03    163.644430   262.890638   268.686115           no       no
O3_5007A    5006.7664  123.557351       0.176001    126.005902          3.462590   429.105419  39.159386       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5003.839301  5032.816110  5014.206934  21.086182  0.293648  0.025554 -0.000209  1.343443    0.000195    0.979489   1686.328709  11.491270  0.001666  22.508822  5015.109377  2.235590    NaN   NaN    NaN NaN NaN NaN  0.401549    0.046051   0.046058        NaN       NaN        NaN    NaN    NaN    NaN  29.435561    2.753075  133.651913       2.753495       2.279635          NaN      21.0  88.935161  355.740644  5.264413  1732.483094  222.337903  10.720939 -253.318168 -178.407041 -151.860805  173.392682  225.026652   362.576642  1.710033e+04    438.470092   265.383085   272.427885           no       no
He1_5016A   5016.0000  123.557351       0.176001      0.902386          0.000000     3.073021   0.267422      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5003.839301  5032.816110  5014.206934  21.086182  0.293648  0.025554 -0.000209  1.343443    0.000195    0.979489     22.475570  11.491270  0.001780   0.300000  5024.926243  1.200000    NaN   NaN    NaN NaN NaN NaN  0.000000    2.545138   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  63.323008  151.877705   71.608402       0.000000       4.557702          NaN      21.0  88.935161  355.740644  2.825784  1732.483094  222.337903  10.720939 -253.318168 -178.407041 -151.860805  173.392682  225.026652   362.576642  1.710033e+04    438.470092   265.383085   272.427885           no       no
O3_4959A    4958.8348   40.149760       0.129626     41.691526          1.451398   137.238011  10.847215       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.607145   7.252646  0.303790  0.021557  0.000186 -0.619003    0.000238    1.182283    583.690456  14.092472  0.001614   7.529569  4966.839626  2.204666    NaN   NaN    NaN NaN NaN NaN  0.169314    0.057245   0.057245        NaN       NaN        NaN    NaN    NaN    NaN  14.032926    3.455391  133.077227       3.455390       2.279635          NaN      16.0  89.787513         NaN  5.191592          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  3.673384e+03    108.040696   176.124172   180.956925           no       no
S2_6716A    6716.0000   12.769772       0.018001      7.358254          0.088396    61.256974   1.358503       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.245606  6748.853148  6727.799326   1.214314  0.120121  0.002239 -0.000103  0.810264    0.000014    0.095876   1140.968782  53.643436  0.001684   1.116547  6727.310560  2.628695    NaN   NaN    NaN NaN NaN NaN  0.009486    0.022082   0.021520        NaN       NaN        NaN    NaN    NaN    NaN  34.757829    0.984153  117.157397       0.959114       1.610217          NaN      30.0  66.283086  331.415430  6.190103  1319.319648  298.273887  83.560372 -273.680994 -207.879996 -164.781425  671.470121  724.957896   806.082161  2.149677e+03     42.993546   206.940804   214.896740           no       no
S2_6731A    6731.0000   12.769772       0.018001      5.595892          0.075263    46.585428   1.070859       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.245606  6748.853148  6727.799326   1.214314  0.120121  0.002239 -0.000103  0.810264    0.000014    0.095876    865.497725  53.643436  0.001591   0.846972  6741.708955  2.634321    NaN   NaN    NaN NaN NaN NaN  0.008998    0.022129   0.021566        NaN       NaN        NaN    NaN    NaN    NaN   6.881499    0.984062  117.146505       0.959025       1.610217          NaN      30.0  66.283086  331.415430  6.203351  1319.319648  298.273887  83.560372 -273.680994 -207.879996 -164.781425  671.470121  724.957896   806.082161  2.149677e+03     42.993546   206.940804   214.896740           no       no
#LiMe:1.0.6
#u_wave:Angstrom
#u_flux:1e-15 erg / (Angstrom s cm2)
#redshift:0.001568
#id:None
