           wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err         eqw    eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95        v_99        chisqr      redchi         aic         bic observations comments
H1_6563A    6563.0000  34.675815       0.018172     32.582814          0.354138  860.372503  41.742999       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6545.726184  6612.722181  6573.504448   5.023127  0.037871  0.001791 -0.000024  0.195697    0.000003    0.016868  8323.990905  21.148684  0.001456  5.318699  6572.557608  2.444132    NaN   NaN    NaN NaN NaN NaN  0.037123    0.019698   0.019699        NaN       NaN        NaN    NaN    NaN    NaN -33.438456    0.898399  111.471150       0.898404       9.082224          NaN      45.0  68.185112  272.740447  5.755491  3055.431805  238.647891 -71.040180 -757.023421 -266.493896 -227.098261  100.547467  747.599209  977.265264  92153.835869  830.214738  792.277756  808.850800           no       no
N2_6584A    6584.0000  34.675815       0.018172      2.045656          0.338013   54.017016   9.283738       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6545.726184  6612.722181  6573.504448   5.023127  0.037871  0.001791 -0.000024  0.195697    0.000003    0.016868   504.968803  21.148684  0.001404  0.322655  6593.246163  2.528190    NaN   NaN    NaN NaN NaN NaN  0.034566    0.312746   0.312748        NaN       NaN        NaN    NaN    NaN    NaN -48.987743   14.218136  114.937066      14.218203       2.436390          NaN      45.0  68.185112  272.740447  5.953432  3055.431805  238.647891 -71.040180 -757.023421 -266.493896 -227.098261  100.547467  747.599209  977.265264  92153.835869  830.214738  792.277756  808.850800           no       no
N2_6548A    6548.0000  34.675815       0.018172      0.689505          0.112855   18.206878   3.101881       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6545.726184  6612.722181  6573.504448   5.023127  0.037871  0.001791 -0.000024  0.195697    0.000003    0.016868   171.758096  21.148684  0.001397  0.109747  6557.146954  2.514347    NaN   NaN    NaN NaN NaN NaN  0.011757    0.311034   0.311035        NaN       NaN        NaN    NaN    NaN    NaN -51.211792   14.218031  114.936213      14.218098       2.436390          NaN      45.0  68.185112  272.740447  5.920836  3055.431805  238.647891 -71.040180 -757.023421 -266.493896 -227.098261  100.547467  747.599209  977.265264  92153.835869  830.214738  792.277756  808.850800           no       no
H1_4861A    4861.2582  10.868057       0.069526     11.200002          0.338545  115.751648  13.274804       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4869.107819   1.826907  0.096759  0.010704 -0.000129  0.724123    0.000049    0.238665   324.752159   9.039278  0.001544  1.908946  4868.762600  2.339157    NaN   NaN    NaN NaN NaN NaN  0.039453    0.055824   0.055824        NaN       NaN        NaN    NaN    NaN    NaN -21.255203    3.437071  144.022618       3.437071       9.082224          NaN      19.0  92.052826         NaN  5.508294          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN   1305.961854   25.114651  180.204905  186.226905           no       no
O3_5007A    5006.7664  29.160225       0.045965     29.903199          0.932408  332.956556  26.446054       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5003.283541  5025.873365  5014.131041   4.724021  0.089811  0.006561 -0.000040  0.292366    0.000050    0.250199  1492.940012  13.688937  0.001535  5.116281  5014.453066  2.333150    NaN   NaN    NaN NaN NaN NaN  0.110941    0.058415   0.058435        NaN       NaN        NaN    NaN    NaN    NaN  -9.801190    3.492289  139.484374       3.493449       2.279635          NaN      21.0  89.390391  357.561565  5.494148  1350.634572   89.390391 -24.413619 -298.908802 -234.592708 -187.716708  148.585808  176.874308  264.853988  20559.200453  527.158986  273.304140  280.348940           no       no
He1_5016A   5016.0000  29.160225       0.045965      0.150398          0.000000    1.674600   0.122332      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5003.283541  5025.873365  5014.131041   4.724021  0.089811  0.006561 -0.000040  0.292366    0.000050    0.250199    14.590090  13.688937  0.001638  0.050000  5024.216843  1.200000    NaN   NaN    NaN NaN NaN NaN  0.000000    4.286209   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  20.990540  255.773828   71.608402       0.000000       4.557702          NaN      21.0  89.390391  357.561565  2.825784  1350.634572   89.390391 -24.413619 -298.908802 -234.592708 -187.716708  148.585808  176.874308  264.853988  20559.200453  527.158986  273.304140  280.348940           no       no
O3_4959A    4958.8348   9.591938       0.045166      9.997202          0.483771  110.517517  11.016273       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.288328   1.660405  0.090458  0.007883  0.000019 -0.004668    0.000086    0.427668   370.341868  11.475134  0.001536  1.747003  4966.451604  2.286256    NaN   NaN    NaN NaN NaN NaN  0.055473    0.083826   0.083826        NaN       NaN        NaN    NaN    NaN    NaN   9.856257    5.060211  138.010967       5.060210       2.279635          NaN      16.0  90.251533         NaN  5.383721          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN   3131.772762   89.479222  173.647197  178.559955           no       no
S2_6716A    6716.0000   3.063395       0.009127      1.848934          0.037257   56.929337   2.325698       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000          NaN          NaN  6726.003094   0.314161  0.032478  0.001154 -0.000043  0.319492    0.000007    0.049164   595.032026  28.139675  0.001543  0.300129  6726.365656  2.458711    NaN   NaN    NaN NaN NaN NaN  0.004302    0.035393   0.034984        NaN       NaN        NaN    NaN    NaN    NaN  -7.355273    1.577426  109.581452       1.559174       1.610217          NaN      30.0  66.639151         NaN  5.789822          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN   1523.777321   30.475546  188.358032  196.313969           no       no
S2_6731A    6731.0000   3.063395       0.009127      1.305155          0.031506   40.186171   1.726424       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000          NaN          NaN  6726.003094   0.314161  0.032478  0.001154 -0.000043  0.319492    0.000007    0.049164   418.909199  28.139675  0.001450  0.211294  6740.762029  2.463973    NaN   NaN    NaN NaN NaN NaN  0.004022    0.035469   0.035059        NaN       NaN        NaN    NaN    NaN    NaN -35.227688    1.577279  109.571264       1.559029       1.610217          NaN      30.0  66.639151         NaN  5.802214          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN   1523.777321   30.475546  188.358032  196.313969           no       no
#LiMe:1.0.6
#u_wave:Angstrom
#u_flux:1e-15 erg / (Angstrom s cm2)
#redshift:0.001568
#id:None
