           wavelength   intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err      snr_line   snr_cont    z_line        amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95         v_99        chisqr        redchi          aic          bic observations comments
H1_6563A    6563.0000   92.377082       0.022565     90.248278          1.855688  1647.440633   76.275572       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6545.181409  6625.689754  6572.071928  14.650688  0.054781  0.002272 -0.000018  0.174610    0.000003    0.021328  19832.369585  24.106250  0.001411  16.081596  6572.261362  2.240707    NaN   NaN    NaN NaN NaN NaN  0.215177    0.034620   0.034621        NaN       NaN        NaN    NaN    NaN    NaN -46.949531    1.578916  102.193403       1.578972       9.082224          NaN      45.0  67.834800  271.339199  5.276461  3672.478764  135.669600 -22.833763 -619.647281 -192.547528 -159.452822  112.617631  152.614036  1070.393504  1.787881e+06  15963.219750  1147.851107  1164.475214           no       no
N2_6584A    6584.0000   92.377082       0.022565      3.666542          2.079991    66.931028   38.070655       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6545.181409  6625.689754  6572.071928  14.650688  0.054781  0.002272 -0.000018  0.174610    0.000003    0.021328    667.811799  24.106250  0.001571   0.541513  6594.344127  2.649912    NaN   NaN    NaN NaN NaN NaN  0.187381    1.058803   1.058845        NaN       NaN        NaN    NaN    NaN    NaN   0.928130   48.135515  120.470809      48.137408       2.436390          NaN      45.0  67.834800  271.339199  6.240065  3672.478764  135.669600 -22.833763 -619.647281 -192.547528 -159.452822  112.617631  152.614036  1070.393504  1.787881e+06  15963.219750  1147.851107  1164.475214           no       no
N2_6548A    6548.0000   92.377082       0.022565      1.224126          0.621081    22.345850   11.375373       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6545.181409  6625.689754  6572.071928  14.650688  0.054781  0.002272 -0.000018  0.174610    0.000003    0.021328    227.146870  24.106250  0.001564   0.184188  6558.238906  2.635403    NaN   NaN    NaN NaN NaN NaN  0.063735    1.053006   1.053047        NaN       NaN        NaN    NaN    NaN    NaN  -1.296289   48.135158  120.469915      48.137050       2.436390          NaN      45.0  67.834800  271.339199  6.205899  3672.478764  135.669600 -22.833763 -619.647281 -192.547528 -159.452822  112.617631  152.614036  1070.393504  1.787881e+06  15963.219750  1147.851107  1164.475214           no       no
H1_4861A    4861.2582   30.395062       0.054934     31.443495          0.851705   273.223552   21.241819       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4869.366035   5.276993  0.115083  0.008387  0.000050 -0.128086    0.000039    0.188006   1216.408950  13.722316  0.001706   5.602081  4869.550567  2.238825    NaN   NaN    NaN NaN NaN NaN  0.098794    0.045590   0.045590        NaN       NaN        NaN    NaN    NaN    NaN  11.361064    2.806853  137.837839       2.806853       9.082224          NaN      19.0  91.555077         NaN  5.272030          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  1.283704e+04    246.866221   305.901641   311.923641           no       no
O3_5007A    5006.7664  132.057808       0.135617    136.057021          4.998214  1180.004276  214.582074       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5002.608621  5026.729323  5015.099815  21.648842  0.115302  0.020535  0.000088 -0.328237    0.000164    0.823761   2231.903435   5.614846  0.001632  23.940135  5014.939201  2.268746    NaN   NaN    NaN NaN NaN NaN  0.576329    0.063065   0.063072        NaN       NaN        NaN    NaN    NaN    NaN  19.261817    3.770273  135.634079       3.770703       2.279635          NaN      21.0  88.894578  355.578313  5.342489  1441.886434   44.447289 -52.979365 -319.563048 -249.851069 -219.577594  110.564933  151.721913   236.396895  5.395493e+04   1419.866614   308.645860   315.596538           no       no
He1_5016A   5016.0000  132.057808       0.135617      0.451193          0.000000     3.913137    0.696927      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5002.608621  5026.729323  5015.099815  21.648842  0.115302  0.020535  0.000088 -0.328237    0.000164    0.823761     13.984278   5.614846  0.001789   0.150000  5024.971447  1.200000    NaN   NaN    NaN NaN NaN NaN  0.000000    7.232147   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  66.020473  431.568733   71.608402       0.000000       4.557702          NaN      21.0  88.894578  355.578313  2.825784  1441.886434   44.447289 -52.979365 -319.563048 -249.851069 -219.577594  110.564933  151.721913   236.396895  5.395493e+04   1419.866614   308.645860   315.596538           no       no
O3_4959A    4958.8348   42.839042       0.057155     44.540948          2.045856   399.871748   39.501583       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.026195   7.387206  0.111388  0.009742 -0.000023  0.226699    0.000107    0.531329   1384.672447  11.434099  0.001617   8.072075  4966.851790  2.200045    NaN   NaN    NaN NaN NaN NaN  0.247769    0.077976   0.077976        NaN       NaN        NaN    NaN    NaN    NaN  49.840103    4.707331  132.813790       4.707333       2.279635          NaN      16.0  89.773023         NaN  5.180709          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN  3.957949e+04   1130.842692   270.042251   274.955009           no       no
S2_6716A    6716.0000    5.806281       0.012702      3.322156          0.041067    65.184500    2.173401       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.439342  6783.441165  6728.215263   0.554714  0.050965  0.001578 -0.000009  0.110031    0.000010    0.067595    759.287726  32.293356  0.001757   0.523684  6727.799360  2.529529    NaN   NaN    NaN NaN NaN NaN  0.004748    0.022572   0.022196        NaN       NaN        NaN    NaN    NaN    NaN  56.542994    1.006021  112.737733       0.989230       1.610217          NaN      30.0  66.260541  331.302705  5.956586  2851.761285  364.432975  77.957941 -284.789559 -205.049622 -160.755400  675.869812  722.330056   813.996179  1.042399e+03     20.847975   167.855971   175.811907           no       no
S2_6731A    6731.0000    5.806281       0.012702      2.542199          0.036207    49.880845    1.700162       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.439342  6783.441165  6728.215263   0.554714  0.050965  0.001578 -0.000009  0.110031    0.000010    0.067595    579.869934  32.293356  0.001664   0.399939  6742.198801  2.534943    NaN   NaN    NaN NaN NaN NaN  0.004506    0.022621   0.022243        NaN       NaN        NaN    NaN    NaN    NaN  28.664638    1.005928  112.727251       0.989138       1.610217          NaN      30.0  66.260541  331.302705  5.969335  2851.761285  364.432975  77.957941 -284.789559 -205.049622 -160.755400  675.869812  722.330056   813.996179  1.042399e+03     20.847975   167.855971   175.811907           no       no
#LiMe:1.0.6
