           wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err         eqw    eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95        v_99       chisqr      redchi         aic         bic observations comments
H1_6563A    6563.0000  23.801150       0.043483     23.027740          0.139001  524.328225  51.168775       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6658.820000  6549.949642  6613.722330  6573.580115   3.359921  0.043919  0.004278 -0.000022  0.191269    0.000006    0.041587  2270.542596  10.266693  0.001506  3.465790  6572.880851  2.651314    NaN   NaN    NaN NaN NaN NaN  0.013975    0.012345   0.012345        NaN       NaN        NaN    NaN    NaN    NaN -18.696087    0.563006  120.920229       0.563026       9.082224          NaN      45.0  67.929812  271.719247  6.243366  2908.395504  305.684153 -61.749228 -638.086502 -263.704723 -222.966744  111.475847  179.558204  950.556352  2469.163339   22.446939  366.733156  383.254698           no       no
N2_6584A    6584.0000  23.801150       0.043483      0.780821          0.134871   17.778840   3.525542       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6658.820000  6549.949642  6613.722330  6573.580115   3.359921  0.043919  0.004278 -0.000022  0.191269    0.000006    0.041587    74.145330  10.266693  0.001427  0.113177  6593.394307  2.767847    NaN   NaN    NaN NaN NaN NaN  0.012953    0.365774   0.365787        NaN       NaN        NaN    NaN    NaN    NaN -42.252790   16.628887  125.832411      16.629491       2.436390          NaN      45.0  67.929812  271.719247  6.517782  2908.395504  305.684153 -61.749228 -638.086502 -263.704723 -222.966744  111.475847  179.558204  950.556352  2469.163339   22.446939  366.733156  383.254698           no       no
N2_6548A    6548.0000  23.801150       0.043483      0.265596          0.047670    6.047460   1.234945       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6658.820000  6549.949642  6613.722330  6573.580115   3.359921  0.043919  0.004278 -0.000022  0.191269    0.000006    0.041587    25.219500  10.266693  0.001419  0.038495  6557.294286  2.752693    NaN   NaN    NaN NaN NaN NaN  0.004406    0.363771   0.363784        NaN       NaN        NaN    NaN    NaN    NaN -44.476889   16.628764  125.831477      16.629368       2.436390          NaN      45.0  67.929812  271.719247  6.482096  2908.395504  305.684153 -61.749228 -638.086502 -263.704723 -222.966744  111.475847  179.558204  950.556352  2469.163339   22.446939  366.733156  383.254698           no       no
H1_4861A    4861.0000   7.446281       0.071381      7.826941          0.425261   64.997890   6.966978       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4889.130000  4908.400000          NaN          NaN  4868.098059   1.324008  0.120418  0.011126 -0.000003  0.133655    0.000052    0.251706   223.816143  10.822902  0.001685  1.367493  4869.191308  2.289198    NaN   NaN    NaN NaN NaN NaN  0.045864    0.088655   0.088655        NaN       NaN        NaN    NaN    NaN    NaN  67.325675    5.459629  140.975858       5.459629       9.082224          NaN      19.0  91.728238         NaN  5.390649          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  1512.067924   30.858529  181.239468  187.093199           no       no
O3_5007A    5006.7664  33.164145       0.083911     33.937198          1.141636  303.465822  34.091048       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5014.069449   4.845705  0.111832  0.011987 -0.000231  1.270219    0.000091    0.458817   817.087189   9.329745  0.001461  5.115835  5014.079675  2.645859    NaN   NaN    NaN NaN NaN NaN  0.113985    0.068065   0.068110        NaN       NaN        NaN    NaN    NaN    NaN -32.123867    4.069175  158.179293       4.071844       2.279635          NaN      21.0  89.057813         NaN  6.230522          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  7399.612476  189.733653  229.363260  236.408061           no       no
He1_5016A   5016.0000  33.164145       0.083911      0.150398          0.000000    1.344854   0.144147      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5014.069449   4.845705  0.111832  0.011987 -0.000231  1.270219    0.000091    0.458817     7.985864   9.329745  0.001683  0.050000  5024.439823  1.200000    NaN   NaN    NaN NaN NaN NaN  0.000000    4.785212   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  34.296516  285.551133   71.608402       0.000000       4.557702          NaN      21.0  89.057813         NaN  2.825784          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  7399.612476  189.733653  229.363260  236.408061           no       no
O3_4959A    4958.8348   9.698191       0.058625     10.089969          0.390412   85.306374   7.858346       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.405321   1.662983  0.118279  0.009888 -0.000083  0.530764    0.000109    0.541551   291.823102  11.961880  0.001506  1.726752  4966.304666  2.334777    NaN   NaN    NaN NaN NaN NaN  0.044067    0.068802   0.068802        NaN       NaN        NaN    NaN    NaN    NaN  -6.075963    4.153173  140.936676       4.153175       2.279635          NaN      16.0  89.912528         NaN  5.497981          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN  1250.782334   36.787716  136.262444  141.095198           no       no
S2_6716A    6716.0000   1.309229       0.011321      0.775210          0.011277   18.597232   0.671316       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6716.667677  6751.990938  6726.999025   0.153247  0.041684  0.001377 -0.000037  0.290562    0.000008    0.055988   193.883634  30.269518  0.001572  0.116683  6726.554285  2.650323    NaN   NaN    NaN NaN NaN NaN  0.001228    0.028155   0.027392        NaN       NaN        NaN    NaN    NaN    NaN   1.051706    1.254838  118.121325       1.220836       1.610217          NaN      30.0  66.380574  398.283446  6.241033  1574.200805  365.093159  72.252074 -281.079621 -208.929874 -164.916612  676.701038  733.014675  834.650789    98.638248    1.896889   39.702015   47.803421           no       no
S2_6731A    6731.0000   1.309229       0.011321      0.546632          0.009688   13.113672   0.491633       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6716.667677  6751.990938  6726.999025   0.153247  0.041684  0.001377 -0.000037  0.290562    0.000008    0.055988   136.538431  30.269518  0.001478  0.082171  6740.951062  2.655995    NaN   NaN    NaN NaN NaN NaN  0.001150    0.028215   0.027451        NaN       NaN        NaN    NaN    NaN    NaN -26.821491    1.254722  118.110342       1.220722       1.610217          NaN      30.0  66.380574  398.283446  6.254390  1574.200805  365.093159  72.252074 -281.079621 -208.929874 -164.916612  676.701038  733.014675  834.650789    98.638248    1.896889   39.702015   47.803421           no       no
#LiMe:1.0.6
