           wavelength   intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw    eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err      snr_line   snr_cont    z_line        amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med        v_50         v_1         v_5        v_10        v_90        v_95        v_99        chisqr        redchi          aic          bic observations comments
H1_6563A    6563.0000  286.577415       0.032610    280.129860      2.023057e+00  1962.937391  47.764972       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.763134  6611.657140  6573.013220  44.773548  0.142710  0.003316 -0.000035  0.369539    0.000005    0.031219  38261.112940  43.034745  0.001470  45.273741  6572.646819  2.467332    NaN   NaN    NaN NaN NaN NaN  0.219927    0.013840   0.013840        NaN       NaN        NaN    NaN    NaN    NaN -29.369737    0.631200  112.529270       0.631202       9.082224          NaN      45.0  68.227256  272.909024  5.810124  3051.008403  238.795396  -48.049620 -436.059080 -243.497104 -197.935914  105.795272  156.215607  917.198619  9.515287e+05   8572.330272  1065.427185  1082.000228           no       no
N2_6584A    6584.0000  286.577415       0.032610      7.743517      1.981513e+00    54.260690  13.942068       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.763134  6611.657140  6573.013220  44.773548  0.142710  0.003316 -0.000035  0.369539    0.000005    0.031219   1032.338208  43.034745  0.001370   1.221549  6593.020153  2.532216    NaN   NaN    NaN NaN NaN NaN  0.205586    0.492099   0.492100        NaN       NaN        NaN    NaN    NaN    NaN -59.262668   22.371897  115.120106      22.371966       2.436390          NaN      45.0  68.227256  272.909024  5.962913  3051.008403  238.795396  -48.049620 -436.059080 -243.497104 -197.935914  105.795272  156.215607  917.198619  9.515287e+05   8572.330272  1065.427185  1082.000228           no       no
N2_6548A    6548.0000  286.577415       0.032610      2.632290      6.893642e-01    18.445088   4.849519       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6544.763134  6611.657140  6573.013220  44.773548  0.142710  0.003316 -0.000035  0.369539    0.000005    0.031219    351.135445  43.034745  0.001363   0.415493  6556.922181  2.518352    NaN   NaN    NaN NaN NaN NaN  0.069927    0.489405   0.489406        NaN       NaN        NaN    NaN    NaN    NaN -61.486641   22.371731  115.119252      22.371799       2.436390          NaN      45.0  68.227256  272.909024  5.930265  3051.008403  238.795396  -48.049620 -436.059080 -243.497104 -197.935914  105.795272  156.215607  917.198619  9.515287e+05   8572.330272  1065.427185  1082.000228           no       no
H1_4861A    4861.2582   85.870494       0.112206     88.649703      2.494409e+00   280.864117  17.149231       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000  4857.552443  4882.205219  4867.690578  14.713580  0.315632  0.017104  0.000026  0.190180    0.000078    0.381149   1650.559560  18.453946  0.001505  15.502706  4868.576751  2.279986    NaN   NaN    NaN NaN NaN NaN  0.286671    0.048683   0.048683        NaN       NaN        NaN    NaN    NaN    NaN  54.577843    2.998303  140.420290       2.998304       9.082224          NaN      19.0  92.129655  368.518621  5.368956  1518.320847  138.194483    8.836173 -261.104675 -182.015221 -156.496254  179.536549  227.953396  271.499547  2.630883e+04    505.939016   345.367967   351.389967           no       no
O3_5007A    5006.7664  476.657664       0.110001    491.180987      1.817923e+01  1542.407674  98.436288       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5002.738936  5031.132830  5014.288489  79.622253  0.318451  0.016557 -0.000108  0.860619    0.000126    0.631074   9805.299873  19.233814  0.001518  86.892871  5014.368829  2.254513    NaN   NaN    NaN NaN NaN NaN  2.138180    0.064057   0.064069        NaN       NaN        NaN    NaN    NaN    NaN -14.837178    3.829590  134.783186       3.830285       2.279635          NaN      20.0  89.436150  357.744598  5.308973  1697.603783  178.872299  -39.892045 -308.068546 -240.832505 -199.368265  129.351323  160.174003  242.889793  1.128513e+06  29697.697884   436.347137   443.297815           no       no
He1_5016A   5016.0000  476.657664       0.110001      1.879971      2.220446e-16     5.903490   0.306933      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5002.738936  5031.132830  5014.288489  79.622253  0.318451  0.016557 -0.000108  0.860619    0.000126    0.631074     56.421774  19.233814  0.001764   0.500000  5024.849531  1.500000    NaN   NaN    NaN NaN NaN NaN  0.000000    9.090039   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  58.745345  542.435981   89.510502       0.000000       4.557702          NaN      20.0  89.436150  357.744598  3.532230  1697.603783  178.872299  -39.892045 -308.068546 -240.832505 -199.368265  129.351323  160.174003  242.889793  1.128513e+06  29697.697884   436.347137   443.297815           no       no
O3_4959A    4958.8348  156.664796       0.091797    162.857490      6.935746e+00   504.601056  32.984584       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.419783  26.514065  0.322745  0.016005 -0.000143  1.031341    0.000175    0.867860   3013.840757  20.165198  0.001507  28.865475  4966.310238  2.249812    NaN   NaN    NaN NaN NaN NaN  0.781347    0.070320   0.070320        NaN       NaN        NaN    NaN    NaN    NaN  -6.612581    4.244808  135.807397       4.244808       2.279635          NaN      16.0  90.298177         NaN  5.297901          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  1.482416e+05   4235.473600   320.222469   325.135227           no       no
S2_6716A    6716.0000   12.105824       0.023208      6.986487      1.066009e-01    52.309471   1.370111       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.634242  6750.371594  6725.594719   1.192815  0.133561  0.002843 -0.000073  0.627274    0.000018    0.120462    900.432568  46.972120  0.001513   1.118897  6726.163548  2.489801    NaN   NaN    NaN NaN NaN NaN  0.012352    0.026996   0.026621        NaN       NaN        NaN    NaN    NaN    NaN -16.362955    1.203172  110.967081       1.186476       1.610217          NaN      30.0  66.679405  266.717620  5.863033  1370.113229  400.076431  122.336237 -205.286447 -153.600384 -111.630961  718.323727  767.820471  842.010440  2.169261e+03     42.534535   210.114482   218.143815           no       no
S2_6731A    6731.0000   12.105824       0.023208      5.370542      9.277986e-02    40.210512   1.102443       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.634242  6750.371594  6725.594719   1.192815  0.133561  0.002843 -0.000073  0.627274    0.000018    0.120462    690.768576  46.972120  0.001420   0.858364  6740.559488  2.495130    NaN   NaN    NaN NaN NaN NaN  0.011730    0.027054   0.026678        NaN       NaN        NaN    NaN    NaN    NaN -44.234532    1.203060  110.956764       1.186366       1.610217          NaN      30.0  66.679405  266.717620  5.875581  1370.113229  400.076431  122.336237 -205.286447 -153.600384 -111.630961  718.323727  767.820471  842.010440  2.169261e+03     42.534535   210.114482   218.143815           no       no
#LiMe:1.0.6
#u_wave:Angstrom
#u_flux:1e-15 erg / (Angstrom s cm2)
#redshift:0.001568
#id:None
