           wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line        amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95        v_99         chisqr       redchi         aic         bic observations comments
H1_6563A    6563.0000  51.289803       0.026976     49.981168      4.990741e-01  1353.391804   99.933046       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6551.258801  6597.826332  6572.180801   7.867256  0.036930  0.002702 -0.000001  0.045307    0.000004    0.025902  8343.375104  13.668542  0.001403   8.043730  6572.210941  2.479001    NaN   NaN    NaN NaN NaN NaN  0.052762    0.018776   0.018776        NaN       NaN        NaN    NaN    NaN    NaN -49.249116    0.856337  113.061471       0.856340       9.082224          NaN      45.0  68.230003  341.150014  5.837602  2124.195160  102.345004 -30.279500 -580.338190 -222.684790 -182.369452  122.525408  182.348822  966.928771   82149.183306   746.810757  773.273431  789.794972           no       no
N2_6584A    6584.0000  51.289803       0.026976      1.743826      4.965824e-01    47.219375   13.883154       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6551.258801  6597.826332  6572.180801   7.867256  0.036930  0.002702 -0.000001  0.045307    0.000004    0.025902   292.017086  13.668542  0.001345   0.281530  6592.853006  2.480035    NaN   NaN    NaN NaN NaN NaN  0.049955    0.508138   0.508140        NaN       NaN        NaN    NaN    NaN    NaN -66.861515   23.101076  112.747835      23.101168       2.436390          NaN      45.0  68.230003  341.150014  5.840036  2124.195160  102.345004 -30.279500 -580.338190 -222.684790 -182.369452  122.525408  182.348822  966.928771   82149.183306   746.810757  773.273431  789.794972           no       no
N2_6548A    6548.0000  51.289803       0.026976      0.589046      1.570306e-01    15.950208    4.409298       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6551.258801  6597.826332  6572.180801   7.867256  0.036930  0.002702 -0.000001  0.045307    0.000004    0.025902    99.325539  13.668542  0.001337   0.095758  6556.755949  2.466456    NaN   NaN    NaN NaN NaN NaN  0.016991    0.505356   0.505358        NaN       NaN        NaN    NaN    NaN    NaN -69.085431   23.100905  112.746999      23.100997       2.436390          NaN      45.0  68.230003  341.150014  5.808060  2124.195160  102.345004 -30.279500 -580.338190 -222.684790 -182.369452  122.525408  182.348822  966.928771   82149.183306   746.810757  773.273431  789.794972           no       no
H1_4861A    4861.2582  16.427393       0.074450     17.124042      7.152870e-01   233.914210   37.601231       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4867.005473   2.746708  0.073207  0.011364  0.000091 -0.371793    0.000052    0.251767   489.498563   6.442222  0.001480   2.977226  4868.454407  2.302112    NaN   NaN    NaN NaN NaN NaN  0.080399    0.071785   0.071785        NaN       NaN        NaN    NaN    NaN    NaN  89.249868    4.421741  141.802944       4.421741       9.082224          NaN      20.0  92.134664         NaN  5.421059          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN    4916.007165    91.037170  260.060438  266.189591           no       no
O3_5007A    5006.7664  82.251802       0.061427     85.307068      4.093336e+00  1143.462128  152.817431       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5004.263516  5029.625652  5013.590720  13.427668  0.074604  0.009306 -0.000151  0.831941    0.000074    0.371124  2991.297972   8.017096  0.001474  14.898830  5014.146754  2.283578    NaN   NaN    NaN NaN NaN NaN  0.480762    0.085086   0.085091        NaN       NaN        NaN    NaN    NaN    NaN -28.113638    5.086754  136.520808       5.087069       2.279635          NaN      20.0  89.440870  357.763479  5.377416  1516.553244  268.322609 -11.055610 -258.133847 -205.275819 -166.517909  152.791115  175.929264  261.709153  178151.071046  4814.893812  351.449420  358.303708           no       no
He1_5016A   5016.0000  82.251802       0.061427      0.240636      2.775558e-17     3.225507    0.402329      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5004.263516  5029.625652  5013.590720  13.427668  0.074604  0.009306 -0.000151  0.831941    0.000074    0.371124    16.061922   8.017096  0.001692   0.080000  5024.489547  1.200000    NaN   NaN    NaN NaN NaN NaN  0.000000   11.434830   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  37.263739  682.358251   71.608402       0.000000       4.557702          NaN      20.0  89.440870  357.763479  2.825784  1516.553244  268.322609 -11.055610 -258.133847 -205.275819 -166.517909  152.791115  175.929264  261.709153  178151.071046  4814.893812  351.449420  358.303708           no       no
O3_4959A    4958.8348  26.970036       0.053189     27.845622      9.224455e-01   365.873562   44.816797       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4965.726150   4.443555  0.076107  0.008975  0.000211 -0.972453    0.000098    0.486645   883.797967   8.479746  0.001477   4.746761  4966.161368  2.337825    NaN   NaN    NaN NaN NaN NaN  0.104410    0.059378   0.059378        NaN       NaN        NaN    NaN    NaN    NaN  26.275108    3.584800  141.139943       3.584800       2.279635          NaN      16.0  90.302989         NaN  5.505157          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN         NaN    8747.812413   249.937498  212.680966  217.593724           no       no
S2_6716A    6716.0000   3.578388       0.017012      2.082050      2.774828e-02    58.220179    3.459596       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.255311  6750.038645  6726.244888   0.350839  0.035762  0.002071 -0.000029  0.231264    0.000013    0.088178   357.115780  17.268530  0.001481   0.328726  6725.945252  2.524962    NaN   NaN    NaN NaN NaN NaN  0.003229    0.024603   0.024202        NaN       NaN        NaN    NaN    NaN    NaN -26.092082    1.096504  112.534193       1.078667       1.610217          NaN      29.0  66.667200  333.336001  5.945832  1372.030236  400.003202  84.388652 -254.503090 -189.663061 -149.285465  682.666795  730.675744  833.205059     270.891208     5.528392   94.465545  102.346713           no       no
S2_6731A    6731.0000   3.578388       0.017012      1.547268      2.344776e-02    43.266121    2.589861       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.255311  6750.038645  6726.244888   0.350839  0.035762  0.002071 -0.000029  0.231264    0.000013    0.088178   264.944052  17.268530  0.001388   0.243881  6740.340726  2.530367    NaN   NaN    NaN NaN NaN NaN  0.003048    0.024655   0.024254        NaN       NaN        NaN    NaN    NaN    NaN -53.962755    1.096402  112.523731       1.078567       1.610217          NaN      29.0  66.667200  333.336001  5.958558  1372.030236  400.003202  84.388652 -254.503090 -189.663061 -149.285465  682.666795  730.675744  833.205059     270.891208     5.528392   94.465545  102.346713           no       no
#LiMe:1.0.6
