ID,mag_i,m_i0,sigma_m_i0,mag_g,m_g0,sigma_m_g0,Mag_i,sigma_M_i,logM,sigma_logM,age,age_err_high,age_err_low
1,17.056,16.7077,0.0009,16.761,16.1264,0.0004,-12.012,0.0009,5.3045,0.0010,2.73,0.02,0.02
2,17.266,17.1115,0.0014,17.368,17.0922,0.0006,-11.802,0.0014,5.5363,0.0016,3.33,0.46,0.24
3,17.044,16.7744,0.0010,17.263,16.7687,0.0006,-12.024,0.0010,5.6807,0.0011,4.74,0.03,0.02
4,17.256,17.2266,0.0013,17.101,16.8637,0.0005,-11.812,0.0013,5.2498,0.0015,2.87,0.04,0.03
5,17.214,16.7858,0.0011,17.006,16.3204,0.0005,-11.854,0.0011,5.3543,0.0012,3.65,0.19,0.33
6,17.498,17.1560,0.0010,17.106,16.8241,0.0004,-11.570,0.0010,5.2997,0.0011,2.99,0.23,0.11
7,18.996,18.5739,0.0034,18.923,18.344,0.0012,-10.072,0.0034,4.8040,0.0038,4.57,0.06,0.07
8,18.047,17.8733,0.0020,18.058,17.7383,0.0009,-11.021,0.0020,5.1506,0.0023,4.93,0.03,0.03
9,17.255,16.6284,0.0011,17.591,16.5165,0.0006,-11.813,0.0011,5.6647,0.0013,5.03,0.04,0.03
10,17.218,17.1349,0.0012,17.546,17.3686,0.0007,-11.850,0.0012,5.7041,0.0014,5.77,0.09,0.11
11,18.906,18.4278,0.0047,18.981,18.1543,0.0012,-10.162,0.0047,4.8319,0.0052,3.40,0.3,0.35
12,19.321,18.9242,0.0075,19.309,18.6487,0.0018,-9.747,0.0075,4.6319,0.0083,3.88,0.25,0.68
13,19.071,18.9414,0.0068,18.809,18.8229,0.0017,-9.997,0.0068,4.7349,0.0076,4.93,0.1,0.14
14,20.021,19.7398,0.0102,20.720,20.1548,0.0046,-9.047,0.0102,4.7889,0.0117,3.25,1.74,0.44
15,18.950,18.5346,0.0035,18.654,18.0808,0.0012,-10.118,0.0035,4.6630,0.0039,4.22,0.33,0.55
16,19.429,19.1714,0.0060,19.335,18.8451,0.0021,-9.639,0.0060,4.4974,0.0068,4.50,0.23,0.35
17,18.560,18.6195,0.0031,18.877,18.7782,0.0016,-10.508,0.0031,5.0577,0.0036,4.90,0.48,0.35
19,20.067,19.8089,0.0089,20.089,19.8954,0.0035,-9.001,0.0089,4.5314,0.0100,4.17,21.93,1.72
20,20.243,19.9716,0.0110,20.098,19.7403,0.0036,-8.825,0.0110,4.2440,0.0124,6.02,0.76,0.61
