           wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err         eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err     snr_line  snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med       v_50         v_1         v_5        v_10        v_90        v_95         v_99        chisqr      redchi         aic         bic observations comments
H1_6563A    6563.0000  14.762618       0.024400     14.400004          0.220948  884.427574  132.827645       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6552.688817  6596.956417  6571.934462   2.325724  0.016282  0.002432 -0.000012  0.095773    0.000003    0.022803  2915.680025  6.693484  0.001490  2.530714  6572.780592  2.271416    NaN   NaN    NaN NaN NaN NaN  0.026101    0.027051   0.027051        NaN       NaN        NaN    NaN    NaN    NaN -23.268660    1.233715  103.593988       1.233715       9.082224          NaN      45.0  67.912943  271.651772  5.348776  2019.358621  101.869415   8.831135 -550.959848 -158.422132 -122.324428  151.653604  202.964645  1000.575697  23247.955318  207.571030  635.427965  652.052073           no       no
N2_6584A    6584.0000  14.762618       0.024400      0.549673          0.219858   33.760144   14.414606       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6552.688817  6596.956417  6571.934462   2.325724  0.016282  0.002432 -0.000012  0.095773    0.000003    0.022803   110.903910  6.693484  0.001424  0.096261  6593.375846  2.284124    NaN   NaN    NaN NaN NaN NaN  0.024649    0.675356   0.675356        NaN       NaN        NaN    NaN    NaN    NaN -43.092057   30.703146  103.841309      30.703155       2.436390          NaN      45.0  67.912943  271.651772  5.378701  2019.358621  101.869415   8.831135 -550.959848 -158.422132 -122.324428  151.653604  202.964645  1000.575697  23247.955318  207.571030  635.427965  652.052073           no       no
N2_6548A    6548.0000  14.762618       0.024400      0.186035          0.073429   11.425990    4.822139       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6552.688817  6596.956417  6571.934462   2.325724  0.016282  0.002432 -0.000012  0.095773    0.000003    0.022803    37.722418  6.693484  0.001417  0.032742  6557.275927  2.271618    NaN   NaN    NaN NaN NaN NaN  0.008384    0.671658   0.671658        NaN       NaN        NaN    NaN    NaN    NaN -45.316149   30.702919  103.840539      30.702927       2.436390          NaN      45.0  67.912943  271.651772  5.349252  2019.358621  101.869415   8.831135 -550.959848 -158.422132 -122.324428  151.653604  202.964645  1000.575697  23247.955318  207.571030  635.427965  652.052073           no       no
H1_4861A    4861.2582   4.777873       0.213421      4.655432          0.225582  163.842136  184.711751       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4868.791528   0.819548  0.028414  0.032004  0.000145 -0.677568    0.000146    0.712447    49.861924  0.887836  0.001543  0.854117  4868.761174  2.176914    NaN   NaN    NaN NaN NaN NaN  0.027152    0.079908   0.079908        NaN       NaN        NaN    NaN    NaN    NaN  -1.869060    4.920298  134.041966       4.920295       9.082224          NaN      20.0  91.669444         NaN  5.126241          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN     67.156303    1.243635   15.346377   21.475531           no       no
O3_5007A    5007.0000  15.624437       0.047317     16.020432          0.793887  528.905343  137.029952       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4972.262233  4985.876846  5000.000000  5027.000000  5036.600000  5043.980000  5008.743438  5033.377287  5013.201375   2.805082  0.030290  0.007703  0.000021 -0.076300    0.000073    0.364402   675.593383  3.932381  0.001415  2.857660  5014.085985  2.239342    NaN   NaN    NaN NaN NaN NaN  0.092392    0.083563   0.083810        NaN       NaN        NaN    NaN    NaN    NaN -45.731862    4.995452  133.869925       5.010225       2.279635          NaN      19.0  89.028822  356.115287  5.273247  1473.119020  400.629698  10.016503 -236.908829 -168.093139 -143.392352  176.635546  231.128204   355.820136   7658.247304  255.274910  192.184049  198.289491           no       no
He1_5016A   5016.0000  15.624437       0.047317      0.150398          0.000000    4.965293    1.262668      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4972.262233  4985.876846  5000.000000  5027.000000  5036.600000  5043.980000  5008.743438  5033.377287  5013.201375   2.805082  0.030290  0.007703  0.000021 -0.076300    0.000073    0.364402     9.456594  3.932381  0.001585  0.040000  5023.951969  1.500000    NaN   NaN    NaN NaN NaN NaN  0.000000    4.888539   0.000000        NaN       NaN        NaN    NaN    NaN    NaN   5.184498  291.717026   89.510502       0.000000       4.557702          NaN      19.0  89.028822  356.115287  3.532230  1473.119020  400.629698  10.016503 -236.908829 -168.093139 -143.392352  176.635546  231.128204   355.820136   7658.247304  255.274910  192.184049  198.289491           no       no
O3_4959A    4958.8348   5.225358       0.093248      5.416615          0.258017  139.530705   59.457623       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4965.561013   1.021597  0.038820  0.016439 -0.000257  1.316974    0.000184    0.914246   105.270267  2.361526  0.001452  1.035553  4966.035187  2.091214    NaN   NaN    NaN NaN NaN NaN  0.032212    0.075112   0.075113        NaN       NaN        NaN    NaN    NaN    NaN  28.627912    4.534864  126.255660       4.534869       2.279635          NaN      16.0  89.882978         NaN  4.924433          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN    216.689723    6.373227   71.399297   76.232051           no       no
S2_6716A    6716.0000   1.197851       0.012398      0.703392          0.015994   49.991263    5.322875       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.090991  6747.350320  6726.765638   0.126011  0.014070  0.001464 -0.000001  0.023045    0.000009    0.062616   188.592838  9.613564  0.001585  0.120627  6726.645220  2.328429    NaN   NaN    NaN NaN NaN NaN  0.002023    0.038668   0.038452        NaN       NaN        NaN    NaN    NaN    NaN   5.104523    1.723377  103.774978       1.713776       1.610217          NaN      30.0  66.349779  331.748893  5.483032  1259.436432  298.574004  77.233065 -236.060295 -173.155734 -131.114141  677.510711  718.420565   786.908711    200.394868    4.007897   78.810509   86.766445           no       no
S2_6731A    6731.0000   1.197851       0.012398      0.520297          0.014449   36.978407    3.981212       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.090991  6747.350320  6726.765638   0.126011  0.014070  0.001464 -0.000001  0.023045    0.000009    0.062616   139.132461  9.613564  0.001492  0.088991  6741.042191  2.333413    NaN   NaN    NaN NaN NaN NaN  0.001906    0.038751   0.038535        NaN       NaN        NaN    NaN    NaN    NaN -22.769050    1.723217  103.765330       1.713616       1.610217          NaN      30.0  66.349779  331.748893  5.494768  1259.436432  298.574004  77.233065 -236.060295 -173.155734 -131.114141  677.510711  718.420565   786.908711    200.394868    4.007897   78.810509   86.766445           no       no
O1_6300A    6300.0000   0.101832       0.016833      0.090983          0.022123    5.257858    1.663108       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6293.637954  6293.754436  6306.000000  6319.711710  6327.945925          NaN          NaN  6311.401233   0.031141  0.017304  0.003501  0.000046 -0.270589    0.000056    0.355542     5.257783  4.943147  0.001588  0.013932  6310.004406  2.607843    NaN   NaN    NaN NaN NaN NaN  0.002236    0.483181   0.483360        NaN       NaN        NaN    NaN    NaN    NaN -66.349500   22.951143  123.872916      22.959647       2.279635          NaN      10.0  70.716374         NaN  6.141001          NaN         NaN        NaN         NaN         NaN         NaN         NaN         NaN          NaN     16.880357    0.844018   -1.114902    2.291581           no       no
