          wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err         eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6  w_i  w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err    snr_line  snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel  FWHM_i    FWHM_p  FWZI  v_med  v_50  v_1  v_5  v_10  v_90  v_95  v_99      chisqr    redchi        aic        bic observations comments
H1_6563A   6563.0000   2.096853       0.020047      1.975246          0.019853  215.310313   51.233456       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6594.000000  6627.700000  6661.820000  NaN  NaN  6572.348655   0.297607  0.009174  0.002181 -0.000012  0.086920    0.000003    0.020448  360.312446  4.206287  0.001417  0.293769  6572.301781  2.681879    NaN   NaN    NaN NaN NaN NaN  0.001881    0.019829   0.019829        NaN       NaN        NaN    NaN    NaN    NaN -45.106128    0.904337  122.314261       0.904341       9.082224          NaN      41.0  67.904737     NaN  6.315343   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN  171.006079  1.583390  58.227075  74.644266           no       no
N2_6584A   6584.0000   2.096853       0.020047      0.133078          0.017509   14.506058    3.941537       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6594.000000  6627.700000  6661.820000  NaN  NaN  6572.348655   0.297607  0.009174  0.002181 -0.000012  0.086920    0.000003    0.020448   28.721478  4.206287  0.001353  0.023417  6592.906040  2.257654    NaN   NaN    NaN NaN NaN NaN  0.001941    0.216135   0.216136        NaN       NaN        NaN    NaN    NaN    NaN -64.450483    9.825975  102.637907       9.826007       2.436390          NaN      41.0  67.904737     NaN  5.316368   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN  171.006079  1.583390  58.227075  74.644266           no       no
N2_6548A   6548.0000   2.096853       0.020047      0.044837          0.005632    4.887379    1.314117       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6594.000000  6627.700000  6661.820000  NaN  NaN  6572.348655   0.297607  0.009174  0.002181 -0.000012  0.086920    0.000003    0.020448    9.769210  4.206287  0.001345  0.007965  6556.808693  2.245293    NaN   NaN    NaN NaN NaN NaN  0.000660    0.214952   0.214952        NaN       NaN        NaN    NaN    NaN    NaN -66.674417    9.825902  102.637146       9.825935       2.436390          NaN      41.0  67.904737     NaN  5.287260   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN  171.006079  1.583390  58.227075  74.644266           no       no
H1_4861A   4861.0000   0.460864       0.140610      0.623550          0.130347   22.598220   19.913192       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4870.800000  4883.130000  4908.400000  NaN  NaN  4869.304184   0.146475  0.027593  0.023620  0.000177 -0.832676    0.000109    0.528935    9.174687  1.168183  0.001541  0.129682  4868.488482  1.939467    NaN   NaN    NaN NaN NaN NaN  0.017403    0.300537   0.300545        NaN       NaN        NaN    NaN    NaN    NaN -50.221029   18.503434  119.408732      18.503928       9.082224          NaN      16.0  91.654493     NaN  4.567095   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN   40.948914  0.835692  -6.423758  -0.570027           no       no
O3_5007A   5006.7664   0.629488       0.051615      0.586302          0.070226   25.645653    8.882473       O3  $[OIII]5007\mathring{A}$                        none         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  NaN  NaN  5013.705682   0.138236  0.022862  0.007430 -0.000090  0.473571    0.000059    0.297724   27.986891  3.077076  0.001117  0.108611  5012.357788  2.156390    NaN   NaN    NaN NaN NaN NaN  0.008663    0.198606   0.198606        NaN       NaN        NaN    NaN    NaN    NaN -80.596763   11.875580  128.940444      11.875572       2.279635          NaN      21.0  89.014720     NaN  5.077910   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN   90.757149  2.327106  38.361740  43.574749           no       no
O3_4959A   4959.0000   0.252824       0.095308      0.292532          0.074303   10.265264    6.246410       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4944.500000  4948.310671  4970.712011  4972.820372  4984.416360  NaN  NaN  4964.579399   0.085315  0.028497  0.015758 -0.000112  0.582349    0.000175    0.870230    6.426995  1.808472  0.001280  0.060604  4965.347703  1.919960    NaN   NaN    NaN NaN NaN NaN  0.010294    0.376580   0.376594        NaN       NaN        NaN    NaN    NaN    NaN  46.394968   22.740267  115.939262      22.741117       2.279635          NaN      16.0  89.895553     NaN  4.521161   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN   21.463569  0.650411 -12.617828  -7.867272           no       no
S2_6716A   6716.0000   0.419494       0.009845      0.241160          0.010020   30.738084    5.085471       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  NaN  NaN  6725.682204   0.040267  0.007846  0.001256  0.000004 -0.017312    0.000008    0.051112   58.521926  6.244407  0.001509  0.032133  6726.137195  2.982979    NaN   NaN    NaN NaN NaN NaN  0.000991    0.092660   0.085826        NaN       NaN        NaN    NaN    NaN    NaN -17.537476    4.129725  132.947374       3.825156       1.610217          NaN      30.0  66.356630     NaN  7.024379   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN   88.531454  1.702528  33.648348  41.749754           no       no
S2_6731A   6731.0000   0.419494       0.009845      0.181622          0.008783   23.149417    3.872578       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  NaN  NaN  6725.682204   0.040267  0.007846  0.001256  0.000004 -0.017312    0.000008    0.051112   44.026378  6.244407  0.001416  0.024174  6740.533079  2.989363    NaN   NaN    NaN NaN NaN NaN  0.000942    0.092858   0.086010        NaN       NaN        NaN    NaN    NaN    NaN -45.408944    4.129341  132.935013       3.824800       1.610217          NaN      30.0  66.356630     NaN  7.039413   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN   88.531454  1.702528  33.648348  41.749754           no       no
O1_6300A   6300.0000   0.009360       0.011737      0.115948          2.721814    9.675579  227.140734       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6293.000000  6293.554436  6303.000000  6319.711710  6327.945925  NaN  NaN  6307.364463   0.020409  0.011984  0.002911 -0.000078  0.501246    0.000046    0.293119    4.303922  4.116099  0.001104  0.011336  6306.956735  0.528348    NaN   NaN    NaN NaN NaN NaN  0.186980    7.037264   5.517314        NaN       NaN        NaN    NaN    NaN    NaN -19.379509  334.484958   25.112679     262.240915       2.279635          NaN       7.0  70.757542     NaN  1.244165   NaN    NaN   NaN  NaN  NaN   NaN   NaN   NaN   NaN   19.062695  1.059039   3.967428   7.100995           no       no
#LiMe:1.0.6
