ID	O3N2	O3N2_ERR	12_LOG_OH_O3N2	12_LOG_OH_O3N2_ERR	N2	N2_ERR	12_LOG_OH_N2	12_LOG_OH_N2_ERR	r_kpc
8	1.855807	0.111184	8.14	0.03	-1.371555	0.106796	8.11	0.07	6.243
14	1.788343	0.193655	8.15	0.05	-1.320636	0.192374	8.13	0.10	8.181
16	1.954972	0.176423	8.11	0.05	-1.418258	0.173837	8.09	0.09	8.272
27	1.144765	0.119298	8.29	0.03	-1.171515	0.057306	8.20	0.05	7.351
1	2.301985	0.112996	8.04	0.04	-1.558421	0.111177	8.02	0.07	2.353
3	2.154682	0.126795	8.07	0.04	-1.457303	0.123748	8.07	0.07	2.605
7	1.655616	0.063629	8.18	0.03	-1.185229	0.058070	8.20	0.05	1.484
9	2.027372	0.247328	8.10	0.06	-1.391182	0.246533	8.10	0.12	2.469
11	1.691130	0.173196	8.17	0.04	-1.270309	0.172368	8.16	0.09	2.783
17	1.628656	0.074348	8.18	0.03	-1.202156	0.071916	8.19	0.05	5.117
19	2.106784	0.080028	8.08	0.03	-1.469700	0.075061	8.06	0.06	3.210
21	1.362967	0.120515	8.24	0.03	-1.130775	0.117968	8.22	0.07	2.303
