           wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err         v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p         FWZI       v_med        v_50         v_1         v_5        v_10        v_90        v_95         v_99        chisqr      redchi         aic         bic observations comments
H1_6563A    6563.0000  23.473549       0.024181     22.742943      4.500224e-01  1042.280747  121.221675       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6594.000000  6627.700000  6661.820000  6549.899451  6597.685853  6570.616426   3.700100  0.021820  0.002501 -0.000006  0.059899    0.000004    0.023479  4243.528561   8.725346  0.001173  4.016407  6570.696652  2.259458    NaN   NaN    NaN NaN NaN NaN  0.050045    0.032508   0.032510        NaN       NaN        NaN    NaN    NaN    NaN -118.312301    1.482634  103.048607       1.482692       9.082224          NaN      40.0  67.826368  271.305470  5.320617  2180.313396  237.392287  -26.161139 -643.526029 -193.324849 -161.780239  117.210656  194.816285  1052.398935  76955.773403  719.212836  749.166613  765.530940           no       no
N2_6584A    6584.0000  23.473549       0.024181      1.086953      4.809931e-01    49.813683   22.770625       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6594.000000  6627.700000  6661.820000  6549.899451  6597.685853  6570.616426   3.700100  0.021820  0.002501 -0.000006  0.059899    0.000004    0.023479   161.231513   8.725346  0.001251  0.152602  6592.237437  2.839430    NaN   NaN    NaN NaN NaN NaN  0.042277    0.908316   0.908359        NaN       NaN        NaN    NaN    NaN    NaN  -94.846670   41.294021  129.086725      41.296002       2.436390          NaN      40.0  67.826368  271.305470  6.686346  2180.313396  237.392287  -26.161139 -643.526029 -193.324849 -161.780239  117.210656  194.816285  1052.398935  76955.773403  719.212836  749.166613  765.530940           no       no
N2_6548A    6548.0000  23.473549       0.024181      0.368066      1.603693e-01    16.867991    7.599531       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6594.000000  6627.700000  6661.820000  6549.899451  6597.685853  6570.616426   3.700100  0.021820  0.002501 -0.000006  0.059899    0.000004    0.023479    54.840651   8.725346  0.001244  0.051905  6556.143750  2.823883    NaN   NaN    NaN NaN NaN NaN  0.014380    0.903342   0.903386        NaN       NaN        NaN    NaN    NaN    NaN  -97.070378   41.293715  129.085767      41.295695       2.436390          NaN      40.0  67.826368  271.305470  6.649737  2180.313396  237.392287  -26.161139 -643.526029 -193.324849 -161.780239  117.210656  194.816285  1052.398935  76955.773403  719.212836  749.166613  765.530940           no       no
H1_4861A    4861.2582   7.142082       0.070578      7.423569      2.017464e-01   144.003199   29.884014       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4868.499235   1.262015  0.051551  0.010606 -0.000055  0.319420    0.000047    0.230569   226.164587   4.860596  0.001526  1.283873  4868.675619  2.306282    NaN   NaN    NaN NaN NaN NaN  0.022128    0.045898   0.045898        NaN       NaN        NaN    NaN    NaN    NaN   10.861336    2.826301  142.016267       2.826301       9.082224          NaN      20.0  91.539718         NaN  5.430880          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN    438.872800    7.979505  123.378463  129.559792           no       no
O3_5007A    5006.7664  21.124677       0.065629     21.793163      9.459611e-01   458.708930   96.217284       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5012.696063   3.538961  0.047510  0.009750  0.000207 -0.990149    0.000075    0.373942   763.017342   4.872905  0.001398  3.885807  5013.765144  2.235553    NaN   NaN    NaN NaN NaN NaN  0.109408    0.072680   0.072687        NaN       NaN        NaN    NaN    NaN    NaN  -50.927712    4.345060  133.649680       4.345498       2.279635          NaN      21.0  88.906457         NaN  5.264325          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN   8726.247045  223.749924  236.454294  243.499094           no       no
He1_5016A   5016.0000  21.124677       0.065629      0.112798      1.387779e-17     2.374211    0.487227      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081          NaN          NaN  5012.696063   3.538961  0.047510  0.009750  0.000207 -0.990149    0.000075    0.373942     5.890802   4.872905  0.001684  0.030000  5024.448447  1.500000    NaN   NaN    NaN NaN NaN NaN  0.000000    7.717438   0.000000        NaN       NaN        NaN    NaN    NaN    NaN   34.811180  460.527859   89.510502       0.000000       4.557702          NaN      21.0  88.906457         NaN  3.532230          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN   8726.247045  223.749924  236.454294  243.499094           no       no
O3_4959A    4958.8348   7.159746       0.078228      7.397097      3.006658e-01   171.983417   51.727605       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4965.125975   1.239455  0.043011  0.012818 -0.000156  0.818401    0.000142    0.703421   174.396173   3.355573  0.001409  1.297723  4965.819495  2.269171    NaN   NaN    NaN NaN NaN NaN  0.034967    0.070602   0.070602        NaN       NaN        NaN    NaN    NaN    NaN   41.874452    4.262899  137.011718       4.262900       2.279635          NaN      17.0  89.758255         NaN  5.343490          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN    469.827751   13.423650  101.561639  106.474398           no       no
S2_6716A    6716.0000   2.219123       0.012460      1.323637      1.812028e-02    65.431539    5.061028       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.318695  6746.113086  6725.219210   0.211966  0.020229  0.001540 -0.000039  0.279871    0.000010    0.065982   292.653553  13.135885  0.001498  0.196959  6726.059542  2.681550    NaN   NaN    NaN NaN NaN NaN  0.001926    0.026559   0.025754        NaN       NaN        NaN    NaN    NaN    NaN  -20.998361    1.183721  119.513094       1.147812       1.610217          NaN      30.0  66.267140  331.335702  6.314568  1194.422971  331.335702  129.457735 -223.355500 -153.569136 -107.032993  727.183413  782.612410   857.910331    188.785256    3.775705   75.587810   83.543746           no       no
S2_6731A    6731.0000   2.219123       0.012460      0.924292      1.513226e-02    45.690642    3.557833       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.318695  6746.113086  6725.219210   0.211966  0.020229  0.001540 -0.000039  0.279871    0.000010    0.065982   203.795495  13.135885  0.001405  0.137157  6740.455260  2.687289    NaN   NaN    NaN NaN NaN NaN  0.001801    0.026616   0.025809        NaN       NaN        NaN    NaN    NaN    NaN  -48.869507    1.183611  119.501982       1.147706       1.610217          NaN      30.0  66.267140  331.335702  6.328083  1194.422971  331.335702  129.457735 -223.355500 -153.569136 -107.032993  727.183413  782.612410   857.910331    188.785256    3.775705   75.587810   83.543746           no       no
O1_6300A    6300.0000   0.089728       0.034987      0.136106      6.608970e-02     4.910716    2.813706       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6293.000000  6293.754436  6304.000000  6319.711710  6327.945925          NaN          NaN  6307.494380   0.048325  0.027716  0.008430 -0.000139  0.903278    0.000135    0.849971     2.081100   3.287722  0.001289  0.014847  6308.118228  3.614506    NaN   NaN    NaN NaN NaN NaN  0.004525    1.271749   1.309685        NaN       NaN        NaN    NaN    NaN    NaN   29.651235   60.445686  171.795890      62.248776       2.279635          NaN       8.0  70.655797         NaN  8.511511          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN          NaN     15.464692    0.813931   -1.754625    1.518503           no       no
