           wavelength  intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw     eqw_err particle               latex_label                 group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave  peak_flux      cont  cont_err    m_cont    n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line       amp       center     sigma  gamma  frac  alpha   a   b   c   amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i    FWHM_p          FWZI       v_med        v_50         v_1         v_5        v_10        v_90        v_95          v_99        chisqr      redchi         aic         bic observations comments
H1_6563A    6563.0000  20.902253       0.021968     20.141128          0.227611  1239.512355  164.651345       H1      $HI6563\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6550.426799  8189.433733  6572.641912   3.093635  0.016249  0.002151 -0.000009  0.072681    0.000003    0.020258  4272.592012   7.555495  0.001361  3.278812  6571.933819  2.451605    NaN   NaN    NaN NaN NaN NaN  0.024174    0.020871   0.020871        NaN       NaN        NaN    NaN    NaN    NaN -61.888030    0.951888  111.811979       0.951893       9.082224          NaN      45.0  68.142078  272.568313  5.773088  74758.662313 -340.710392  -62.036242 -670.148581 -254.689437 -208.462898   96.147007  175.368162  56226.912119  27438.884193  244.990037  654.985752  671.609859           no       no
N2_6584A    6584.0000  20.902253       0.021968      0.856109          0.210300    52.686112   14.701201       N2   $[NII]6584\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6550.426799  8189.433733  6572.641912   3.093635  0.016249  0.002151 -0.000009  0.072681    0.000003    0.020258   175.204993   7.555495  0.001293  0.134453  6592.511140  2.548337    NaN   NaN    NaN NaN NaN NaN  0.022454    0.491414   0.491416        NaN       NaN        NaN    NaN    NaN    NaN -82.403509   22.340748  115.852999      22.340850       2.436390          NaN      45.0  68.142078  272.568313  6.000875  74758.662313 -340.710392  -62.036242 -670.148581 -254.689437 -208.462898   96.147007  175.368162  56226.912119  27438.884193  244.990037  654.985752  671.609859           no       no
N2_6548A    6548.0000  20.902253       0.021968      0.289258          0.072459    17.801343    5.043378       N2   $[NII]6548\mathring{A}$  H1_6563A+N2_6584A+N2_6548A         no  6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000  6550.426799  8189.433733  6572.641912   3.093635  0.016249  0.002151 -0.000009  0.072681    0.000003    0.020258    59.593535   7.555495  0.001285  0.045732  6556.415955  2.534384    NaN   NaN    NaN NaN NaN NaN  0.007637    0.488723   0.488725        NaN       NaN        NaN    NaN    NaN    NaN -84.627310   22.340583  115.852140      22.340684       2.436390          NaN      45.0  68.142078  272.568313  5.968019  74758.662313 -340.710392  -62.036242 -670.148581 -254.689437 -208.462898   96.147007  175.368162  56226.912119  27438.884193  244.990037  654.985752  671.609859           no       no
H1_4861A    4861.2582   6.608053       0.065285      6.850439          0.273740   159.910034   38.839275       H1      $HI4861\mathring{A}$                        none         no  4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000          NaN          NaN  4868.050528   1.141428  0.042839  0.010263 -0.000059  0.331517    0.000047    0.229024   216.825056   4.174104  0.001439  1.222006  4868.254465  2.235188    NaN   NaN    NaN NaN NaN NaN  0.031679    0.066909   0.066909        NaN       NaN        NaN    NaN    NaN    NaN  12.559210    4.120476  137.651090       4.120476       9.082224          NaN      19.0  92.002636         NaN  5.263465           NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN           NaN    875.893187   16.844100  158.235103  164.257103           no       no
O3_5007A    5006.7664  20.248922       0.062078     20.891548          1.231468   554.576327  138.424447       O3  $[OIII]5007\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5008.232259  5033.139331  5014.457150   3.291018  0.037671  0.009137  0.000030 -0.114903    0.000072    0.361642   758.709266   4.122965  0.001451  3.710405  5014.030469  2.252114    NaN   NaN    NaN NaN NaN NaN  0.139744    0.097937   0.097975        NaN       NaN        NaN    NaN    NaN    NaN -35.065615    5.855050  134.639749       5.857292       2.279635          NaN      20.0  89.316444  357.265775  5.303323   1489.084906  267.949331  -67.064356 -309.701578 -253.089042 -229.332766   84.087205  135.725326    363.158518  15413.880780  416.591372  251.107518  257.961807           no       no
He1_5016A   5016.0000  20.248922       0.062078      0.150398          0.000000     3.992380    0.968327      He1     $HeI5016\mathring{A}$          O3_5007A+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5008.232259  5033.139331  5014.457150   3.291018  0.037671  0.009137  0.000030 -0.114903    0.000072    0.361642     8.179260   4.122965  0.001625  0.040000  5024.150783  1.500000    NaN   NaN    NaN NaN NaN NaN  0.000000    7.410728   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  17.048487  442.225342   89.510502       0.000000       4.557702          NaN      20.0  89.316444  357.265775  3.532230   1489.084906  267.949331  -67.064356 -309.701578 -253.089042 -229.332766   84.087205  135.725326    363.158518  15413.880780  416.591372  251.107518  257.961807           no       no
O3_4959A    4958.8348   6.566824       0.054469      6.826317          0.264670   186.654973   45.435667       O3  $[OIII]4959\mathring{A}$                        none         no  4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360          NaN          NaN  4966.650906   1.120121  0.036572  0.008789 -0.000010  0.088335    0.000097    0.479935   228.438777   4.161240  0.001452  1.201421  4966.032738  2.269181    NaN   NaN    NaN NaN NaN NaN  0.030468    0.066450   0.066450        NaN       NaN        NaN    NaN    NaN    NaN -37.313273    4.010987  136.970252       4.010987       2.279635          NaN      16.0  90.176155         NaN  5.343513           NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN           NaN    733.416442   21.571072  116.511443  121.344197           no       no
S2_6716A    6716.0000   1.424809       0.010853      0.861302          0.015690    53.092355    4.589781       S2   $[SII]6716\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.172386  6744.119736  6725.024314   0.148612  0.016223  0.001371 -0.000025  0.183022    0.000009    0.058447   235.752992  11.833211  0.001427  0.141247  6725.585376  2.433185    NaN   NaN    NaN NaN NaN NaN  0.001820    0.031554   0.031235        NaN       NaN        NaN    NaN    NaN    NaN -42.131273    1.406300  108.443774       1.392097       1.610217          NaN      30.0  66.598046  266.392185  5.729712   1112.119035  332.990231  103.371215 -197.577776 -148.797457 -110.615565  707.724773  754.441212    817.970515    191.064524    3.821290   76.235866   84.191802           no       no
S2_6731A    6731.0000   1.424809       0.010853      0.602273          0.012805    37.125276    3.235142       S2   $[SII]6731\mathring{A}$           S2_6716A+S2_6731A         no  6686.700000  6698.870000  6700.900000  6743.910000  6750.600000  6772.140000  6719.172386  6744.119736  6725.024314   0.148612  0.016223  0.001371 -0.000025  0.183022    0.000009    0.058447   164.308477  11.833211  0.001334  0.098442  6739.980079  2.438392    NaN   NaN    NaN NaN NaN NaN  0.001699    0.031621   0.031302        NaN       NaN        NaN    NaN    NaN    NaN -70.000455    1.406170  108.433691       1.391968       1.610217          NaN      30.0  66.598046  266.392185  5.741975   1112.119035  332.990231  103.371215 -197.577776 -148.797457 -110.615565  707.724773  754.441212    817.970515    191.064524    3.821290   76.235866   84.191802           no       no
O1_6300A    6300.0000   0.016589       0.011917      0.040423          0.015300     2.119335    0.863095       O1    $[OI]6300\mathring{A}$                        none         no  6282.963147  6293.637954  6293.754436  6304.000000  6319.711710  6327.945925          NaN          NaN  6308.213625   0.029848  0.019073  0.002866 -0.000101  0.658668    0.000046    0.290103     5.214869   6.654275  0.001341  0.012650  6308.449982  1.298164    NaN   NaN    NaN NaN NaN NaN  0.003149    0.379299   0.368173        NaN       NaN        NaN    NaN    NaN    NaN  11.232688   18.025844   61.694143      17.497116       2.279635          NaN       8.0  70.998464         NaN  3.056943           NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN           NaN     22.819354    1.267742    7.744819   10.878386           no       no
