ID,mag_i,err_i,mag_g,err_g
1,16.99864,0.00091,16.63697,0.00040
2,17.25564,0.00143,17.34512,0.00063
3,17.06005,0.00096,17.26991,0.00061
4,17.34405,0.00129,17.06978,0.00050
5,17.12216,0.00109,16.91054,0.00046
6,17.23077,0.00098,16.95524,0.00044
7,18.71800,0.00337,18.59696,0.00122
8,18.03082,0.00197,18.01461,0.00091
9,17.10088,0.00108,17.34549,0.00059
10,17.22296,0.00118,17.52317,0.00065
11,18.53453,0.00470,18.34166,0.00121
12,19.07634,0.00749,18.91565,0.00177
13,18.96540,0.00680,18.86504,0.00171
14,19.77187,0.01020,20.21097,0.00460
15,18.76945,0.00349,18.49299,0.00119
16,19.40364,0.00602,19.25258,0.00206
17,18.66220,0.00314,18.85311,0.00158
19,19.83028,0.00885,19.93286,0.00347
20,20.07833,0.01104,19.92768,0.00358
